wavelength,VS11
3.6e-07,0.0692
3.65e-07,0.0692
3.7e-07,0.0692
3.75e-07,0.0692
3.8e-07,0.0692
3.85e-07,0.0846
3.9e-07,0.105
3.95e-07,0.1345
4e-07,0.1666
4.05e-07,0.1913
4.1e-07,0.2125
4.15e-07,0.2141
4.2e-07,0.2271
4.25e-07,0.2454
4.3e-07,0.2498
4.35e-07,0.2811
4.4e-07,0.3074
4.45e-07,0.3244
4.5e-07,0.3301
4.55e-07,0.3317
4.6e-07,0.3341
4.65e-07,0.332
4.7e-07,0.3309
4.75e-07,0.3207
4.8e-07,0.3105
4.85e-07,0.2954
4.9e-07,0.2809
4.95e-07,0.2645
5e-07,0.2501
5.05e-07,0.2309
5.1e-07,0.2111
5.15e-07,0.1909
5.2e-07,0.1746
5.25e-07,0.1533
5.3e-07,0.139
5.35e-07,0.1228
5.4e-07,0.1097
5.45e-07,0.0974
5.5e-07,0.0867
5.55e-07,0.0764
5.6e-07,0.0597
5.65e-07,0.0596
5.7e-07,0.0558
5.75e-07,0.0525
5.8e-07,0.0509
5.85e-07,0.0495
5.9e-07,0.0468
5.95e-07,0.0477
6e-07,0.0472
6.05e-07,0.0427
6.1e-07,0.0436
6.15e-07,0.0435
6.2e-07,0.0427
6.25e-07,0.0432
6.3e-07,0.0446
6.35e-07,0.0439
6.4e-07,0.0438
6.45e-07,0.0456
6.5e-07,0.0451
6.55e-07,0.0466
6.6e-07,0.0475
6.65e-07,0.0458
6.7e-07,0.0471
6.75e-07,0.0475
6.8e-07,0.0479
6.85e-07,0.0443
6.9e-07,0.0478
6.95e-07,0.0457
7e-07,0.0469
7.05e-07,0.0467
7.1e-07,0.0493
7.15e-07,0.0499
7.2e-07,0.0528
7.25e-07,0.0555
7.3e-07,0.0585
7.35e-07,0.0646
7.4e-07,0.07
7.45e-07,0.0845
7.5e-07,0.1026
7.55e-07,0.1341
7.6e-07,0.1696
7.65e-07,0.2112
7.7e-07,0.2497
7.75e-07,0.2809
7.8e-07,0.3112
7.85e-07,0.3368
7.9e-07,0.3567
7.95e-07,0.3711
8e-07,0.3811
8.05e-07,0.3811
8.1e-07,0.3811
8.15e-07,0.3811
8.2e-07,0.3811
8.25e-07,0.3811
8.3e-07,0.3811
