wavelength,VS4
3.6e-07,0.0449
3.65e-07,0.0449
3.7e-07,0.0449
3.75e-07,0.0449
3.8e-07,0.0449
3.85e-07,0.0431
3.9e-07,0.0366
3.95e-07,0.0368
4e-07,0.0448
4.05e-07,0.0423
4.1e-07,0.044
4.15e-07,0.0438
4.2e-07,0.0442
4.25e-07,0.0438
4.3e-07,0.0441
4.35e-07,0.0495
4.4e-07,0.0512
4.45e-07,0.0532
4.5e-07,0.0528
4.55e-07,0.058
4.6e-07,0.0632
4.65e-07,0.0705
4.7e-07,0.0815
4.75e-07,0.0924
4.8e-07,0.1068
4.85e-07,0.1241
4.9e-07,0.1475
4.95e-07,0.1798
5e-07,0.2192
5.05e-07,0.2712
5.1e-07,0.327
5.15e-07,0.3778
5.2e-07,0.4197
5.25e-07,0.4525
5.3e-07,0.4775
5.35e-07,0.4915
5.4e-07,0.5042
5.45e-07,0.5153
5.5e-07,0.5215
5.55e-07,0.5335
5.6e-07,0.5362
5.65e-07,0.5551
5.7e-07,0.563
5.75e-07,0.5747
5.8e-07,0.5815
5.85e-07,0.5885
5.9e-07,0.5939
5.95e-07,0.6015
6e-07,0.6001
6.05e-07,0.6007
6.1e-07,0.6093
6.15e-07,0.6109
6.2e-07,0.6118
6.25e-07,0.6132
6.3e-07,0.6201
6.35e-07,0.6236
6.4e-07,0.6196
6.45e-07,0.6275
6.5e-07,0.6279
6.55e-07,0.6264
6.6e-07,0.63
6.65e-07,0.6341
6.7e-07,0.6353
6.75e-07,0.6339
6.8e-07,0.6373
6.85e-07,0.6368
6.9e-07,0.6409
6.95e-07,0.6381
7e-07,0.6433
7.05e-07,0.6461
7.1e-07,0.6445
7.15e-07,0.6507
7.2e-07,0.6523
7.25e-07,0.6611
7.3e-07,0.6568
7.35e-07,0.6618
7.4e-07,0.6666
7.45e-07,0.6617
7.5e-07,0.662
7.55e-07,0.6623
7.6e-07,0.6662
7.65e-07,0.6628
7.7e-07,0.6694
7.75e-07,0.6757
7.8e-07,0.6721
7.85e-07,0.6679
7.9e-07,0.6769
7.95e-07,0.6681
8e-07,0.6784
8.05e-07,0.6784
8.1e-07,0.6784
8.15e-07,0.6784
8.2e-07,0.6784
8.25e-07,0.6784
8.3e-07,0.6784
