wavelength,VS14
3.6e-07,0.1086
3.65e-07,0.1086
3.7e-07,0.1086
3.75e-07,0.1086
3.8e-07,0.1155
3.85e-07,0.144
3.9e-07,0.1918
3.95e-07,0.2577
4e-07,0.3258
4.05e-07,0.3747
4.1e-07,0.3989
4.15e-07,0.4021
4.2e-07,0.3976
4.25e-07,0.3903
4.3e-07,0.3819
4.35e-07,0.3741
4.4e-07,0.3657
4.45e-07,0.3541
4.5e-07,0.3461
4.55e-07,0.3356
4.6e-07,0.3272
4.65e-07,0.3178
4.7e-07,0.3071
4.75e-07,0.2933
4.8e-07,0.2776
4.85e-07,0.2607
4.9e-07,0.2464
4.95e-07,0.2361
5e-07,0.2293
5.05e-07,0.2198
5.1e-07,0.204
5.15e-07,0.1843
5.2e-07,0.1669
5.25e-07,0.1511
5.3e-07,0.1435
5.35e-07,0.1406
5.4e-07,0.1452
5.45e-07,0.1504
5.5e-07,0.1494
5.55e-07,0.1476
5.6e-07,0.1408
5.65e-07,0.1505
5.7e-07,0.1666
5.75e-07,0.1965
5.8e-07,0.2355
5.85e-07,0.2893
5.9e-07,0.3412
5.95e-07,0.4002
6e-07,0.4482
6.05e-07,0.4962
6.1e-07,0.5328
6.15e-07,0.5605
6.2e-07,0.5873
6.25e-07,0.6071
6.3e-07,0.6222
6.35e-07,0.6352
6.4e-07,0.6416
6.45e-07,0.6478
6.5e-07,0.6549
6.55e-07,0.6615
6.6e-07,0.6651
6.65e-07,0.6649
6.7e-07,0.6708
6.75e-07,0.6717
6.8e-07,0.6721
6.85e-07,0.6745
6.9e-07,0.678
6.95e-07,0.6881
7e-07,0.6954
7.05e-07,0.6991
7.1e-07,0.7018
7.15e-07,0.7068
7.2e-07,0.7076
7.25e-07,0.7146
7.3e-07,0.7189
7.35e-07,0.7237
7.4e-07,0.7288
7.45e-07,0.7218
7.5e-07,0.7299
7.55e-07,0.732
7.6e-07,0.7371
7.65e-07,0.7345
7.7e-07,0.7369
7.75e-07,0.7366
7.8e-07,0.7449
7.85e-07,0.7368
7.9e-07,0.7457
7.95e-07,0.7494
8e-07,0.7507
8.05e-07,0.7507
8.1e-07,0.7507
8.15e-07,0.7507
8.2e-07,0.7507
8.25e-07,0.7507
8.3e-07,0.7507
