wavelength,VS13
3.6e-07,0.1272
3.65e-07,0.1272
3.7e-07,0.1272
3.75e-07,0.1272
3.8e-07,0.1272
3.85e-07,0.1612
3.9e-07,0.2101
3.95e-07,0.284
4e-07,0.3543
4.05e-07,0.4155
4.1e-07,0.4422
4.15e-07,0.449
4.2e-07,0.4484
4.25e-07,0.4372
4.3e-07,0.4269
4.35e-07,0.4117
4.4e-07,0.3945
4.45e-07,0.3749
4.5e-07,0.3578
4.55e-07,0.339
4.6e-07,0.3172
4.65e-07,0.2992
4.7e-07,0.2811
4.75e-07,0.264
4.8e-07,0.2495
4.85e-07,0.2304
4.9e-07,0.2175
4.95e-07,0.202
5e-07,0.1907
5.05e-07,0.1824
5.1e-07,0.1752
5.15e-07,0.1686
5.2e-07,0.1613
5.25e-07,0.1544
5.3e-07,0.1476
5.35e-07,0.143
5.4e-07,0.1412
5.45e-07,0.14
5.5e-07,0.1425
5.55e-07,0.1451
5.6e-07,0.1464
5.65e-07,0.1468
5.7e-07,0.1452
5.75e-07,0.1419
5.8e-07,0.1423
5.85e-07,0.1401
5.9e-07,0.1435
5.95e-07,0.1546
6e-07,0.1715
6.05e-07,0.1979
6.1e-07,0.2283
6.15e-07,0.2603
6.2e-07,0.2882
6.25e-07,0.3171
6.3e-07,0.3435
6.35e-07,0.37
6.4e-07,0.3962
6.45e-07,0.4246
6.5e-07,0.4562
6.55e-07,0.4849
6.6e-07,0.5124
6.65e-07,0.5388
6.7e-07,0.5625
6.75e-07,0.5843
6.8e-07,0.605
6.85e-07,0.6259
6.9e-07,0.6403
6.95e-07,0.6604
7e-07,0.6725
7.05e-07,0.6842
7.1e-07,0.6927
7.15e-07,0.6964
7.2e-07,0.7037
7.25e-07,0.7145
7.3e-07,0.7206
7.35e-07,0.7213
7.4e-07,0.7336
7.45e-07,0.7319
7.5e-07,0.7373
7.55e-07,0.7413
7.6e-07,0.744
7.65e-07,0.7507
7.7e-07,0.7483
7.75e-07,0.7491
7.8e-07,0.7547
7.85e-07,0.7523
7.9e-07,0.7563
7.95e-07,0.7567
8e-07,0.7633
8.05e-07,0.7633
8.1e-07,0.7633
8.15e-07,0.7633
8.2e-07,0.7633
8.25e-07,0.7633
8.3e-07,0.7633
