wavelength,VS15
3.6e-07,0.1069
3.65e-07,0.1069
3.7e-07,0.1069
3.75e-07,0.1069
3.8e-07,0.1069
3.85e-07,0.1246
3.9e-07,0.1455
3.95e-07,0.1623
4e-07,0.1733
4.05e-07,0.1772
4.1e-07,0.1782
4.15e-07,0.1749
4.2e-07,0.1776
4.25e-07,0.1751
4.3e-07,0.1747
4.35e-07,0.1762
4.4e-07,0.1774
4.45e-07,0.1749
4.5e-07,0.1736
4.55e-07,0.1679
4.6e-07,0.1638
4.65e-07,0.1576
4.7e-07,0.1516
4.75e-07,0.1437
4.8e-07,0.1366
4.85e-07,0.1308
4.9e-07,0.1239
4.95e-07,0.1185
5e-07,0.1126
5.05e-07,0.1072
5.1e-07,0.1022
5.15e-07,0.0966
5.2e-07,0.0936
5.25e-07,0.0911
5.3e-07,0.0909
5.35e-07,0.0868
5.4e-07,0.0874
5.45e-07,0.0846
5.5e-07,0.0825
5.55e-07,0.0812
5.6e-07,0.0767
5.65e-07,0.081
5.7e-07,0.087
5.75e-07,0.0968
5.8e-07,0.1176
5.85e-07,0.1553
5.9e-07,0.2
5.95e-07,0.2632
6e-07,0.3219
6.05e-07,0.3875
6.1e-07,0.4409
6.15e-07,0.4925
6.2e-07,0.5343
6.25e-07,0.5709
6.3e-07,0.5969
6.35e-07,0.6178
6.4e-07,0.6301
6.45e-07,0.644
6.5e-07,0.6512
6.55e-07,0.6617
6.6e-07,0.6638
6.65e-07,0.6699
6.7e-07,0.6731
6.75e-07,0.6802
6.8e-07,0.6779
6.85e-07,0.6811
6.9e-07,0.6829
6.95e-07,0.6905
7e-07,0.6972
7.05e-07,0.7007
7.1e-07,0.7085
7.15e-07,0.7092
7.2e-07,0.713
7.25e-07,0.7181
7.3e-07,0.726
7.35e-07,0.7244
7.4e-07,0.7313
7.45e-07,0.7319
7.5e-07,0.7342
7.55e-07,0.7317
7.6e-07,0.7365
7.65e-07,0.7338
7.7e-07,0.7424
7.75e-07,0.7372
7.8e-07,0.7399
7.85e-07,0.7405
7.9e-07,0.7461
7.95e-07,0.742
8e-07,0.7439
8.05e-07,0.7439
8.1e-07,0.7439
8.15e-07,0.7439
8.2e-07,0.7439
8.25e-07,0.7439
8.3e-07,0.7439
