wavelength,VS3
3.6e-07,0.0691
3.65e-07,0.0691
3.7e-07,0.0691
3.75e-07,0.0691
3.8e-07,0.0582
3.85e-07,0.0572
3.9e-07,0.0559
3.95e-07,0.0568
4e-07,0.0599
4.05e-07,0.0556
4.1e-07,0.0589
4.15e-07,0.0598
4.2e-07,0.0581
4.25e-07,0.0562
4.3e-07,0.0569
4.35e-07,0.0583
4.4e-07,0.0559
4.45e-07,0.0556
4.5e-07,0.0586
4.55e-07,0.0567
4.6e-07,0.0581
4.65e-07,0.0583
4.7e-07,0.0611
4.75e-07,0.0599
4.8e-07,0.0604
4.85e-07,0.0621
4.9e-07,0.0601
4.95e-07,0.062
5e-07,0.0691
5.05e-07,0.0827
5.1e-07,0.1035
5.15e-07,0.1348
5.2e-07,0.1713
5.25e-07,0.1944
5.3e-07,0.2115
5.35e-07,0.225
5.4e-07,0.2445
5.45e-07,0.2783
5.5e-07,0.328
5.55e-07,0.3909
5.6e-07,0.4359
5.65e-07,0.4928
5.7e-07,0.527
5.75e-07,0.548
5.8e-07,0.5575
5.85e-07,0.57
5.9e-07,0.5784
5.95e-07,0.5818
6e-07,0.5837
6.05e-07,0.5896
6.1e-07,0.5947
6.15e-07,0.5909
6.2e-07,0.5953
6.25e-07,0.5943
6.3e-07,0.5965
6.35e-07,0.5993
6.4e-07,0.6011
6.45e-07,0.6056
6.5e-07,0.6009
6.55e-07,0.6023
6.6e-07,0.6064
6.65e-07,0.6055
6.7e-07,0.6053
6.75e-07,0.6112
6.8e-07,0.6125
6.85e-07,0.6064
6.9e-07,0.6107
6.95e-07,0.6137
7e-07,0.6155
7.05e-07,0.613
7.1e-07,0.6197
7.15e-07,0.6215
7.2e-07,0.6162
7.25e-07,0.6223
7.3e-07,0.6262
7.35e-07,0.6277
7.4e-07,0.6268
7.45e-07,0.6256
7.5e-07,0.6303
7.55e-07,0.6288
7.6e-07,0.6288
7.65e-07,0.6315
7.7e-07,0.632
7.75e-07,0.6303
7.8e-07,0.635
7.85e-07,0.636
7.9e-07,0.6363
7.95e-07,0.6302
8e-07,0.6283
8.05e-07,0.6283
8.1e-07,0.6283
8.15e-07,0.6283
8.2e-07,0.6283
8.25e-07,0.6283
8.3e-07,0.6283
