wavelength,VS7
3.6e-07,0.0726
3.65e-07,0.0726
3.7e-07,0.0726
3.75e-07,0.0726
3.8e-07,0.0726
3.85e-07,0.076
3.9e-07,0.0789
3.95e-07,0.0844
4e-07,0.0864
4.05e-07,0.0848
4.1e-07,0.0861
4.15e-07,0.0859
4.2e-07,0.0868
4.25e-07,0.0869
4.3e-07,0.0882
4.35e-07,0.0903
4.4e-07,0.0924
4.45e-07,0.0951
4.5e-07,0.0969
4.55e-07,0.1003
4.6e-07,0.1083
4.65e-07,0.1203
4.7e-07,0.1383
4.75e-07,0.1634
4.8e-07,0.1988
4.85e-07,0.2376
4.9e-07,0.2795
4.95e-07,0.3275
5e-07,0.3671
5.05e-07,0.403
5.1e-07,0.4201
5.15e-07,0.4257
5.2e-07,0.4218
5.25e-07,0.409
5.3e-07,0.3977
5.35e-07,0.3769
5.4e-07,0.3559
5.45e-07,0.3312
5.5e-07,0.3072
5.55e-07,0.2803
5.6e-07,0.2532
5.65e-07,0.2313
5.7e-07,0.2109
5.75e-07,0.1897
5.8e-07,0.1723
5.85e-07,0.1528
5.9e-07,0.1355
5.95e-07,0.1196
6e-07,0.105
6.05e-07,0.0949
6.1e-07,0.0868
6.15e-07,0.0797
6.2e-07,0.0783
6.25e-07,0.0732
6.3e-07,0.0737
6.35e-07,0.0709
6.4e-07,0.0703
6.45e-07,0.0696
6.5e-07,0.0673
6.55e-07,0.0677
6.6e-07,0.0682
6.65e-07,0.0665
6.7e-07,0.0691
6.75e-07,0.0695
6.8e-07,0.0723
6.85e-07,0.0727
6.9e-07,0.0757
6.95e-07,0.0767
7e-07,0.081
7.05e-07,0.0818
7.1e-07,0.0837
7.15e-07,0.0822
7.2e-07,0.0838
7.25e-07,0.0847
7.3e-07,0.0837
7.35e-07,0.0864
7.4e-07,0.0882
7.45e-07,0.0923
7.5e-07,0.0967
7.55e-07,0.0996
7.6e-07,0.1027
7.65e-07,0.108
7.7e-07,0.1115
7.75e-07,0.1118
7.8e-07,0.1152
7.85e-07,0.1201
7.9e-07,0.1253
7.95e-07,0.1313
8e-07,0.1393
8.05e-07,0.1393
8.1e-07,0.1393
8.15e-07,0.1393
8.2e-07,0.1393
8.25e-07,0.1393
8.3e-07,0.1393
