wavelength,VS12
3.6e-07,0.0941
3.65e-07,0.0941
3.7e-07,0.0941
3.75e-07,0.0941
3.8e-07,0.0941
3.85e-07,0.1164
3.9e-07,0.1467
3.95e-07,0.1852
4e-07,0.2211
4.05e-07,0.2502
4.1e-07,0.2689
4.15e-07,0.2804
4.2e-07,0.2878
4.25e-07,0.297
4.3e-07,0.3074
4.35e-07,0.3181
4.4e-07,0.329
4.45e-07,0.3351
4.5e-07,0.333
4.55e-07,0.3269
4.6e-07,0.3159
4.65e-07,0.3021
4.7e-07,0.2877
4.75e-07,0.2667
4.8e-07,0.244
4.85e-07,0.2194
4.9e-07,0.196
4.95e-07,0.177
5e-07,0.1629
5.05e-07,0.1479
5.1e-07,0.1356
5.15e-07,0.1242
5.2e-07,0.1132
5.25e-07,0.1062
5.3e-07,0.1026
5.35e-07,0.0981
5.4e-07,0.0946
5.45e-07,0.0906
5.5e-07,0.086
5.55e-07,0.0801
5.6e-07,0.0748
5.65e-07,0.0735
5.7e-07,0.0731
5.75e-07,0.0719
5.8e-07,0.0726
5.85e-07,0.0731
5.9e-07,0.074
5.95e-07,0.0747
6e-07,0.0741
6.05e-07,0.0741
6.1e-07,0.0735
6.15e-07,0.0723
6.2e-07,0.0732
6.25e-07,0.0734
6.3e-07,0.0767
6.35e-07,0.0794
6.4e-07,0.0832
6.45e-07,0.0878
6.5e-07,0.0933
6.55e-07,0.0982
6.6e-07,0.0991
6.65e-07,0.1026
6.7e-07,0.1017
6.75e-07,0.0991
6.8e-07,0.097
6.85e-07,0.0938
6.9e-07,0.0931
6.95e-07,0.0921
7e-07,0.0927
7.05e-07,0.094
7.1e-07,0.0968
7.15e-07,0.0993
7.2e-07,0.103
7.25e-07,0.1069
7.3e-07,0.1145
7.35e-07,0.1229
7.4e-07,0.1338
7.45e-07,0.147
7.5e-07,0.162
7.55e-07,0.1806
7.6e-07,0.1969
7.65e-07,0.2148
7.7e-07,0.2337
7.75e-07,0.2568
7.8e-07,0.2776
7.85e-07,0.3028
7.9e-07,0.3361
7.95e-07,0.3601
8e-07,0.3897
8.05e-07,0.3897
8.1e-07,0.3897
8.15e-07,0.3897
8.2e-07,0.3897
8.25e-07,0.3897
8.3e-07,0.3897
