wavelength,VS14
3.8e-07,0.053
3.85e-07,0.0507
3.9e-07,0.0505
3.95e-07,0.0502
4e-07,0.0498
4.05e-07,0.0489
4.1e-07,0.0503
4.15e-07,0.0492
4.2e-07,0.0511
4.25e-07,0.0509
4.3e-07,0.0496
4.35e-07,0.0494
4.4e-07,0.048
4.45e-07,0.0487
4.5e-07,0.0468
4.55e-07,0.0443
4.6e-07,0.044
4.65e-07,0.0427
4.7e-07,0.0421
4.75e-07,0.0414
4.8e-07,0.0408
4.85e-07,0.04
4.9e-07,0.0392
4.95e-07,0.0406
5e-07,0.0388
5.05e-07,0.0396
5.1e-07,0.0397
5.15e-07,0.0391
5.2e-07,0.0405
5.25e-07,0.0394
5.3e-07,0.0401
5.35e-07,0.0396
5.4e-07,0.0396
5.45e-07,0.0395
5.5e-07,0.0399
5.55e-07,0.042
5.6e-07,0.041
5.65e-07,0.0464
5.7e-07,0.05
5.75e-07,0.0545
5.8e-07,0.062
5.85e-07,0.0742
5.9e-07,0.0937
5.95e-07,0.1279
6e-07,0.1762
6.05e-07,0.2449
6.1e-07,0.3211
6.15e-07,0.405
6.2e-07,0.4745
6.25e-07,0.5335
6.3e-07,0.5776
6.35e-07,0.6094
6.4e-07,0.632
6.45e-07,0.6495
6.5e-07,0.662
6.55e-07,0.6743
6.6e-07,0.6833
6.65e-07,0.6895
6.7e-07,0.6924
6.75e-07,0.703
6.8e-07,0.7075
6.85e-07,0.7112
6.9e-07,0.7187
6.95e-07,0.7214
7e-07,0.7284
7.05e-07,0.7327
7.1e-07,0.7351
7.15e-07,0.7374
7.2e-07,0.741
7.25e-07,0.7417
7.3e-07,0.7491
7.35e-07,0.7516
7.4e-07,0.7532
7.45e-07,0.7567
7.5e-07,0.76
7.55e-07,0.7592
7.6e-07,0.7605
7.65e-07,0.7629
7.7e-07,0.7646
7.75e-07,0.7622
7.8e-07,0.768
7.85e-07,0.7672
7.9e-07,0.7645
7.95e-07,0.7669
8e-07,0.7683
8.05e-07,0.7683
8.1e-07,0.7683
8.15e-07,0.7683
8.2e-07,0.7683
8.25e-07,0.7683
8.3e-07,0.7683
