wavelength,VS1
3.8e-07,0.1086
3.85e-07,0.138
3.9e-07,0.1729
3.95e-07,0.2167
4e-07,0.2539
4.05e-07,0.2785
4.1e-07,0.2853
4.15e-07,0.2883
4.2e-07,0.286
4.25e-07,0.2761
4.3e-07,0.2674
4.35e-07,0.2565
4.4e-07,0.2422
4.45e-07,0.2281
4.5e-07,0.214
4.55e-07,0.2004
4.6e-07,0.1854
4.65e-07,0.1733
4.7e-07,0.1602
4.75e-07,0.1499
4.8e-07,0.1414
4.85e-07,0.1288
4.9e-07,0.1204
4.95e-07,0.1104
5e-07,0.1061
5.05e-07,0.1018
5.1e-07,0.0968
5.15e-07,0.0941
5.2e-07,0.0881
5.25e-07,0.0842
5.3e-07,0.0808
5.35e-07,0.0779
5.4e-07,0.0782
5.45e-07,0.0773
5.5e-07,0.0793
5.55e-07,0.079
5.6e-07,0.0793
5.65e-07,0.0806
5.7e-07,0.0805
5.75e-07,0.0793
5.8e-07,0.0803
5.85e-07,0.0815
5.9e-07,0.0842
5.95e-07,0.0912
6e-07,0.1035
6.05e-07,0.1212
6.1e-07,0.1455
6.15e-07,0.1785
6.2e-07,0.2107
6.25e-07,0.246
6.3e-07,0.2791
6.35e-07,0.3074
6.4e-07,0.333
6.45e-07,0.3542
6.5e-07,0.3745
6.55e-07,0.392
6.6e-07,0.4052
6.65e-07,0.4186
6.7e-07,0.4281
6.75e-07,0.4395
6.8e-07,0.444
6.85e-07,0.4497
6.9e-07,0.4555
6.95e-07,0.4612
7e-07,0.4663
7.05e-07,0.4707
7.1e-07,0.4783
7.15e-07,0.4778
7.2e-07,0.4844
7.25e-07,0.4877
7.3e-07,0.4928
7.35e-07,0.496
7.4e-07,0.4976
7.45e-07,0.4993
7.5e-07,0.5015
7.55e-07,0.5044
7.6e-07,0.5042
7.65e-07,0.5073
7.7e-07,0.5112
7.75e-07,0.5147
7.8e-07,0.5128
7.85e-07,0.5108
7.9e-07,0.5171
7.95e-07,0.5135
8e-07,0.5191
8.05e-07,0.5191
8.1e-07,0.5191
8.15e-07,0.5191
8.2e-07,0.5191
8.25e-07,0.5191
8.3e-07,0.5191
