wavelength,neutral 8 (.23 D)
3.8000000000000001e-07,0.14999999999999999
3.8500000000000002e-07,0.18400000000000002
3.9000000000000002e-07,0.23499999999999999
3.9500000000000003e-07,0.29899999999999999
4.0000000000000003e-07,0.37199999999999994
4.0500000000000004e-07,0.45900000000000002
4.1000000000000004e-07,0.52900000000000003
4.1500000000000005e-07,0.56399999999999995
4.2e-07,0.58000000000000007
4.2500000000000001e-07,0.58399999999999996
4.3000000000000001e-07,0.58499999999999996
4.3500000000000002e-07,0.58700000000000008
4.4000000000000002e-07,0.58700000000000008
4.4500000000000003e-07,0.58799999999999986
4.5000000000000003e-07,0.58799999999999997
4.5500000000000004e-07,0.58699999999999997
4.6000000000000004e-07,0.58599999999999997
4.6500000000000005e-07,0.58499999999999985
4.7000000000000005e-07,0.58299999999999996
4.75e-07,0.58199999999999985
4.8000000000000006e-07,0.58099999999999996
4.8500000000000002e-07,0.57999999999999996
4.9000000000000007e-07,0.57999999999999996
4.9500000000000003e-07,0.57999999999999996
5.0000000000000008e-07,0.57999999999999996
5.0500000000000004e-07,0.57999999999999985
5.0999999999999999e-07,0.57999999999999996
5.1500000000000005e-07,0.58099999999999996
5.2e-07,0.58099999999999996
5.2500000000000006e-07,0.58199999999999985
5.3000000000000001e-07,0.58200000000000007
5.3500000000000007e-07,0.58199999999999996
5.4000000000000002e-07,0.58299999999999996
5.4500000000000008e-07,0.58299999999999985
5.5000000000000003e-07,0.58299999999999996
5.5500000000000009e-07,0.58399999999999996
5.6000000000000004e-07,0.58399999999999985
5.6499999999999999e-07,0.58499999999999985
5.7000000000000005e-07,0.58600000000000008
5.75e-07,0.58699999999999997
5.8000000000000006e-07,0.58799999999999986
5.8500000000000001e-07,0.58800000000000008
5.9000000000000007e-07,0.58799999999999997
5.9500000000000002e-07,0.58799999999999997
6.0000000000000008e-07,0.58799999999999986
6.0500000000000003e-07,0.58699999999999997
6.1000000000000009e-07,0.58599999999999997
6.1500000000000004e-07,0.58599999999999997
6.1999999999999999e-07,0.58499999999999996
6.2500000000000005e-07,0.58399999999999996
6.3e-07,0.58299999999999996
6.3500000000000006e-07,0.58099999999999996
6.4000000000000001e-07,0.58000000000000007
6.4500000000000007e-07,0.57899999999999996
6.5000000000000002e-07,0.57800000000000007
6.5500000000000008e-07,0.57699999999999996
6.6000000000000003e-07,0.57599999999999996
6.6500000000000009e-07,0.57499999999999996
6.7000000000000004e-07,0.57399999999999995
6.75e-07,0.57299999999999995
6.8000000000000005e-07,0.57199999999999995
6.8500000000000001e-07,0.57099999999999995
6.9000000000000006e-07,0.57000000000000006
6.9500000000000002e-07,0.56900000000000006
7.0000000000000007e-07,0.56799999999999995
7.0500000000000003e-07,0.56699999999999995
7.1000000000000008e-07,0.56599999999999995
7.1500000000000004e-07,0.56499999999999995
7.2000000000000009e-07,0.56399999999999995
7.2500000000000005e-07,0.56199999999999994
7.3e-07,0.56200000000000017
7.3500000000000006e-07,0.56000000000000016
7.4000000000000001e-07,0.56000000000000005
7.4500000000000007e-07,0.55799999999999994
7.5000000000000002e-07,0.55700000000000016
7.5500000000000008e-07,0.55600000000000005
7.6000000000000003e-07,0.55500000000000016
7.6500000000000009e-07,0.55400000000000005
7.7000000000000004e-07,0.55300000000000016
7.750000000000001e-07,0.55100000000000016
7.8000000000000005e-07,0.55000000000000004
