wavelength,yellow
3.8000000000000001e-07,0.053999999999999999
3.8500000000000002e-07,0.053000000000000005
3.9000000000000002e-07,0.054000000000000006
3.9500000000000003e-07,0.052999999999999992
4.0000000000000003e-07,0.052999999999999985
4.0500000000000004e-07,0.052999999999999999
4.1000000000000004e-07,0.052999999999999992
4.1500000000000005e-07,0.051999999999999998
4.2e-07,0.051999999999999998
4.2500000000000001e-07,0.052000000000000005
4.3000000000000001e-07,0.053000000000000005
4.3500000000000002e-07,0.052999999999999992
4.4000000000000002e-07,0.052999999999999992
4.4500000000000003e-07,0.053999999999999992
4.5000000000000003e-07,0.055
4.5500000000000004e-07,0.056000000000000001
4.6000000000000004e-07,0.058999999999999997
4.6500000000000005e-07,0.065000000000000002
4.7000000000000005e-07,0.074999999999999983
4.75e-07,0.092999999999999999
4.8000000000000006e-07,0.12099999999999998
4.8500000000000002e-07,0.157
4.9000000000000007e-07,0.20200000000000001
4.9500000000000003e-07,0.252
5.0000000000000008e-07,0.30300000000000005
5.0500000000000004e-07,0.35099999999999998
5.0999999999999999e-07,0.39400000000000002
5.1500000000000005e-07,0.436
5.2e-07,0.47499999999999998
5.2500000000000006e-07,0.5119999999999999
5.3000000000000001e-07,0.54400000000000004
5.3500000000000007e-07,0.57199999999999995
5.4000000000000002e-07,0.59699999999999998
5.4500000000000008e-07,0.61499999999999999
5.5000000000000003e-07,0.63
5.5500000000000009e-07,0.64500000000000002
5.6000000000000004e-07,0.66000000000000003
5.6499999999999999e-07,0.67300000000000004
5.7000000000000005e-07,0.68600000000000005
5.75e-07,0.69799999999999995
5.8000000000000006e-07,0.70799999999999996
5.8500000000000001e-07,0.71799999999999997
5.9000000000000007e-07,0.72599999999999987
5.9500000000000002e-07,0.73199999999999998
6.0000000000000008e-07,0.7370000000000001
6.0500000000000003e-07,0.7420000000000001
6.1000000000000009e-07,0.74599999999999989
6.1500000000000004e-07,0.749
6.1999999999999999e-07,0.75299999999999989
6.2500000000000005e-07,0.75700000000000012
6.3e-07,0.7609999999999999
6.3500000000000006e-07,0.76500000000000001
6.4000000000000001e-07,0.76800000000000002
6.4500000000000007e-07,0.77199999999999991
6.5000000000000002e-07,0.77700000000000014
6.5500000000000008e-07,0.77900000000000003
6.6000000000000003e-07,0.78000000000000003
6.6500000000000009e-07,0.78000000000000003
6.7000000000000004e-07,0.78100000000000003
6.75e-07,0.78200000000000003
6.8000000000000005e-07,0.78500000000000003
6.8500000000000001e-07,0.78500000000000003
6.9000000000000006e-07,0.78699999999999992
6.9500000000000002e-07,0.78900000000000003
7.0000000000000007e-07,0.79200000000000004
7.0500000000000003e-07,0.79200000000000015
7.1000000000000008e-07,0.79300000000000004
7.1500000000000004e-07,0.79200000000000004
7.2000000000000009e-07,0.79000000000000004
7.2500000000000005e-07,0.79200000000000004
7.3e-07,0.79200000000000004
7.3500000000000006e-07,0.79000000000000004
7.4000000000000001e-07,0.78699999999999992
7.4500000000000007e-07,0.78200000000000003
7.5000000000000002e-07,0.77800000000000002
7.5500000000000008e-07,0.77999999999999992
7.6000000000000003e-07,0.78200000000000014
7.6500000000000009e-07,0.78099999999999992
7.7000000000000004e-07,0.75200000000000011
7.750000000000001e-07,0.72799999999999998
7.8000000000000005e-07,0.70999999999999996
