wavelength,green
3.8000000000000001e-07,0.055
3.8500000000000002e-07,0.056000000000000001
3.9000000000000002e-07,0.057000000000000009
3.9500000000000003e-07,0.057999999999999996
4.0000000000000003e-07,0.058000000000000003
4.0500000000000004e-07,0.057999999999999996
4.1000000000000004e-07,0.059000000000000004
4.1500000000000005e-07,0.058999999999999997
4.2e-07,0.05899999999999999
4.2500000000000001e-07,0.059999999999999991
4.3000000000000001e-07,0.062000000000000013
4.3500000000000002e-07,0.063000000000000014
4.4000000000000002e-07,0.065000000000000002
4.4500000000000003e-07,0.067000000000000004
4.5000000000000003e-07,0.069999999999999993
4.5500000000000004e-07,0.073999999999999996
4.6000000000000004e-07,0.078
4.6500000000000005e-07,0.084000000000000005
4.7000000000000005e-07,0.090999999999999998
4.75e-07,0.10100000000000002
4.8000000000000006e-07,0.11299999999999999
4.8500000000000002e-07,0.125
4.9000000000000007e-07,0.14000000000000001
4.9500000000000003e-07,0.157
5.0000000000000008e-07,0.17999999999999999
5.0500000000000004e-07,0.20799999999999996
5.0999999999999999e-07,0.24400000000000002
5.1500000000000005e-07,0.28599999999999998
5.2e-07,0.32400000000000001
5.2500000000000006e-07,0.35099999999999998
5.3000000000000001e-07,0.36300000000000004
5.3500000000000007e-07,0.36299999999999999
5.4000000000000002e-07,0.35499999999999998
5.4500000000000008e-07,0.34199999999999997
5.5000000000000003e-07,0.32300000000000006
5.5500000000000009e-07,0.30300000000000005
5.6000000000000004e-07,0.28100000000000003
5.6499999999999999e-07,0.26000000000000001
5.7000000000000005e-07,0.23799999999999999
5.75e-07,0.217
5.8000000000000006e-07,0.19600000000000001
5.8500000000000001e-07,0.17700000000000002
5.9000000000000007e-07,0.158
5.9500000000000002e-07,0.14000000000000001
6.0000000000000008e-07,0.124
6.0500000000000003e-07,0.11100000000000002
6.1000000000000009e-07,0.10099999999999999
6.1500000000000004e-07,0.093999999999999986
6.1999999999999999e-07,0.08900000000000001
6.2500000000000005e-07,0.085999999999999993
6.3e-07,0.084000000000000005
6.3500000000000006e-07,0.08199999999999999
6.4000000000000001e-07,0.080000000000000002
6.4500000000000007e-07,0.078
6.5000000000000002e-07,0.076999999999999999
6.5500000000000008e-07,0.075999999999999998
6.6000000000000003e-07,0.074999999999999997
6.6500000000000009e-07,0.074999999999999997
6.7000000000000004e-07,0.074999999999999997
6.75e-07,0.076999999999999999
6.8000000000000005e-07,0.078000000000000014
6.8500000000000001e-07,0.080000000000000002
6.9000000000000006e-07,0.08199999999999999
6.9500000000000002e-07,0.085000000000000006
7.0000000000000007e-07,0.087999999999999995
7.0500000000000003e-07,0.088999999999999996
7.1000000000000008e-07,0.088999999999999996
7.1500000000000004e-07,0.089999999999999997
7.2000000000000009e-07,0.089999999999999983
7.2500000000000005e-07,0.089999999999999983
7.3e-07,0.088999999999999996
7.3500000000000006e-07,0.092000000000000012
7.4000000000000001e-07,0.094
7.4500000000000007e-07,0.096999999999999989
7.5000000000000002e-07,0.10199999999999999
7.5500000000000008e-07,0.10599999999999998
7.6000000000000003e-07,0.11
7.6500000000000009e-07,0.11100000000000002
7.7000000000000004e-07,0.112
7.750000000000001e-07,0.112
7.8000000000000005e-07,0.112
