wavelength,neutral 6.5 (.44 D)
3.8000000000000001e-07,0.13800000000000001
3.8500000000000002e-07,0.16699999999999998
3.9000000000000002e-07,0.20600000000000002
3.9500000000000003e-07,0.249
4.0000000000000003e-07,0.28899999999999992
4.0500000000000004e-07,0.32400000000000001
4.1000000000000004e-07,0.34599999999999997
4.1500000000000005e-07,0.35399999999999993
4.2e-07,0.35699999999999998
4.2500000000000001e-07,0.35799999999999998
4.3000000000000001e-07,0.35900000000000004
4.3500000000000002e-07,0.35999999999999999
4.4000000000000002e-07,0.36100000000000004
4.4500000000000003e-07,0.36199999999999999
4.5000000000000003e-07,0.36200000000000004
4.5500000000000004e-07,0.36100000000000004
4.6000000000000004e-07,0.36099999999999999
4.6500000000000005e-07,0.35899999999999999
4.7000000000000005e-07,0.35799999999999998
4.75e-07,0.35799999999999998
4.8000000000000006e-07,0.35699999999999998
4.8500000000000002e-07,0.35599999999999998
4.9000000000000007e-07,0.35599999999999998
4.9500000000000003e-07,0.35600000000000004
5.0000000000000008e-07,0.35599999999999998
5.0500000000000004e-07,0.35599999999999993
5.0999999999999999e-07,0.35600000000000004
5.1500000000000005e-07,0.35599999999999998
5.2e-07,0.35699999999999998
5.2500000000000006e-07,0.35699999999999998
5.3000000000000001e-07,0.35699999999999998
5.3500000000000007e-07,0.35799999999999998
5.4000000000000002e-07,0.35800000000000004
5.4500000000000008e-07,0.35799999999999998
5.5000000000000003e-07,0.35799999999999998
5.5500000000000009e-07,0.35799999999999993
5.6000000000000004e-07,0.35899999999999999
5.6499999999999999e-07,0.35899999999999999
5.7000000000000005e-07,0.35999999999999999
5.75e-07,0.36099999999999999
5.8000000000000006e-07,0.36099999999999999
5.8500000000000001e-07,0.36099999999999999
5.9000000000000007e-07,0.36099999999999999
5.9500000000000002e-07,0.36100000000000004
6.0000000000000008e-07,0.35999999999999993
6.0500000000000003e-07,0.36000000000000004
6.1000000000000009e-07,0.35899999999999999
6.1500000000000004e-07,0.35799999999999987
6.1999999999999999e-07,0.35700000000000004
6.2500000000000005e-07,0.35600000000000004
6.3e-07,0.35499999999999993
6.3500000000000006e-07,0.35399999999999993
6.4000000000000001e-07,0.35299999999999998
6.4500000000000007e-07,0.35199999999999992
6.5000000000000002e-07,0.35100000000000003
6.5500000000000008e-07,0.34999999999999998
6.6000000000000003e-07,0.34899999999999998
6.6500000000000009e-07,0.34799999999999992
6.7000000000000004e-07,0.34599999999999997
6.75e-07,0.34599999999999992
6.8000000000000005e-07,0.34500000000000003
6.8500000000000001e-07,0.34399999999999992
6.9000000000000006e-07,0.34299999999999997
6.9500000000000002e-07,0.34200000000000003
7.0000000000000007e-07,0.34100000000000003
7.0500000000000003e-07,0.34000000000000002
7.1000000000000008e-07,0.33899999999999997
7.1500000000000004e-07,0.33800000000000008
7.2000000000000009e-07,0.33700000000000002
7.2500000000000005e-07,0.33600000000000002
7.3e-07,0.33500000000000002
7.3500000000000006e-07,0.33400000000000002
7.4000000000000001e-07,0.33300000000000007
7.4500000000000007e-07,0.33200000000000002
7.5000000000000002e-07,0.33100000000000002
7.5500000000000008e-07,0.32999999999999996
7.6000000000000003e-07,0.32899999999999996
7.6500000000000009e-07,0.32799999999999996
7.7000000000000004e-07,0.32700000000000001
7.750000000000001e-07,0.32600000000000001
7.8000000000000005e-07,0.32500000000000001
