wavelength,neutral 5 (.70 D)
3.8e-07,0.113
3.85e-07,0.131
3.9e-07,0.15
3.95e-07,0.169
4e-07,0.183
4.05e-07,0.193
4.1e-07,0.199
4.15e-07,0.201
4.2e-07,0.202
4.25e-07,0.203
4.3e-07,0.203
4.35e-07,0.204
4.4e-07,0.205
4.45e-07,0.205
4.5e-07,0.205
4.55e-07,0.205
4.6e-07,0.204
4.65e-07,0.204
4.7e-07,0.203
4.75e-07,0.203
4.8e-07,0.202
4.85e-07,0.202
4.9e-07,0.202
4.95e-07,0.202
5e-07,0.202
5.05e-07,0.202
5.1e-07,0.202
5.15e-07,0.202
5.2e-07,0.202
5.25e-07,0.202
5.3e-07,0.203
5.35e-07,0.203
5.4e-07,0.203
5.45e-07,0.203
5.5e-07,0.203
5.55e-07,0.203
5.6e-07,0.203
5.65e-07,0.203
5.7e-07,0.204
5.75e-07,0.204
5.8e-07,0.205
5.85e-07,0.205
5.9e-07,0.205
5.95e-07,0.205
6e-07,0.204
6.05e-07,0.204
6.1e-07,0.204
6.15e-07,0.203
6.2e-07,0.203
6.25e-07,0.202
6.3e-07,0.201
6.35e-07,0.201
6.4e-07,0.2
6.45e-07,0.199
6.5e-07,0.198
6.55e-07,0.198
6.6e-07,0.197
6.65e-07,0.197
6.7e-07,0.196
6.75e-07,0.195
6.8e-07,0.195
6.85e-07,0.194
6.9e-07,0.194
6.95e-07,0.193
7e-07,0.192
7.05e-07,0.192
7.1e-07,0.191
7.15e-07,0.191
7.2e-07,0.19
7.25e-07,0.189
7.3e-07,0.189
7.35e-07,0.188
7.4e-07,0.188
7.45e-07,0.187
7.5e-07,0.187
7.55e-07,0.186
7.6e-07,0.185
7.65e-07,0.185
7.7e-07,0.184
7.75e-07,0.184
7.8e-07,0.183
