wavelength,blue sky
3.8e-07,0.113
3.85e-07,0.138
3.9e-07,0.174
3.95e-07,0.219
4e-07,0.266
4.05e-07,0.3
4.1e-07,0.32
4.15e-07,0.33
4.2e-07,0.336
4.25e-07,0.337
4.3e-07,0.337
4.35e-07,0.337
4.4e-07,0.335
4.45e-07,0.334
4.5e-07,0.331
4.55e-07,0.327
4.6e-07,0.322
4.65e-07,0.316
4.7e-07,0.31
4.75e-07,0.302
4.8e-07,0.293
4.85e-07,0.285
4.9e-07,0.276
4.95e-07,0.268
5e-07,0.26
5.05e-07,0.251
5.1e-07,0.243
5.15e-07,0.234
5.2e-07,0.225
5.25e-07,0.215
5.3e-07,0.208
5.35e-07,0.203
5.4e-07,0.198
5.45e-07,0.195
5.5e-07,0.191
5.55e-07,0.188
5.6e-07,0.183
5.65e-07,0.177
5.7e-07,0.172
5.75e-07,0.167
5.8e-07,0.163
5.85e-07,0.16
5.9e-07,0.157
5.95e-07,0.153
6e-07,0.15
6.05e-07,0.147
6.1e-07,0.144
6.15e-07,0.141
6.2e-07,0.137
6.25e-07,0.133
6.3e-07,0.13
6.35e-07,0.126
6.4e-07,0.123
6.45e-07,0.12
6.5e-07,0.118
6.55e-07,0.115
6.6e-07,0.112
6.65e-07,0.11
6.7e-07,0.108
6.75e-07,0.106
6.8e-07,0.105
6.85e-07,0.104
6.9e-07,0.104
6.95e-07,0.103
7e-07,0.103
7.05e-07,0.102
7.1e-07,0.102
7.15e-07,0.102
7.2e-07,0.102
7.25e-07,0.102
7.3e-07,0.102
7.35e-07,0.104
7.4e-07,0.104
7.45e-07,0.104
7.5e-07,0.104
7.55e-07,0.106
7.6e-07,0.106
7.65e-07,0.107
7.7e-07,0.11
7.75e-07,0.115
7.8e-07,0.12
