wavelength,dark skin
3.8000000000000001e-07,0.048000000000000001
3.8500000000000002e-07,0.051000000000000004
3.9000000000000002e-07,0.055
3.9500000000000003e-07,0.059999999999999998
4.0000000000000003e-07,0.065000000000000002
4.0500000000000004e-07,0.067999999999999991
4.1000000000000004e-07,0.068000000000000005
4.1500000000000005e-07,0.067000000000000004
4.2e-07,0.064000000000000001
4.2500000000000001e-07,0.062
4.3000000000000001e-07,0.058999999999999997
4.3500000000000002e-07,0.057000000000000002
4.4000000000000002e-07,0.055
4.4500000000000003e-07,0.053999999999999999
4.5000000000000003e-07,0.052999999999999992
4.5500000000000004e-07,0.052999999999999999
4.6000000000000004e-07,0.052000000000000005
4.6500000000000005e-07,0.052000000000000005
4.7000000000000005e-07,0.051999999999999991
4.75e-07,0.053000000000000005
4.8000000000000006e-07,0.053999999999999992
4.8500000000000002e-07,0.054999999999999993
4.9000000000000007e-07,0.057000000000000002
4.9500000000000003e-07,0.058999999999999997
5.0000000000000008e-07,0.060999999999999999
5.0500000000000004e-07,0.062
5.0999999999999999e-07,0.065000000000000016
5.1500000000000005e-07,0.067000000000000004
5.2e-07,0.070000000000000007
5.2500000000000006e-07,0.071999999999999981
5.3000000000000001e-07,0.073999999999999996
5.3500000000000007e-07,0.075000000000000011
5.4000000000000002e-07,0.076000000000000012
5.4500000000000008e-07,0.078
5.5000000000000003e-07,0.079000000000000015
5.5500000000000009e-07,0.082000000000000003
5.6000000000000004e-07,0.086999999999999994
5.6499999999999999e-07,0.091999999999999998
5.7000000000000005e-07,0.10000000000000001
5.75e-07,0.10700000000000001
5.8000000000000006e-07,0.11499999999999999
5.8500000000000001e-07,0.12200000000000001
5.9000000000000007e-07,0.129
5.9500000000000002e-07,0.13400000000000001
6.0000000000000008e-07,0.13800000000000001
6.0500000000000003e-07,0.14200000000000002
6.1000000000000009e-07,0.14599999999999999
6.1500000000000004e-07,0.14999999999999999
6.1999999999999999e-07,0.154
6.2500000000000005e-07,0.15800000000000003
6.3e-07,0.16300000000000003
6.3500000000000006e-07,0.16700000000000001
6.4000000000000001e-07,0.17300000000000001
6.4500000000000007e-07,0.17999999999999999
6.5000000000000002e-07,0.18800000000000003
6.5500000000000008e-07,0.19600000000000001
6.6000000000000003e-07,0.20399999999999999
6.6500000000000009e-07,0.21299999999999997
6.7000000000000004e-07,0.222
6.75e-07,0.23100000000000001
6.8000000000000005e-07,0.24199999999999999
6.8500000000000001e-07,0.251
6.9000000000000006e-07,0.26100000000000001
6.9500000000000002e-07,0.27100000000000002
7.0000000000000007e-07,0.28199999999999992
7.0500000000000003e-07,0.29399999999999998
7.1000000000000008e-07,0.30499999999999999
7.1500000000000004e-07,0.31800000000000006
7.2000000000000009e-07,0.33399999999999996
7.2500000000000005e-07,0.35399999999999993
7.3e-07,0.372
7.3500000000000006e-07,0.39200000000000002
7.4000000000000001e-07,0.40899999999999997
7.4500000000000007e-07,0.41999999999999998
7.5000000000000002e-07,0.43600000000000005
7.5500000000000008e-07,0.44999999999999996
7.6000000000000003e-07,0.46199999999999997
7.6500000000000009e-07,0.46500000000000002
7.7000000000000004e-07,0.44799999999999995
7.750000000000001e-07,0.43200000000000005
7.8000000000000005e-07,0.42099999999999999
