wavelength,white 9.5 (.05 D)
3.8000000000000001e-07,0.153
3.8500000000000002e-07,0.189
3.9000000000000002e-07,0.24500000000000002
3.9500000000000003e-07,0.31899999999999995
4.0000000000000003e-07,0.40899999999999992
4.0500000000000004e-07,0.53600000000000003
4.1000000000000004e-07,0.67099999999999993
4.1500000000000005e-07,0.77200000000000002
4.2e-07,0.83999999999999986
4.2500000000000001e-07,0.8680000000000001
4.3000000000000001e-07,0.87799999999999989
4.3500000000000002e-07,0.88200000000000012
4.4000000000000002e-07,0.88300000000000001
4.4500000000000003e-07,0.88500000000000001
4.5000000000000003e-07,0.88600000000000001
4.5500000000000004e-07,0.88600000000000012
4.6000000000000004e-07,0.88700000000000001
4.6500000000000005e-07,0.88800000000000001
4.7000000000000005e-07,0.88800000000000012
4.75e-07,0.88800000000000001
4.8000000000000006e-07,0.88800000000000001
4.8500000000000002e-07,0.88800000000000001
4.9000000000000007e-07,0.88800000000000001
4.9500000000000003e-07,0.88800000000000001
5.0000000000000008e-07,0.88700000000000001
5.0500000000000004e-07,0.88700000000000001
5.0999999999999999e-07,0.88700000000000023
5.1500000000000005e-07,0.88700000000000001
5.2e-07,0.88700000000000001
5.2500000000000006e-07,0.8869999999999999
5.3000000000000001e-07,0.88700000000000001
5.3500000000000007e-07,0.88700000000000001
5.4000000000000002e-07,0.88700000000000001
5.4500000000000008e-07,0.8859999999999999
5.5000000000000003e-07,0.88600000000000012
5.5500000000000009e-07,0.88700000000000001
5.6000000000000004e-07,0.8869999999999999
5.6499999999999999e-07,0.8869999999999999
5.7000000000000005e-07,0.8879999999999999
5.75e-07,0.88800000000000012
5.8000000000000006e-07,0.88700000000000001
5.8500000000000001e-07,0.88600000000000001
5.9000000000000007e-07,0.88600000000000001
5.9500000000000002e-07,0.88600000000000001
6.0000000000000008e-07,0.88700000000000001
6.0500000000000003e-07,0.88800000000000012
6.1000000000000009e-07,0.88900000000000001
6.1500000000000004e-07,0.8899999999999999
6.1999999999999999e-07,0.89100000000000013
6.2500000000000005e-07,0.89100000000000001
6.3e-07,0.89100000000000001
6.3500000000000006e-07,0.89100000000000001
6.4000000000000001e-07,0.89000000000000012
6.4500000000000007e-07,0.88900000000000001
6.5000000000000002e-07,0.88900000000000001
6.5500000000000008e-07,0.8889999999999999
6.6000000000000003e-07,0.88900000000000012
6.6500000000000009e-07,0.88900000000000001
6.7000000000000004e-07,0.88800000000000012
6.75e-07,0.88800000000000012
6.8000000000000005e-07,0.88800000000000012
6.8500000000000001e-07,0.88800000000000001
6.9000000000000006e-07,0.88800000000000001
6.9500000000000002e-07,0.88800000000000001
7.0000000000000007e-07,0.8879999999999999
7.0500000000000003e-07,0.88700000000000012
7.1000000000000008e-07,0.88600000000000001
7.1500000000000004e-07,0.8859999999999999
7.2000000000000009e-07,0.88600000000000001
7.2500000000000005e-07,0.88500000000000012
7.3e-07,0.88500000000000001
7.3500000000000006e-07,0.88500000000000012
7.4000000000000001e-07,0.88400000000000001
7.4500000000000007e-07,0.88400000000000012
7.5000000000000002e-07,0.88300000000000012
7.5500000000000008e-07,0.8819999999999999
7.6000000000000003e-07,0.88200000000000001
7.6500000000000009e-07,0.88100000000000001
7.7000000000000004e-07,0.88
7.750000000000001e-07,0.88000000000000012
7.8000000000000005e-07,0.879
