wavelength,orange
3.8000000000000001e-07,0.052999999999999999
3.8500000000000002e-07,0.053999999999999999
3.9000000000000002e-07,0.053999999999999999
3.9500000000000003e-07,0.053999999999999999
4.0000000000000003e-07,0.053999999999999999
4.0500000000000004e-07,0.053999999999999992
4.1000000000000004e-07,0.053000000000000005
4.1500000000000005e-07,0.052999999999999992
4.2e-07,0.052000000000000005
4.2500000000000001e-07,0.051999999999999998
4.3000000000000001e-07,0.051999999999999991
4.3500000000000002e-07,0.051999999999999998
4.4000000000000002e-07,0.051999999999999998
4.4500000000000003e-07,0.051999999999999998
4.5000000000000003e-07,0.051999999999999998
4.5500000000000004e-07,0.051999999999999991
4.6000000000000004e-07,0.052000000000000005
4.6500000000000005e-07,0.052000000000000005
4.7000000000000005e-07,0.052999999999999992
4.75e-07,0.053999999999999992
4.8000000000000006e-07,0.055
4.8500000000000002e-07,0.056000000000000001
4.9000000000000007e-07,0.056999999999999995
4.9500000000000003e-07,0.058999999999999997
5.0000000000000008e-07,0.060999999999999999
5.0500000000000004e-07,0.063999999999999987
5.0999999999999999e-07,0.068000000000000005
5.1500000000000005e-07,0.075999999999999998
5.2e-07,0.085999999999999993
5.2500000000000006e-07,0.10100000000000001
5.3000000000000001e-07,0.12
5.3500000000000007e-07,0.14299999999999996
5.4000000000000002e-07,0.17000000000000004
5.4500000000000008e-07,0.19800000000000001
5.5000000000000003e-07,0.22800000000000001
5.5500000000000009e-07,0.26000000000000001
5.6000000000000004e-07,0.29700000000000004
5.6499999999999999e-07,0.33800000000000002
5.7000000000000005e-07,0.38
5.75e-07,0.41799999999999998
5.8000000000000006e-07,0.45199999999999996
5.8500000000000001e-07,0.48100000000000004
5.9000000000000007e-07,0.503
5.9500000000000002e-07,0.52000000000000013
6.0000000000000008e-07,0.53200000000000003
6.0500000000000003e-07,0.54300000000000004
6.1000000000000009e-07,0.55200000000000005
6.1500000000000004e-07,0.56000000000000005
6.1999999999999999e-07,0.56599999999999995
6.2500000000000005e-07,0.57199999999999995
6.3e-07,0.57799999999999996
6.3500000000000006e-07,0.58299999999999996
6.4000000000000001e-07,0.58699999999999997
6.4500000000000007e-07,0.59299999999999997
6.5000000000000002e-07,0.59899999999999998
6.5500000000000008e-07,0.60199999999999987
6.6000000000000003e-07,0.60399999999999998
6.6500000000000009e-07,0.60599999999999998
6.7000000000000004e-07,0.60799999999999998
6.75e-07,0.61099999999999999
6.8000000000000005e-07,0.61499999999999999
6.8500000000000001e-07,0.61899999999999999
6.9000000000000006e-07,0.622
6.9500000000000002e-07,0.625
7.0000000000000007e-07,0.62800000000000011
7.0500000000000003e-07,0.63
7.1000000000000008e-07,0.6329999999999999
7.1500000000000004e-07,0.63300000000000012
7.2000000000000009e-07,0.6329999999999999
7.2500000000000005e-07,0.63600000000000001
7.3e-07,0.63700000000000001
7.3500000000000006e-07,0.63900000000000001
7.4000000000000001e-07,0.63800000000000001
7.4500000000000007e-07,0.63300000000000001
7.5000000000000002e-07,0.63300000000000001
7.5500000000000008e-07,0.63600000000000001
7.6000000000000003e-07,0.64100000000000001
7.6500000000000009e-07,0.63900000000000001
7.7000000000000004e-07,0.61599999999999999
7.750000000000001e-07,0.59799999999999986
7.8000000000000005e-07,0.58199999999999996
