wavelength,blue-flower
3.8e-07,0.123
3.85e-07,0.152
3.9e-07,0.197
3.95e-07,0.258
4e-07,0.328
4.05e-07,0.385
4.1e-07,0.418
4.15e-07,0.437
4.2e-07,0.446
4.25e-07,0.448
4.3e-07,0.448
4.35e-07,0.447
4.4e-07,0.444
4.45e-07,0.44
4.5e-07,0.434
4.55e-07,0.428
4.6e-07,0.421
4.65e-07,0.413
4.7e-07,0.405
4.75e-07,0.394
4.8e-07,0.381
4.85e-07,0.372
4.9e-07,0.362
4.95e-07,0.352
5e-07,0.342
5.05e-07,0.33
5.1e-07,0.314
5.15e-07,0.294
5.2e-07,0.271
5.25e-07,0.249
5.3e-07,0.231
5.35e-07,0.219
5.4e-07,0.211
5.45e-07,0.209
5.5e-07,0.209
5.55e-07,0.207
5.6e-07,0.201
5.65e-07,0.196
5.7e-07,0.196
5.75e-07,0.199
5.8e-07,0.206
5.85e-07,0.215
5.9e-07,0.223
5.95e-07,0.229
6e-07,0.235
6.05e-07,0.241
6.1e-07,0.245
6.15e-07,0.245
6.2e-07,0.243
6.25e-07,0.243
6.3e-07,0.247
6.35e-07,0.254
6.4e-07,0.269
6.45e-07,0.291
6.5e-07,0.318
6.55e-07,0.351
6.6e-07,0.384
6.65e-07,0.417
6.7e-07,0.446
6.75e-07,0.47
6.8e-07,0.49
6.85e-07,0.504
6.9e-07,0.511
6.95e-07,0.517
7e-07,0.52
7.05e-07,0.522
7.1e-07,0.523
7.15e-07,0.522
7.2e-07,0.521
7.25e-07,0.521
7.3e-07,0.522
7.35e-07,0.521
7.4e-07,0.521
7.45e-07,0.516
7.5e-07,0.514
7.55e-07,0.514
7.6e-07,0.517
7.65e-07,0.515
7.7e-07,0.5
7.75e-07,0.491
7.8e-07,0.487
