wavelength,magenta
3.8000000000000001e-07,0.11799999999999999
3.8500000000000002e-07,0.14199999999999999
3.9000000000000002e-07,0.17899999999999999
3.9500000000000003e-07,0.22800000000000001
4.0000000000000003e-07,0.28299999999999997
4.0500000000000004e-07,0.32200000000000001
4.1000000000000004e-07,0.34299999999999997
4.1500000000000005e-07,0.35399999999999993
4.2e-07,0.35899999999999999
4.2500000000000001e-07,0.35700000000000004
4.3000000000000001e-07,0.35000000000000003
4.3500000000000002e-07,0.33900000000000008
4.4000000000000002e-07,0.32700000000000001
4.4500000000000003e-07,0.313
4.5000000000000003e-07,0.29799999999999999
4.5500000000000004e-07,0.28199999999999997
4.6000000000000004e-07,0.26700000000000002
4.6500000000000005e-07,0.25299999999999995
4.7000000000000005e-07,0.23899999999999999
4.75e-07,0.22500000000000001
4.8000000000000006e-07,0.20899999999999999
4.8500000000000002e-07,0.19500000000000003
4.9000000000000007e-07,0.182
4.9500000000000003e-07,0.17199999999999999
5.0000000000000008e-07,0.16299999999999998
5.0500000000000004e-07,0.155
5.0999999999999999e-07,0.14599999999999999
5.1500000000000005e-07,0.13500000000000001
5.2e-07,0.12399999999999999
5.2500000000000006e-07,0.11299999999999999
5.3000000000000001e-07,0.10600000000000001
5.3500000000000007e-07,0.10199999999999999
5.4000000000000002e-07,0.10199999999999999
5.4500000000000008e-07,0.105
5.5000000000000003e-07,0.107
5.5500000000000009e-07,0.10699999999999998
5.6000000000000004e-07,0.10599999999999998
5.6499999999999999e-07,0.107
5.7000000000000005e-07,0.11200000000000002
5.75e-07,0.12299999999999997
5.8000000000000006e-07,0.14099999999999996
5.8500000000000001e-07,0.16600000000000004
5.9000000000000007e-07,0.19799999999999998
5.9500000000000002e-07,0.23500000000000004
6.0000000000000008e-07,0.27900000000000003
6.0500000000000003e-07,0.33300000000000002
6.1000000000000009e-07,0.39400000000000002
6.1500000000000004e-07,0.46000000000000008
6.1999999999999999e-07,0.52200000000000002
6.2500000000000005e-07,0.57999999999999996
6.3e-07,0.628
6.3500000000000006e-07,0.66600000000000004
6.4000000000000001e-07,0.69600000000000006
6.4500000000000007e-07,0.72199999999999986
6.5000000000000002e-07,0.74199999999999999
6.5500000000000008e-07,0.75600000000000001
6.6000000000000003e-07,0.76600000000000001
6.6500000000000009e-07,0.77400000000000002
6.7000000000000004e-07,0.78000000000000003
6.75e-07,0.78500000000000014
6.8000000000000005e-07,0.79100000000000015
6.8500000000000001e-07,0.79400000000000004
6.9000000000000006e-07,0.79800000000000004
6.9500000000000002e-07,0.80099999999999993
7.0000000000000007e-07,0.80400000000000005
7.0500000000000003e-07,0.80600000000000005
7.1000000000000008e-07,0.80699999999999994
7.1500000000000004e-07,0.80700000000000005
7.2000000000000009e-07,0.80700000000000005
7.2500000000000005e-07,0.81000000000000005
7.3e-07,0.81299999999999994
7.3500000000000006e-07,0.81399999999999995
7.4000000000000001e-07,0.81300000000000017
7.4500000000000007e-07,0.81000000000000005
7.5000000000000002e-07,0.80800000000000005
7.5500000000000008e-07,0.81100000000000005
7.6000000000000003e-07,0.81399999999999995
7.6500000000000009e-07,0.81299999999999983
7.7000000000000004e-07,0.78500000000000003
7.750000000000001e-07,0.7649999999999999
7.8000000000000005e-07,0.752
