wavelength,m_bar
3.9000000000000002e-07,0.00035822700000000002
3.9100000000000005e-07,0.00043866
3.9200000000000002e-07,0.00053622999999999995
3.9300000000000004e-07,0.00065406100000000005
3.9400000000000001e-07,0.00079564899999999984
3.9500000000000003e-07,0.00096482800000000004
3.96e-07,0.0011657200000000001
3.9700000000000002e-07,0.00140263
3.9800000000000004e-07,0.0016799199999999999
3.9900000000000001e-07,0.0020018000000000002
4.0000000000000003e-07,0.0023720799999999995
4.01e-07,0.0027943300000000003
4.0200000000000003e-07,0.0032737399999999998
4.0300000000000005e-07,0.0038165999999999999
4.0400000000000002e-07,0.0044302100000000004
4.0500000000000004e-07,0.0051231600000000007
4.0600000000000001e-07,0.0059045800000000013
4.0700000000000003e-07,0.0067800499999999993
4.08e-07,0.0077526000000000001
4.0900000000000002e-07,0.0088228600000000001
4.1000000000000004e-07,0.0099884099999999996
4.1100000000000001e-07,0.0112452
4.1200000000000004e-07,0.012594899999999999
4.1300000000000001e-07,0.014042499999999999
4.1400000000000003e-07,0.0155944
4.1500000000000005e-07,0.0172596
4.1600000000000002e-07,0.0190467
4.1700000000000004e-07,0.020954500000000001
4.1800000000000001e-07,0.022976300000000005
4.1900000000000003e-07,0.025101700000000005
4.2e-07,0.027316300000000002
4.2100000000000002e-07,0.029606199999999999
4.2200000000000005e-07,0.031974599999999999
4.2300000000000002e-07,0.034432999999999991
4.2400000000000004e-07,0.036998299999999991
4.2500000000000001e-07,0.0396928
4.2600000000000003e-07,0.0425402
4.2700000000000005e-07,0.045547400000000002
4.2800000000000002e-07,0.048716099999999998
4.2900000000000004e-07,0.052046700000000001
4.3000000000000001e-07,0.055538400000000009
4.3100000000000003e-07,0.0591876
4.32e-07,0.062981899999999993
4.3300000000000003e-07,0.066903099999999993
4.3400000000000005e-07,0.070928500000000005
4.3500000000000002e-07,0.075029899999999997
4.3600000000000004e-07,0.079176899999999995
4.3700000000000001e-07,0.083346300000000012
4.3800000000000003e-07,0.087515999999999997
4.3900000000000005e-07,0.09166249999999998
4.4000000000000002e-07,0.095761200000000005
4.4100000000000004e-07,0.099797699999999989
4.4200000000000001e-07,0.10380400000000001
4.4300000000000004e-07,0.107834
4.4400000000000001e-07,0.11194800000000002
4.4500000000000003e-07,0.11622000000000002
4.4600000000000005e-07,0.12070599999999999
4.4700000000000002e-07,0.12536300000000003
4.4800000000000004e-07,0.130111
4.4900000000000001e-07,0.134856
4.5000000000000003e-07,0.13949300000000001
4.51e-07,0.14394299999999999
4.5200000000000002e-07,0.148281
4.5300000000000005e-07,0.15263699999999999
4.5400000000000002e-07,0.15715699999999996
4.5500000000000004e-07,0.16200600000000001
4.5600000000000001e-07,0.16733100000000001
4.5700000000000003e-07,0.17314399999999999
4.5800000000000005e-07,0.17941699999999999
4.5900000000000002e-07,0.186117
4.6000000000000004e-07,0.19320200000000004
4.6100000000000001e-07,0.20062100000000002
4.6200000000000003e-07,0.20831499999999997
4.63e-07,0.21621200000000002
4.6400000000000003e-07,0.22423099999999999
4.6500000000000005e-07,0.23227499999999998
4.6600000000000002e-07,0.240257
4.6700000000000004e-07,0.24815999999999996
4.6800000000000001e-07,0.25598700000000008
4.6900000000000003e-07,0.26374400000000003
4.7000000000000005e-07,0.27144099999999999
4.7100000000000002e-07,0.27909699999999998
4.7200000000000004e-07,0.28675499999999998
4.7300000000000001e-07,0.29447600000000007
4.7400000000000004e-07,0.30232300000000001
4.75e-07,0.31037199999999998
4.7600000000000003e-07,0.31869199999999998
4.7700000000000005e-07,0.32730700000000001
4.7800000000000002e-07,0.33623199999999998
4.7899999999999999e-07,0.34548000000000006
4.8000000000000006e-07,0.35506599999999999
4.8100000000000003e-07,0.364985
4.82e-07,0.37514199999999998
4.8300000000000008e-07,0.38541000000000003
4.8400000000000005e-07,0.39564599999999994
4.8500000000000002e-07,0.40568799999999999
4.8599999999999998e-07,0.415435
4.8700000000000006e-07,0.425064
4.8800000000000003e-07,0.43485099999999999
4.89e-07,0.44509700000000008
4.9000000000000007e-07,0.45613700000000007
4.9100000000000004e-07,0.46823599999999999
4.9200000000000001e-07,0.48125499999999999
4.9299999999999998e-07,0.49492700000000001
4.9400000000000006e-07,0.50894700000000004
4.9500000000000003e-07,0.52297000000000016
4.9599999999999999e-07,0.53670100000000009
4.9700000000000007e-07,0.55019499999999999
4.9800000000000004e-07,0.56361600000000001
4.9900000000000001e-07,0.57715000000000005
5.0000000000000008e-07,0.59100299999999995
5.0100000000000005e-07,0.60535000000000005
5.0200000000000002e-07,0.62016000000000004
5.0299999999999999e-07,0.63534299999999999
5.0400000000000007e-07,0.65079600000000004
5.0500000000000004e-07,0.666404
5.06e-07,0.68205500000000008
5.0700000000000008e-07,0.69767200000000007
5.0800000000000005e-07,0.7131860000000001
5.0900000000000002e-07,0.72852600000000001
5.0999999999999999e-07,0.74361200000000005
5.1100000000000006e-07,0.75839600000000007
5.1200000000000003e-07,0.77296600000000004
5.13e-07,0.78745699999999996
5.1400000000000008e-07,0.80201700000000009
5.1500000000000005e-07,0.81680799999999998
5.1600000000000001e-07,0.83191899999999985
5.1699999999999998e-07,0.84709599999999996
5.1800000000000006e-07,0.86197199999999996
5.1900000000000003e-07,0.87615200000000004
5.2e-07,0.88921399999999995
5.2100000000000007e-07,0.90081200000000006
5.2200000000000004e-07,0.91100599999999998
5.2300000000000001e-07,0.9199679999999999
5.2399999999999998e-07,0.9278900000000001
5.2500000000000006e-07,0.93497699999999995
5.2600000000000002e-07,0.94141399999999997
5.2699999999999999e-07,0.94727899999999987
