wavelength,m_bar
3.8000000000000001e-07,0.0
3.8500000000000002e-07,1.3552527156068805e-20
3.9000000000000002e-07,-5.4210108624275222e-20
3.9500000000000003e-07,0.0
4.0000000000000003e-07,0.0028
4.0500000000000004e-07,0.0047000000000000002
4.1000000000000004e-07,0.0077000000000000002
4.1500000000000005e-07,0.012399999999999998
4.2e-07,0.0189
4.2500000000000001e-07,0.025399999999999999
4.3000000000000001e-07,0.031699999999999999
4.3500000000000002e-07,0.0395
4.4000000000000002e-07,0.047700000000000006
4.4500000000000003e-07,0.055499999999999994
4.5000000000000003e-07,0.063499999999999987
4.5500000000000004e-07,0.073099999999999998
4.6000000000000004e-07,0.085999999999999993
4.6500000000000005e-07,0.10699999999999998
4.7000000000000005e-07,0.13
4.75e-07,0.15699999999999997
4.8000000000000006e-07,0.189
4.8500000000000002e-07,0.224
4.9000000000000007e-07,0.26700000000000002
4.9500000000000003e-07,0.32400000000000001
5.0000000000000008e-07,0.39600000000000002
5.0500000000000004e-07,0.49099999999999994
5.0999999999999999e-07,0.59499999999999986
5.1500000000000005e-07,0.70599999999999996
5.2e-07,0.80800000000000005
5.2500000000000006e-07,0.8839999999999999
5.3000000000000001e-07,0.94100000000000006
5.3500000000000007e-07,0.97799999999999998
5.4000000000000002e-07,0.997
5.4500000000000008e-07,0.99899999999999989
5.5000000000000003e-07,0.98699999999999999
5.5500000000000009e-07,0.96099999999999985
5.6000000000000004e-07,0.92199999999999993
5.6499999999999999e-07,0.87000000000000011
5.7000000000000005e-07,0.80600000000000016
5.75e-07,0.73199999999999998
5.8000000000000006e-07,0.65099999999999991
5.8500000000000001e-07,0.56399999999999995
5.9000000000000007e-07,0.47699999999999992
5.9500000000000002e-07,0.39299999999999996
6.0000000000000008e-07,0.318
6.0500000000000003e-07,0.25
6.1000000000000009e-07,0.193
6.1500000000000004e-07,0.14699999999999999
6.1999999999999999e-07,0.11
6.2500000000000005e-07,0.080799999999999997
6.3e-07,0.058299999999999998
6.3500000000000006e-07,0.04179999999999999
6.4000000000000001e-07,0.029600000000000005
6.4500000000000007e-07,0.0207
6.5000000000000002e-07,0.014399999999999998
6.5500000000000008e-07,0.010099999999999998
6.6000000000000003e-07,0.0070000000000000001
6.6500000000000009e-07,0.0048999999999999998
6.7000000000000004e-07,0.0033
6.75e-07,0.0023
6.8000000000000005e-07,0.0016000000000000001
6.8500000000000001e-07,0.0011000000000000001
6.9000000000000006e-07,0.00079999999999999993
6.9500000000000002e-07,0.00050000000000000012
7.0000000000000007e-07,0.00039999999999999996
7.0500000000000003e-07,1.6940658945086007e-20
7.1000000000000008e-07,1.6940658945086007e-21
7.1500000000000004e-07,-2.1175823681357508e-22
7.2000000000000009e-07,0.0
7.2500000000000005e-07,6.6174449004242214e-23
7.3e-07,0.0
7.3500000000000006e-07,-4.1359030627651384e-24
7.4000000000000001e-07,1.0339757656912846e-24
7.4500000000000007e-07,1.2924697071141057e-25
7.5000000000000002e-07,-3.2311742677852644e-26
7.5500000000000008e-07,-3.5542916945637908e-26
7.6000000000000003e-07,-7.2701421025168448e-27
7.6500000000000009e-07,6.0584517520973707e-28
7.7000000000000004e-07,2.0194839173657902e-28
7.750000000000001e-07,0.0
7.8000000000000005e-07,0.0
