wavelength,4-LED-2-(447-512-573-627)
3.8e-07,3.4708852559e-06
3.85e-07,1.73227787724e-05
3.9e-07,7.62995752389e-05
3.95e-07,0.0002965859
4e-07,0.0010174229
4.05e-07,0.0030801821
4.1e-07,0.0082296172
4.15e-07,0.019406636
4.2e-07,0.0404442831
4.25e-07,0.0754508857
4.3e-07,0.1345142305
4.35e-07,0.2573666392
4.4e-07,0.4904398149
4.45e-07,0.7108377283
4.5e-07,0.6704591043
4.55e-07,0.4254812906
4.6e-07,0.2300455929
4.65e-07,0.1440595345
4.7e-07,0.1128724948
4.75e-07,0.109167769
4.8e-07,0.1282036266
4.85e-07,0.171607687
4.9e-07,0.2512315866
4.95e-07,0.3912637391
5e-07,0.6041236081
5.05e-07,0.842077825
5.1e-07,0.9899997754
5.15e-07,0.9537807365
5.2e-07,0.7580812591
5.25e-07,0.5198871158
5.3e-07,0.3362122225
5.35e-07,0.2305410304
5.4e-07,0.1861122739
5.45e-07,0.1888163513
5.5e-07,0.237778663
5.55e-07,0.3490698559
5.6e-07,0.6040289428
5.65e-07,1.1397056922
5.7e-07,1.7495475627
5.75e-07,1.7792868525
5.8e-07,1.1864821619
5.85e-07,0.6230702032
5.9e-07,0.3486023593
5.95e-07,0.2407542116
6e-07,0.2200521394
6.05e-07,0.276970101
6.1e-07,0.430931037
6.15e-07,0.7917849848
6.2e-07,1.5048761731
6.25e-07,2.2092877054
6.3e-07,2.1125014674
6.35e-07,1.3381309493
6.4e-07,0.6858253417
6.45e-07,0.3666131487
6.5e-07,0.2057056326
6.55e-07,0.1077508316
6.6e-07,0.0502351707
6.65e-07,0.020683273
6.7e-07,0.0075155225
6.75e-07,0.0024099761
6.8e-07,0.0006819923
6.85e-07,0.0001703176
6.9e-07,3.75363978234e-05
6.95e-07,7.30060620729e-06
7e-07,1.25307897511e-06
7.05e-07,1.89806531416e-07
7.1e-07,2.53721372594e-08
7.15e-07,3e-09
7.2e-07,3.11593522067e-10
7.25e-07,2.86268715236e-11
7.3e-07,2.32098614166e-12
7.35e-07,1.66067403539e-13
7.4e-07,1.04859898618e-14
7.45e-07,5.84315842159e-16
7.5e-07,2.87341979094e-17
7.55e-07,1.24699205347e-18
7.6e-07,4.77574888458e-20
7.65e-07,1.61410755281e-21
7.7e-07,4.81433876183e-23
7.75e-07,1.26722581811e-24
7.8e-07,2.94363913833e-26
