wavelength,green
3.8e-07,0.000115
3.85e-07,0.00152114360178015
3.9e-07,0.000574304991835587
3.95e-07,0.0
4e-07,0.0
4.05e-07,0.00119722386224553
4.1e-07,0.00133571498448177
4.15e-07,0.0131943169605281
4.2e-07,0.0649710245124954
4.25e-07,0.115103087188289
4.3e-07,0.137065825470872
4.35e-07,0.152428525840306
4.4e-07,0.168640054507453
4.45e-07,0.183299346050496
4.5e-07,0.196032634562296
4.55e-07,0.217336532783613
4.6e-07,0.25424357380995
4.65e-07,0.308648119306499
4.7e-07,0.37346871184252
4.75e-07,0.429158061398937
4.8e-07,0.459654324321374
4.85e-07,0.471064354463943
4.9e-07,0.488856164445248
4.95e-07,0.537151781040876
5e-07,0.616491186958839
5.05e-07,0.707006387599689
5.1e-07,0.800964246013663
5.15e-07,0.881372566862673
5.2e-07,0.938877921198385
5.25e-07,0.984465595765236
5.3e-07,1.0
5.35e-07,0.990840265571297
5.4e-07,0.961546264629221
5.45e-07,0.928143883468773
5.5e-07,0.889102315920765
5.55e-07,0.834942229241612
5.6e-07,0.776318075001875
5.65e-07,0.707314245320565
5.7e-07,0.63579620249171
5.75e-07,0.565515284503804
5.8e-07,0.492755172535225
5.85e-07,0.424756541590758
5.9e-07,0.351789312260783
5.95e-07,0.278178498795418
6e-07,0.211673532499619
6.05e-07,0.15671644549433
6.1e-07,0.118039620730502
6.15e-07,0.0888524953423144
6.2e-07,0.0701018440485367
6.25e-07,0.0569089947089322
6.3e-07,0.0472987910189584
6.35e-07,0.0411958900255658
6.4e-07,0.0352520708499122
6.45e-07,0.0306931314453245
6.5e-07,0.0268039629568395
6.55e-07,0.0235243011987152
6.6e-07,0.0203463325247466
6.65e-07,0.0154584832534088
6.7e-07,0.00944075104617159
6.75e-07,0.00508102204063506
6.8e-07,0.00291019166901752
6.85e-07,0.00162657557793382
6.9e-07,0.000922515691396278
6.95e-07,0.000497433499690269
7e-07,0.000412159402631657
7.05e-07,0.000316926341046663
7.1e-07,0.000256214969602511
7.15e-07,0.0
7.2e-07,0.000243535188653412
7.25e-07,6.02e-05
7.3e-07,0.0
7.35e-07,0.0
7.4e-07,0.0
7.45e-07,1.71e-05
7.5e-07,5.21e-05
7.55e-07,8.85e-05
7.6e-07,0.0
7.65e-07,0.0
7.7e-07,0.000138
7.75e-07,0.000178650172705941
7.8e-07,4.25e-05
