wavelength,blue
3.8000000000000001e-07,0.0018095603940233599
3.8500000000000002e-07,0.00048982814544150388
3.9000000000000002e-07,0.00087943069176996504
3.9500000000000003e-07,5.4210108624275222e-20
4.0000000000000003e-07,0.0015324606884805103
4.0500000000000004e-07,0.0056980560228206203
4.1000000000000004e-07,0.016608287698741502
4.1500000000000005e-07,0.078791205592145905
4.2e-07,0.36171350364994892
4.2500000000000001e-07,0.65970462106512295
4.3000000000000001e-07,0.75534360010359491
4.3500000000000002e-07,0.81045312707380712
4.4000000000000002e-07,0.87494523362472998
4.4500000000000003e-07,0.92671273991178693
4.5000000000000003e-07,0.96314088025989886
4.5500000000000004e-07,0.98065048133510291
4.6000000000000004e-07,1.0
4.6500000000000005e-07,0.99640467488711093
4.7000000000000005e-07,0.98896988650084294
4.75e-07,0.95660139953158008
4.8000000000000006e-07,0.90495886986980789
4.8500000000000002e-07,0.83940927710351598
4.9000000000000007e-07,0.75146259578963404
4.9500000000000003e-07,0.6601020203226079
5.0000000000000008e-07,0.56706879193613802
5.0500000000000004e-07,0.47935094782603893
5.0999999999999999e-07,0.39406273870351305
5.1500000000000005e-07,0.31427061879449603
5.2e-07,0.24981663439426
5.2500000000000006e-07,0.20182351924718098
5.3000000000000001e-07,0.16163395085177601
5.3500000000000007e-07,0.13516143147333401
5.4000000000000002e-07,0.10998875716043302
5.4500000000000008e-07,0.086394354077893781
5.5000000000000003e-07,0.065253130592198394
5.5500000000000009e-07,0.047855953452275599
5.6000000000000004e-07,0.0341393230386094
5.6499999999999999e-07,0.024019909768519299
5.7000000000000005e-07,0.019767935984767501
5.75e-07,0.0163484478107301
5.8000000000000006e-07,0.013817339370202599
5.8500000000000001e-07,0.011952946479667098
5.9000000000000007e-07,0.010009093958200901
5.9500000000000002e-07,0.0075877630892965797
6.0000000000000008e-07,0.0064558446352164997
6.0500000000000003e-07,0.0052297828568448803
6.1000000000000009e-07,0.0036599845950378695
6.1500000000000004e-07,0.0039553850548866704
6.1999999999999999e-07,0.0039683522165446803
6.2500000000000005e-07,0.0034913800448603699
6.3e-07,0.0040430210318179692
6.3500000000000006e-07,0.00418929985295813
6.4000000000000001e-07,0.0055467685650005798
6.4500000000000007e-07,0.0054642332354774403
6.5000000000000002e-07,0.0059738284739209897
6.5500000000000008e-07,0.0063090677476377892
6.6000000000000003e-07,0.0061041269774226798
6.6500000000000009e-07,0.00483655792375416
6.7000000000000004e-07,0.0030266479458698498
6.75e-07,0.0017216970098767499
6.8000000000000005e-07,0.00078065128657817595
6.8500000000000001e-07,0.00056963070848184102
6.9000000000000006e-07,0.000275232961339382
6.9500000000000002e-07,0.00029672137857068598
7.0000000000000007e-07,0.00024951192304202899
7.0500000000000003e-07,8.5000000000000006e-05
7.1000000000000008e-07,0.00041916895092770603
7.1500000000000004e-07,0.00015331743444139899
7.2000000000000009e-07,1.8300000000000001e-05
7.2500000000000005e-07,1.3552527156068805e-20
7.3e-07,0.00033869381945204907
7.3500000000000006e-07,4.2351647362715017e-21
7.4000000000000001e-07,0.0
7.4500000000000007e-07,0.000165278287340102
7.5000000000000002e-07,0.00017755262214537101
7.5500000000000008e-07,0.0
7.6000000000000003e-07,2.4300000000000005e-05
7.6500000000000009e-07,6.1799999999999998e-05
7.7000000000000004e-07,0.00026260703183506501
7.750000000000001e-07,0.00028050537004191899
7.8000000000000005e-07,0.0
