wavelength,3-LED-3 (465546614)
3.8e-07,4.24356931934e-09
3.85e-07,3.35055502496e-08
3.9e-07,2.33461667941e-07
3.95e-07,1.43558107162e-06
4e-07,7.79028131957e-06
4.05e-07,3.73071287201e-05
4.1e-07,0.0001576681
4.15e-07,0.0005880429
4.2e-07,0.0019354753
4.25e-07,0.0056218569
4.3e-07,0.0144108351
4.35e-07,0.0326064096
4.4e-07,0.0653116295
4.45e-07,0.1186052045
4.5e-07,0.2141526104
4.55e-07,0.419111692
4.6e-07,0.750409624
4.65e-07,0.9493997063
4.7e-07,0.7707831225
4.75e-07,0.4379446959
4.8e-07,0.225391027
4.85e-07,0.1284217477
4.9e-07,0.0786132901
4.95e-07,0.0534890663
5e-07,0.0482425923
5.05e-07,0.0593816127
5.1e-07,0.0841113617
5.15e-07,0.1219728373
5.2e-07,0.1784292638
5.25e-07,0.2708941147
5.3e-07,0.4264165846
5.35e-07,0.6507852663
5.4e-07,0.8815590758
5.45e-07,0.9984827318
5.5e-07,0.925301255
5.55e-07,0.7108364568
5.6e-07,0.4761832296
5.65e-07,0.3032184448
5.7e-07,0.2002061954
5.75e-07,0.1434331509
5.8e-07,0.1163388244
5.85e-07,0.1169248909
5.9e-07,0.1502378648
5.95e-07,0.2253626825
6e-07,0.3832280121
6.05e-07,0.7352864775
6.1e-07,1.2586014278
6.15e-07,1.4894514208
6.2e-07,1.133317893
6.25e-07,0.6204123938
6.3e-07,0.3184632339
6.35e-07,0.177246509
6.4e-07,0.0969798333
6.45e-07,0.047908591
6.5e-07,0.0209391161
6.55e-07,0.0080777652
6.6e-07,0.0027500671
6.65e-07,0.0008262488
6.7e-07,0.0002190753
6.75e-07,5.12614185342e-05
6.8e-07,1.05852933347e-05
6.85e-07,1.929e-06
6.9e-07,3.10224214617e-07
6.95e-07,4.4e-08
7e-07,5.51479030606e-09
7.05e-07,6.09610723887e-10
7.1e-07,5.94747096451e-11
7.15e-07,5.12171902061e-12
7.2e-07,3.89415797742e-13
7.25e-07,2.61575490544e-14
7.3e-07,1.55476773649e-15
7.35e-07,8.21313246962e-17
7.4e-07,3.90311212072e-18
7.45e-07,1.72611102996e-19
7.5e-07,7.72579136687e-21
7.55e-07,4.0370111394e-22
7.6e-07,2.68516940391e-23
7.65e-07,2.09993710079e-24
7.7e-07,1.70971251527e-25
7.75e-07,1.35854661334e-26
7.8e-07,1.03007323232e-27
