wavelength,H38JA-100DX (Mercury DX)
3.8000000000000001e-07,0.0
3.8500000000000002e-07,0.0142531794
3.9000000000000002e-07,0.035510996000000003
3.9500000000000003e-07,0.034050547799999997
4.0000000000000003e-07,0.1149315065
4.0500000000000004e-07,0.40194586300000001
4.1000000000000004e-07,0.073148649400000015
4.1500000000000005e-07,0.0294562448
4.2e-07,0.033464106700000003
4.2500000000000001e-07,0.046753622300000013
4.3000000000000001e-07,0.085900770200000004
4.3500000000000002e-07,0.88483779120000006
4.4000000000000002e-07,0.21738315
4.4500000000000003e-07,0.0396700621
4.5000000000000003e-07,0.031018905699999998
4.5500000000000004e-07,0.023836557899999999
4.6000000000000004e-07,0.0213194669
4.6500000000000005e-07,0.020791800699999998
4.7000000000000005e-07,0.0210541279
4.75e-07,0.019107432800000001
4.8000000000000006e-07,0.0185883321
4.8500000000000002e-07,0.021919400499999998
4.9000000000000007e-07,0.028962179800000005
4.9500000000000003e-07,0.025758298300000003
5.0000000000000008e-07,0.018215864700000004
5.0500000000000004e-07,0.018555063899999998
5.0999999999999999e-07,0.0183153559
5.1500000000000005e-07,0.0194078762
5.2e-07,0.020937934599999999
5.2500000000000006e-07,0.021196936400000001
5.3000000000000001e-07,0.026757714600000003
5.3500000000000007e-07,0.042991920399999987
5.4000000000000002e-07,0.068156361999999998
5.4500000000000008e-07,0.99999999999999989
5.5000000000000003e-07,0.44521790649999998
5.5500000000000009e-07,0.051602642800000001
5.6000000000000004e-07,0.040526453099999998
5.6499999999999999e-07,0.038612226000000006
5.7000000000000005e-07,0.051522372000000004
5.75e-07,0.54343222309999994
5.8000000000000006e-07,0.76457275329999996
5.8500000000000001e-07,0.084023207800000027
5.9000000000000007e-07,0.079940183100000006
5.9500000000000002e-07,0.12839705940000001
6.0000000000000008e-07,0.046728556999999997
6.0500000000000003e-07,0.054906117999999997
6.1000000000000009e-07,0.13589911530000001
6.1500000000000004e-07,0.47622640709999997
6.1999999999999999e-07,0.5905637157000001
6.2500000000000005e-07,0.12600384340000001
6.3e-07,0.0607108596
6.3500000000000006e-07,0.037234587499999999
6.4000000000000001e-07,0.027587593500000004
6.4500000000000007e-07,0.029306416200000001
6.5000000000000002e-07,0.04032590820000001
6.5500000000000008e-07,0.032763244900000009
6.6000000000000003e-07,0.021655711500000004
6.6500000000000009e-07,0.019481800100000002
6.7000000000000004e-07,0.019822222199999996
6.75e-07,0.017496523199999999
6.8000000000000005e-07,0.017199209699999999
6.8500000000000001e-07,0.0191765713
6.9000000000000006e-07,0.038907799199999996
6.9500000000000002e-07,0.10435341819999999
7.0000000000000007e-07,0.1825890986
7.0500000000000003e-07,0.1275145389
7.1000000000000008e-07,0.033330113999999994
7.1500000000000004e-07,0.018855946900000004
7.2000000000000009e-07,0.0194667177
7.2500000000000005e-07,0.0175193285
7.3e-07,0.015484999999999999
7.3500000000000006e-07,0.016283513300000003
7.4000000000000001e-07,0.013622552100000001
7.4500000000000007e-07,0.0154414394
7.5000000000000002e-07,0.0139533505
7.5500000000000008e-07,0.015031137199999999
7.6000000000000003e-07,0.013145252100000001
7.6500000000000009e-07,0.11374261099999999
7.7000000000000004e-07,0.11561286249999998
7.750000000000001e-07,0.1140336555
7.8000000000000005e-07,0.11144862329999999
