wavelength,F40C50 (Broadband FL)
3.8000000000000001e-07,0.027951844399999998
3.8500000000000002e-07,0.029710916600000005
3.9000000000000002e-07,0.032957064000000008
3.9500000000000003e-07,0.041275770500000003
4.0000000000000003e-07,0.099061786600000007
4.0500000000000004e-07,0.36965410189999992
4.1000000000000004e-07,0.098660161299999993
4.1500000000000005e-07,0.081246683299999983
4.2e-07,0.090699430299999995
4.2500000000000001e-07,0.10362820609999999
4.3000000000000001e-07,0.1181453284
4.3500000000000002e-07,1.0
4.4000000000000002e-07,0.33724876269999993
4.4500000000000003e-07,0.16727446230000001
4.5000000000000003e-07,0.18414117399999999
4.5500000000000004e-07,0.19898117839999999
4.6000000000000004e-07,0.2170193003
4.6500000000000005e-07,0.23126346379999996
4.7000000000000005e-07,0.24265715149999997
4.75e-07,0.25480001749999998
4.8000000000000006e-07,0.26714486199999998
4.8500000000000002e-07,0.28089038449999998
4.9000000000000007e-07,0.28997665910000003
4.9500000000000003e-07,0.29168708519999997
5.0000000000000008e-07,0.29254336839999995
5.0500000000000004e-07,0.29365189619999998
5.0999999999999999e-07,0.29423802910000002
5.1500000000000005e-07,0.29522535170000003
5.2e-07,0.29518156820000002
5.2500000000000006e-07,0.29352054009999995
5.3000000000000001e-07,0.29383782339999998
5.3500000000000007e-07,0.29583837819999997
5.4000000000000002e-07,0.30743628580000004
5.4500000000000008e-07,0.80320067849999999
5.5000000000000003e-07,0.4171194312
5.5500000000000009e-07,0.29843591000000003
5.6000000000000004e-07,0.29671320890000003
5.6499999999999999e-07,0.29829985280000004
5.7000000000000005e-07,0.3004378841
5.75e-07,0.36209065800000001
5.8000000000000006e-07,0.39261750849999999
5.8500000000000001e-07,0.32004707729999998
5.9000000000000007e-07,0.3223944373
5.9500000000000002e-07,0.32283072489999998
6.0000000000000008e-07,0.32371735829999992
6.0500000000000003e-07,0.32275682970000008
6.1000000000000009e-07,0.38463205320000005
6.1500000000000004e-07,0.36539316859999998
6.1999999999999999e-07,0.32338134909999999
6.2500000000000005e-07,0.31951944799999998
6.3e-07,0.31553694430000001
6.3500000000000006e-07,0.30087178209999998
6.4000000000000001e-07,0.29079224440000007
6.4500000000000007e-07,0.28004893479999998
6.5000000000000002e-07,0.27353525370000004
6.5500000000000008e-07,0.26402756169999997
6.6000000000000003e-07,0.2486541931
6.6500000000000009e-07,0.23428738169999999
6.7000000000000004e-07,0.22104711590000004
6.75e-07,0.2069917819
6.8000000000000005e-07,0.19177644320000004
6.8500000000000001e-07,0.18209404160000003
6.9000000000000006e-07,0.1791407699
6.9500000000000002e-07,0.15342258140000004
7.0000000000000007e-07,0.13838136109999999
7.0500000000000003e-07,0.13499115319999999
7.1000000000000008e-07,0.127295556
7.1500000000000004e-07,0.11168509439999999
7.2000000000000009e-07,0.09928040489999998
7.2500000000000005e-07,0.087874596999999999
7.3e-07,0.081617576999999997
7.3500000000000006e-07,0.079054232500000002
7.4000000000000001e-07,0.084533309099999995
7.4500000000000007e-07,0.068929826999999999
7.5000000000000002e-07,0.073029918799999996
7.5500000000000008e-07,0.075192952199999996
7.6000000000000003e-07,0.056193581700000009
7.6500000000000009e-07,0.068929826999999999
7.7000000000000004e-07,0.073029918799999996
7.750000000000001e-07,0.075192952199999982
7.8000000000000005e-07,0.056193581700000002
