wavelength,Philips TL-84
3.8000000000000001e-07,0.78400000000000003
3.8500000000000002e-07,0.55300000000000016
3.9000000000000002e-07,0.41600000000000004
3.9500000000000003e-07,0.36299999999999988
4.0000000000000003e-07,0.87999999999999989
4.0500000000000004e-07,10.819999999999999
4.1000000000000004e-07,1.5540000000000003
4.1500000000000005e-07,1.8000000000000003
4.2e-07,2.5099999999999998
4.2500000000000001e-07,3.4999999999999996
4.3000000000000001e-07,4.7599999999999998
4.3500000000000002e-07,31.699999999999999
4.4000000000000002e-07,10.239999999999998
4.4500000000000003e-07,7.3399999999999999
4.5000000000000003e-07,7.629999999999999
4.5500000000000004e-07,7.5800000000000001
4.6000000000000004e-07,7.1699999999999999
4.6500000000000005e-07,6.5599999999999996
4.7000000000000005e-07,5.8899999999999988
4.75e-07,5.2400000000000002
4.8000000000000006e-07,6.3499999999999996
4.8500000000000002e-07,14.530000000000001
4.9000000000000007e-07,15.070000000000002
4.9500000000000003e-07,9.5000000000000018
5.0000000000000008e-07,5.2299999999999995
5.0500000000000004e-07,2.7199999999999998
5.0999999999999999e-07,1.716
5.1500000000000005e-07,1.3029999999999999
5.2e-07,1.0700000000000003
5.2500000000000006e-07,1.012
5.3000000000000001e-07,1.395
5.3500000000000007e-07,6.1900000000000004
5.4000000000000002e-07,39.299999999999997
5.4500000000000008e-07,68.800000000000011
5.5000000000000003e-07,34.899999999999999
5.5500000000000009e-07,8.8900000000000006
5.6000000000000004e-07,3.2399999999999998
5.6499999999999999e-07,2.23
5.7000000000000005e-07,2.0099999999999998
5.75e-07,4.5
5.8000000000000006e-07,10.479999999999999
5.8500000000000001e-07,14.270000000000001
5.9000000000000007e-07,12.959999999999999
5.9500000000000002e-07,10.080000000000002
6.0000000000000008e-07,7.5099999999999989
6.0500000000000003e-07,13.859999999999999
6.1000000000000009e-07,46.299999999999997
6.1500000000000004e-07,41.699999999999996
6.1999999999999999e-07,16.489999999999998
6.2500000000000005e-07,13.140000000000002
6.3e-07,11.420000000000002
6.3500000000000006e-07,5.7199999999999989
6.4000000000000001e-07,2.3500000000000001
6.4500000000000007e-07,2.5499999999999998
6.5000000000000002e-07,3.3400000000000003
6.5500000000000008e-07,3.0899999999999994
6.6000000000000003e-07,2.4900000000000007
6.6500000000000009e-07,2.1499999999999999
6.7000000000000004e-07,1.6699999999999999
6.75e-07,1.3899999999999999
6.8000000000000005e-07,1.4900000000000002
6.8500000000000001e-07,1.8200000000000001
6.9000000000000006e-07,1.8100000000000001
6.9500000000000002e-07,1.3
7.0000000000000007e-07,1.6299999999999999
7.0500000000000003e-07,3.5499999999999998
7.1000000000000008e-07,4.6799999999999988
7.1500000000000004e-07,3.1099999999999999
7.2000000000000009e-07,1.0600000000000001
7.2500000000000005e-07,0.31999999999999995
7.3e-07,0.23999999999999999
7.3500000000000006e-07,0.21999999999999997
7.4000000000000001e-07,0.21999999999999997
7.4500000000000007e-07,0.23000000000000001
7.5000000000000002e-07,0.19
7.5500000000000008e-07,0.14000000000000001
7.6000000000000003e-07,0.10000000000000001
7.6500000000000009e-07,0.10000000000000001
7.7000000000000004e-07,0.11000000000000001
7.750000000000001e-07,0.11
7.8000000000000005e-07,0.10000000000000001
