wavelength,F40DXTP (Delux FL)
3.8000000000000001e-07,0.045329985099999998
3.8500000000000002e-07,0.0565911781
3.9000000000000002e-07,0.069832963999999997
3.9500000000000003e-07,0.083531416199999986
4.0000000000000003e-07,0.14099511049999999
4.0500000000000004e-07,0.38316669179999996
4.1000000000000004e-07,0.15787558229999998
4.1500000000000005e-07,0.148802297
4.2e-07,0.16734935479999996
4.2500000000000001e-07,0.18613274160000001
4.3000000000000001e-07,0.19978490739999999
4.3500000000000002e-07,1.0000000000000002
4.4000000000000002e-07,0.40943493910000001
4.4500000000000003e-07,0.25442283560000001
4.5000000000000003e-07,0.26815179639999998
4.5500000000000004e-07,0.27975680559999999
4.6000000000000004e-07,0.29027281260000004
4.6500000000000005e-07,0.29818045659999998
4.7000000000000005e-07,0.30371381120000002
4.75e-07,0.30698577029999996
4.8000000000000006e-07,0.30815087289999998
4.8500000000000002e-07,0.30514548409999998
4.9000000000000007e-07,0.30315800710000007
4.9500000000000003e-07,0.29712757490000002
5.0000000000000008e-07,0.28939739179999996
5.0500000000000004e-07,0.28217075539999997
5.0999999999999999e-07,0.27477092580000007
5.1500000000000005e-07,0.26811583579999998
5.2e-07,0.26374074250000001
5.2500000000000006e-07,0.26316950460000005
5.3000000000000001e-07,0.26658573350000003
5.3500000000000007e-07,0.27467713319999998
5.4000000000000002e-07,0.28168722410000002
5.4500000000000008e-07,0.70514146779999998
5.5000000000000003e-07,0.41503309530000004
5.5500000000000009e-07,0.34351761849999995
5.6000000000000004e-07,0.36152208060000002
5.6499999999999999e-07,0.37597446270000007
5.7000000000000005e-07,0.3848734653
5.75e-07,0.43895241660000006
5.8000000000000006e-07,0.45385817379999993
5.8500000000000001e-07,0.37316486430000007
5.9000000000000007e-07,0.35544177339999994
5.9500000000000002e-07,0.33370524930000001
6.0000000000000008e-07,0.30909715900000001
6.0500000000000003e-07,0.28281447050000008
6.1000000000000009e-07,0.25613974430000003
6.1500000000000004e-07,0.22936070319999999
6.1999999999999999e-07,0.20386023430000003
6.2500000000000005e-07,0.18062184040000004
6.3e-07,0.15937177499999999
6.3500000000000006e-07,0.1406352884
6.4000000000000001e-07,0.12295592980000002
6.4500000000000007e-07,0.10782293019999999
6.5000000000000002e-07,0.094349127099999999
6.5500000000000008e-07,0.083206293900000006
6.6000000000000003e-07,0.072986465
6.6500000000000009e-07,0.0640645257
6.7000000000000004e-07,0.056366109499999997
6.75e-07,0.049844739100000007
6.8000000000000005e-07,0.044686904500000006
6.8500000000000001e-07,0.041003007600000002
6.9000000000000006e-07,0.038939830099999996
6.9500000000000002e-07,0.033533460799999998
7.0000000000000007e-07,0.030608120299999993
7.0500000000000003e-07,0.0289763439
7.1000000000000008e-07,0.026731624099999997
7.1500000000000004e-07,0.024010077500000001
7.2000000000000009e-07,0.0231780345
7.2500000000000005e-07,0.021171487499999996
7.3e-07,0.0204167897
7.3500000000000006e-07,0.018831236899999999
7.4000000000000001e-07,0.017937450800000001
7.4500000000000007e-07,0.0178226176
7.5000000000000002e-07,0.0166535773
7.5500000000000008e-07,0.016260884899999998
7.6000000000000003e-07,0.0131835384
7.6500000000000009e-07,0.017822617599999997
7.7000000000000004e-07,0.0166535773
7.750000000000001e-07,0.016260884900000001
7.8000000000000005e-07,0.0131835384
