wavelength,MHC100UMP 4K
3.8000000000000001e-07,0.063767401299999998
3.8500000000000002e-07,0.11239340549999999
3.9000000000000002e-07,0.15938792339999999
3.9500000000000003e-07,0.21482873819999998
4.0000000000000003e-07,0.21835493070000003
4.0500000000000004e-07,0.25416776549999998
4.1000000000000004e-07,0.30700832659999994
4.1500000000000005e-07,0.3747787957
4.2e-07,0.41013329479999999
4.2500000000000001e-07,0.41532959569999994
4.3000000000000001e-07,0.36507455490000001
4.3500000000000002e-07,0.38157348200000007
4.4000000000000002e-07,0.34091499330000002
4.4500000000000003e-07,0.34864591779999998
4.5000000000000003e-07,0.30020378580000001
4.5500000000000004e-07,0.32708896249999997
4.6000000000000004e-07,0.36501281050000006
4.6500000000000005e-07,0.34800272570000002
4.7000000000000005e-07,0.33753542569999995
4.75e-07,0.32668792539999997
4.8000000000000006e-07,0.31618383299999997
4.8500000000000002e-07,0.29107469409999998
4.9000000000000007e-07,0.30952370699999998
4.9500000000000003e-07,0.32171195809999997
5.0000000000000008e-07,0.33845894349999994
5.0500000000000004e-07,0.3928866191
5.0999999999999999e-07,0.34786772999999999
5.1500000000000005e-07,0.3486180975
5.2e-07,0.34650169809999998
5.2500000000000006e-07,0.35547494649999994
5.3000000000000001e-07,0.42798251080000005
5.3500000000000007e-07,1.0
5.4000000000000002e-07,0.85228350710000012
5.4500000000000008e-07,0.52255199990000001
5.5000000000000003e-07,0.38535394050000005
5.5500000000000009e-07,0.36268885309999999
5.6000000000000004e-07,0.4187574389
5.6499999999999999e-07,0.47610761350000003
5.7000000000000005e-07,0.47848463610000003
5.75e-07,0.45605810420000004
5.8000000000000006e-07,0.42401845780000003
5.8500000000000001e-07,0.48876985910000004
5.9000000000000007e-07,0.74007330589999987
5.9500000000000002e-07,0.81561256209999999
6.0000000000000008e-07,0.65216482249999996
6.0500000000000003e-07,0.5257899371000001
6.1000000000000009e-07,0.54455589039999996
6.1500000000000004e-07,0.57219263779999996
6.1999999999999999e-07,0.47359683299999999
6.2500000000000005e-07,0.51848037150000004
6.3e-07,0.52798521480000005
6.3500000000000006e-07,0.52745464479999993
6.4000000000000001e-07,0.54784144020000003
6.4500000000000007e-07,0.54907126279999985
6.5000000000000002e-07,0.43200180329999993
6.5500000000000008e-07,0.4164493434
6.6000000000000003e-07,0.43169474179999995
6.6500000000000009e-07,0.37740347169999999
6.7000000000000004e-07,0.34937897819999997
6.75e-07,0.33724443470000004
6.8000000000000005e-07,0.3386207001
6.8500000000000001e-07,0.36668876880000001
6.9000000000000006e-07,0.26448083639999997
6.9500000000000002e-07,0.27559361180000003
7.0000000000000007e-07,0.23713903429999997
7.0500000000000003e-07,0.19580832249999996
7.1000000000000008e-07,0.17653619170000001
7.1500000000000004e-07,0.1772409194
7.2000000000000009e-07,0.17065428780000003
7.2500000000000005e-07,0.1579817973
7.3e-07,0.14560575750000002
7.3500000000000006e-07,0.14035824750000001
7.4000000000000001e-07,0.14581526310000001
7.4500000000000007e-07,0.1418151423
7.5000000000000002e-07,0.15945404930000001
7.5500000000000008e-07,0.23877714820000001
7.6000000000000003e-07,0.1694033761
7.6500000000000009e-07,0.1418151423
7.7000000000000004e-07,0.15945404930000001
7.750000000000001e-07,0.23877714820000001
7.8000000000000005e-07,0.1694033761
