wavelength,3-LED-1 (457540605)
3.8000000000000001e-07,8.4747902384178398e-08
3.8500000000000002e-07,5.4576081379152198e-07
3.9000000000000002e-07,3.1016228209207903e-06
3.9500000000000003e-07,1.5555674708069399e-05
4.0000000000000003e-07,6.8849685631710197e-05
4.0500000000000004e-07,0.00026892319999999997
4.1000000000000004e-07,0.00092697489999999988
4.1500000000000005e-07,0.0028198173999999998
4.2e-07,0.0075698702000000003
4.2500000000000001e-07,0.017934887400000002
4.3000000000000001e-07,0.037545190500000006
4.3500000000000002e-07,0.070272585600000007
4.4000000000000002e-07,0.1251616616
4.4500000000000003e-07,0.2385579273
4.5000000000000003e-07,0.45674684329999998
4.5500000000000004e-07,0.67112468619999999
4.6000000000000004e-07,0.64169539880000004
4.6500000000000005e-07,0.40680158799999994
4.7000000000000005e-07,0.20959399079999996
4.75e-07,0.11433205929999998
4.8000000000000006e-07,0.068544940799999995
4.8500000000000002e-07,0.044268232600000006
4.9000000000000007e-07,0.035970432399999995
4.9500000000000003e-07,0.0414173506
5.0000000000000008e-07,0.058709698300000002
5.0500000000000004e-07,0.086927996399999999
5.0999999999999999e-07,0.12732528069999999
5.1500000000000005e-07,0.18720088280000002
5.2e-07,0.28598353500000001
5.2500000000000006e-07,0.45060574549999999
5.3000000000000001e-07,0.68078294220000002
5.3500000000000007e-07,0.90442115570000003
5.4000000000000002e-07,1.0000168847999999
5.4500000000000008e-07,0.90449849329999987
5.5000000000000003e-07,0.68112103850000005
5.5500000000000009e-07,0.45186294360000001
5.6000000000000004e-07,0.29010183610000007
5.6499999999999999e-07,0.1990988954
5.7000000000000005e-07,0.15763325659999999
5.75e-07,0.15497949259999999
5.8000000000000006e-07,0.19371430689999999
5.8500000000000001e-07,0.28394910070000001
5.9000000000000007e-07,0.47083191429999999
5.9500000000000002e-07,0.8935261511
6.0000000000000008e-07,1.573660514
6.0500000000000003e-07,1.9603362336000001
6.1000000000000009e-07,1.5689953795
6.1500000000000004e-07,0.88260404039999985
6.1999999999999999e-07,0.45037778280000001
6.2500000000000005e-07,0.24891611180000001
6.3e-07,0.13732572979999999
6.3500000000000006e-07,0.068797222599999999
6.4000000000000001e-07,0.0305197933
6.4500000000000007e-07,0.0119512553
6.5000000000000002e-07,0.0041301742000000013
6.5500000000000008e-07,0.0012596230000000001
6.6000000000000003e-07,0.00033902319999999994
6.6500000000000009e-07,8.0525776215153384e-05
6.7000000000000004e-07,1.6879436149529296e-05
6.75e-07,3.1224853634832002e-06
6.8000000000000005e-07,5.0976049533540411e-07
6.8500000000000001e-07,7.3445071835460598e-08
6.9000000000000006e-07,9.3390916402424108e-09
6.9500000000000002e-07,1.0000000000000003e-09
7.0000000000000007e-07,1.0384428891988499e-10
7.0500000000000003e-07,9.0851924477538328e-12
7.1000000000000008e-07,7.0247905050650707e-13
7.1500000000000004e-07,4.8102891313383775e-14
7.2000000000000009e-07,2.9327511137190437e-15
7.2500000000000005e-07,1.6150955661924668e-16
7.3e-07,8.3451106044057707e-18
7.3500000000000006e-07,4.4139808523259286e-19
7.4000000000000001e-07,2.7271575646424338e-20
7.4500000000000007e-07,2.0948887047057962e-21
7.5000000000000002e-07,1.8446638384660369e-22
7.5500000000000008e-07,1.6725746471380703e-23
7.6000000000000003e-07,1.4759399353348041e-24
7.6500000000000009e-07,1.2421674140748165e-25
7.7000000000000004e-07,9.9104437717030895e-27
7.750000000000001e-07,7.4834634420768508e-28
7.8000000000000005e-07,5.3460729339540802e-29
