wavelength,PHOS-2
3.8000000000000001e-07,6.2433645887407804e-06
3.8500000000000002e-07,1.8020176562862499e-05
3.9000000000000002e-07,4.9115223550888399e-05
3.9500000000000003e-07,0.00012641249999999999
4.0000000000000003e-07,0.00030724190000000002
4.0500000000000004e-07,0.00070516019999999999
4.1000000000000004e-07,0.0015283113999999998
4.1500000000000005e-07,0.0031278982000000001
4.2e-07,0.0060451923999999997
4.2500000000000001e-07,0.011032765199999999
4.3000000000000001e-07,0.019014082000000002
4.3500000000000002e-07,0.030944472800000004
4.4000000000000002e-07,0.0475562447
4.4500000000000003e-07,0.069015836299999994
4.5000000000000003e-07,0.094581608499999997
4.5500000000000004e-07,0.12239998769999999
4.6000000000000004e-07,0.14957974569999999
4.6500000000000005e-07,0.17261595899999999
4.7000000000000005e-07,0.18810738159999998
4.75e-07,0.20633596260000001
4.8000000000000006e-07,0.21952638509999994
4.8500000000000002e-07,0.23313665010000001
4.9000000000000007e-07,0.2471570005
4.9500000000000003e-07,0.26157679230000008
5.0000000000000008e-07,0.27638455059999995
5.0500000000000004e-07,0.29156802749999999
5.0999999999999999e-07,0.3071142603
5.1500000000000005e-07,0.32300963100000007
5.2e-07,0.33923992520000001
5.2500000000000006e-07,0.35579039109999999
5.3000000000000001e-07,0.37264579850000007
5.3500000000000007e-07,0.38979049609999994
5.4000000000000002e-07,0.40720846849999992
5.4500000000000008e-07,0.42488339149999993
5.5000000000000003e-07,0.44279868610000006
5.5500000000000009e-07,0.46093757110000005
5.6000000000000004e-07,0.4792831132
5.6499999999999999e-07,0.49781827610000007
5.7000000000000005e-07,0.51652596679999996
5.75e-07,0.53538908019999998
5.8000000000000006e-07,0.55439054129999998
5.8500000000000001e-07,0.57351334539999999
5.9000000000000007e-07,0.59274059609999985
5.9500000000000002e-07,0.61205554049999999
6.0000000000000008e-07,0.63144160299999996
6.0500000000000003e-07,0.65088241579999995
6.1000000000000009e-07,0.67036184809999999
6.1500000000000004e-07,0.68986403289999987
6.1999999999999999e-07,0.70937339090000007
6.2500000000000005e-07,0.72887465330000012
6.3e-07,0.72721830899999995
6.3500000000000006e-07,0.66732886680000014
6.4000000000000001e-07,0.5782714577000001
6.4500000000000007e-07,0.47319521059999997
6.5000000000000002e-07,0.36565007070000005
6.5500000000000008e-07,0.26681345169999998
6.6000000000000003e-07,0.1838512212
6.6500000000000009e-07,0.1196305377
6.7000000000000004e-07,0.073507952900000006
6.75e-07,0.042652387
6.8000000000000005e-07,0.023370558499999999
6.8500000000000001e-07,0.012092374199999999
6.9000000000000006e-07,0.0059084124999999998
6.9500000000000002e-07,0.0027261312999999998
7.0000000000000007e-07,0.0011877895
7.0500000000000003e-07,0.00048870740000000004
7.1000000000000008e-07,0.0001898782
7.1500000000000004e-07,6.9665540055218513e-05
7.2000000000000009e-07,2.4136687247151095e-05
7.2500000000000005e-07,7.8968530434093225e-06
7.3e-07,2.43976045192516e-06
7.3500000000000006e-07,7.1179848024596206e-07
7.4000000000000001e-07,1.9610274087704899e-07
7.4500000000000007e-07,5.0999999999999987e-08
7.5000000000000002e-07,1.2533925029548801e-08
7.5500000000000008e-07,2.9077958628673699e-09
7.6000000000000003e-07,6.3702646316695607e-10
7.6500000000000009e-07,1.3178554346401801e-10
7.7000000000000004e-07,2.5745113323346699e-11
7.750000000000001e-07,4.7493981841228107e-12
7.8000000000000005e-07,8.2736871302050098e-13
