wavelength,Thorn Kolor-rite
3.8000000000000001e-07,1.111
3.8500000000000002e-07,1.3160000000000001
3.9000000000000002e-07,1.5650000000000002
3.9500000000000003e-07,1.7139999999999997
4.0000000000000003e-07,2.6400000000000006
4.0500000000000004e-07,17.539999999999999
4.1000000000000004e-07,2.9600000000000013
4.1500000000000005e-07,2.5099999999999993
4.2e-07,2.75
4.2500000000000001e-07,3.0599999999999996
4.3000000000000001e-07,3.6099999999999994
4.3500000000000002e-07,41.600000000000009
4.4000000000000002e-07,8.9499999999999993
4.4500000000000003e-07,4.7999999999999989
4.5000000000000003e-07,5.2999999999999998
4.5500000000000004e-07,5.7999999999999998
4.6000000000000004e-07,6.2400000000000002
4.6500000000000005e-07,6.6799999999999997
4.7000000000000005e-07,7.0899999999999999
4.75e-07,7.4900000000000002
4.8000000000000006e-07,7.8200000000000003
4.8500000000000002e-07,8.1199999999999992
4.9000000000000007e-07,8.5399999999999991
4.9500000000000003e-07,8.8000000000000007
5.0000000000000008e-07,9.0799999999999983
5.0500000000000004e-07,9.4599999999999991
5.0999999999999999e-07,9.8599999999999994
5.1500000000000005e-07,10.33
5.2e-07,10.73
5.2500000000000006e-07,11.07
5.3000000000000001e-07,11.289999999999999
5.3500000000000007e-07,11.429999999999998
5.4000000000000002e-07,12.93
5.4500000000000008e-07,26.300000000000001
5.5000000000000003e-07,18.109999999999999
5.5500000000000009e-07,12.17
5.6000000000000004e-07,12.369999999999997
5.6499999999999999e-07,12.669999999999998
5.7000000000000005e-07,13.120000000000001
5.75e-07,15.819999999999997
5.8000000000000006e-07,16.879999999999999
5.8500000000000001e-07,14.25
5.9000000000000007e-07,14.050000000000001
5.9500000000000002e-07,14.23
6.0000000000000008e-07,14.369999999999997
6.0500000000000003e-07,14.530000000000001
6.1000000000000009e-07,14.720000000000002
6.1500000000000004e-07,14.959999999999999
6.1999999999999999e-07,15.630000000000001
6.2500000000000005e-07,16.449999999999999
6.3e-07,16.780000000000001
6.3500000000000006e-07,16.119999999999997
6.4000000000000001e-07,15.44
6.4500000000000007e-07,16.09
6.5000000000000002e-07,18.149999999999999
6.5500000000000008e-07,20.399999999999999
6.6000000000000003e-07,20.399999999999995
6.6500000000000009e-07,17.300000000000001
6.7000000000000004e-07,13.309999999999999
6.75e-07,10.729999999999999
6.8000000000000005e-07,9.4499999999999993
6.8500000000000001e-07,8.6199999999999992
6.9000000000000006e-07,7.8099999999999996
6.9500000000000002e-07,7.0499999999999989
7.0000000000000007e-07,6.379999999999999
7.0500000000000003e-07,5.8200000000000003
7.1000000000000008e-07,5.2999999999999998
7.1500000000000004e-07,4.8099999999999996
7.2000000000000009e-07,4.4100000000000001
7.2500000000000005e-07,3.9999999999999991
7.3e-07,3.6099999999999994
7.3500000000000006e-07,3.2599999999999998
7.4000000000000001e-07,2.9500000000000002
7.4500000000000007e-07,2.6299999999999999
7.5000000000000002e-07,2.3399999999999999
7.5500000000000008e-07,2.1099999999999999
7.6000000000000003e-07,1.8900000000000001
7.6500000000000009e-07,1.71
7.7000000000000004e-07,1.5
7.750000000000001e-07,1.3300000000000001
7.8000000000000005e-07,1.2
