wavelength,F32T8TL841 (Triphosphor)
3.8000000000000001e-07,0.0040371862
3.8500000000000002e-07,0.0024796605
3.9000000000000002e-07,0.0014675082000000002
3.9500000000000003e-07,0.0017094704999999991
4.0000000000000003e-07,0.019446414600000003
4.0500000000000004e-07,0.1113191989
4.1000000000000004e-07,0.022190664200000005
4.1500000000000005e-07,0.0198378149
4.2e-07,0.0278535356
4.2500000000000001e-07,0.038663230699999995
4.3000000000000001e-07,0.0491088467
4.3500000000000002e-07,0.40337265770000003
4.4000000000000002e-07,0.14624480789999997
4.4500000000000003e-07,0.076579313400000001
4.5000000000000003e-07,0.078375276800000004
4.5500000000000004e-07,0.07656995359999999
4.6000000000000004e-07,0.071615756599999997
4.6500000000000005e-07,0.065222126899999996
4.7000000000000005e-07,0.057564059399999999
4.75e-07,0.049591235899999996
4.8000000000000006e-07,0.058083391200000001
4.8500000000000002e-07,0.1729479226
4.9000000000000007e-07,0.214981587
4.9500000000000003e-07,0.14142975660000007
5.0000000000000008e-07,0.076677945999999997
5.0500000000000004e-07,0.045963106300000001
5.0999999999999999e-07,0.053321152400000002
5.1500000000000005e-07,0.0561922859
5.2e-07,0.047524494999999993
5.2500000000000006e-07,0.038243879100000003
5.3000000000000001e-07,0.034061412499999999
5.3500000000000007e-07,0.056808877799999997
5.4000000000000002e-07,0.45218438690000001
5.4500000000000008e-07,1.0000000000000002
5.5000000000000003e-07,0.33436399920000004
5.5500000000000009e-07,0.096674307200000004
5.6000000000000004e-07,0.021897236400000006
5.6499999999999999e-07,0.0137302425
5.7000000000000005e-07,0.012798553600000002
5.75e-07,0.051702542099999999
5.8000000000000006e-07,0.16415017859999997
5.8500000000000001e-07,0.2391850676
5.9000000000000007e-07,0.20656910649999996
5.9500000000000002e-07,0.1144602882
6.0000000000000008e-07,0.083814882600000001
6.0500000000000003e-07,0.068931579899999998
6.1000000000000009e-07,0.74840254220000002
6.1500000000000004e-07,0.57539700249999992
6.1999999999999999e-07,0.2007740113
6.2500000000000005e-07,0.14657745580000001
6.3e-07,0.14871200609999999
6.3500000000000006e-07,0.050449313900000001
6.4000000000000001e-07,0.020086994699999999
6.4500000000000007e-07,0.0243029892
6.5000000000000002e-07,0.045643333299999998
6.5500000000000008e-07,0.024865770599999996
6.6000000000000003e-07,0.022454742500000003
6.6500000000000009e-07,0.026028143999999996
6.7000000000000004e-07,0.019646805
6.75e-07,0.0161739376
6.8000000000000005e-07,0.017874552700000001
6.8500000000000001e-07,0.019903762500000002
6.9000000000000006e-07,0.021217660700000005
6.9500000000000002e-07,0.015192172900000002
7.0000000000000007e-07,0.005492622
7.0500000000000003e-07,0.0494481851
7.1000000000000008e-07,0.084628616999999989
7.1500000000000004e-07,0.0248918705
7.2000000000000009e-07,0.0024310468999999999
7.2500000000000005e-07,0.0021193707999999996
7.3e-07,0.0022302449999999996
7.3500000000000006e-07,0.0013854078
7.4000000000000001e-07,0.0027224413000000005
7.4500000000000007e-07,0.0019168880000000001
7.5000000000000002e-07,0.0010922855999999999
7.5500000000000008e-07,0.00049719039999999992
7.6000000000000003e-07,1.0842021724855044e-19
7.6500000000000009e-07,0.0019168879999999998
7.7000000000000004e-07,0.0010922855999999997
7.750000000000001e-07,0.00049719040000000003
7.8000000000000005e-07,0.0
