wavelength,Phosphor LED YAG
3.8000000000000001e-07,0.00076744020000000005
3.8500000000000002e-07,0.00079880520000000005
3.9000000000000002e-07,0.00094815100000000016
3.9500000000000003e-07,0.0015352484
4.0000000000000003e-07,0.0021463554000000001
4.0500000000000004e-07,0.0034039974999999995
4.1000000000000004e-07,0.0055670635000000003
4.1500000000000005e-07,0.0095782229999999986
4.2e-07,0.0167538733
4.2500000000000001e-07,0.0299676462
4.3000000000000001e-07,0.052411499299999997
4.3500000000000002e-07,0.090528960800000002
4.4000000000000002e-07,0.15326319969999999
4.4500000000000003e-07,0.2579687799
4.5000000000000003e-07,0.42319859980000002
4.5500000000000004e-07,0.6524548723000001
4.6000000000000004e-07,0.88894105859999994
4.6500000000000005e-07,1.0000000000000002
4.7000000000000005e-07,0.90856838120000005
4.75e-07,0.71512508210000003
4.8000000000000006e-07,0.55715594359999998
4.8500000000000002e-07,0.44605798549999998
4.9000000000000007e-07,0.35914740750000007
4.9500000000000003e-07,0.29478980770000002
5.0000000000000008e-07,0.26033997809999992
5.0500000000000004e-07,0.25085170420000003
5.0999999999999999e-07,0.25703353909999999
5.1500000000000005e-07,0.27873990789999997
5.2e-07,0.3067370794
5.2500000000000006e-07,0.33656256089999997
5.3000000000000001e-07,0.36418409349999997
5.3500000000000007e-07,0.38876040299999992
5.4000000000000002e-07,0.40735104970000002
5.4500000000000008e-07,0.4195421493
5.5000000000000003e-07,0.42948695910000001
5.5500000000000009e-07,0.43489445019999995
5.6000000000000004e-07,0.43652895040000006
5.6499999999999999e-07,0.43498519960000004
5.7000000000000005e-07,0.43268800950000008
5.75e-07,0.42581973010000007
5.8000000000000006e-07,0.41965926789999997
5.8500000000000001e-07,0.41067732969999998
5.9000000000000007e-07,0.39722047659999998
5.9500000000000002e-07,0.382521167
6.0000000000000008e-07,0.3694023709
6.0500000000000003e-07,0.35171743909999997
6.1000000000000009e-07,0.33393479970000001
6.1500000000000004e-07,0.31365239939999995
6.1999999999999999e-07,0.29494626559999998
6.2500000000000005e-07,0.27405453460000001
6.3e-07,0.2560598429
6.3500000000000006e-07,0.23736755139999999
6.4000000000000001e-07,0.21822573340000001
6.4500000000000007e-07,0.20008608450000001
6.5000000000000002e-07,0.18127546220000001
6.5500000000000008e-07,0.16438250209999999
6.6000000000000003e-07,0.1476537604
6.6500000000000009e-07,0.13151132770000001
6.7000000000000004e-07,0.1154484901
6.75e-07,0.10301164090000002
6.8000000000000005e-07,0.091810057799999997
6.8500000000000001e-07,0.080437048600000005
6.9000000000000006e-07,0.071049884199999996
6.9500000000000002e-07,0.063213850399999993
7.0000000000000007e-07,0.055542614299999987
7.0500000000000003e-07,0.049404269399999999
7.1000000000000008e-07,0.043552257900000002
7.1500000000000004e-07,0.038346114000000001
7.2000000000000009e-07,0.033405092599999998
7.2500000000000005e-07,0.029532386199999993
7.3e-07,0.026015539000000001
7.3500000000000006e-07,0.022589812899999999
7.4000000000000001e-07,0.020202026200000004
7.4500000000000007e-07,0.017633071899999998
7.5000000000000002e-07,0.015594848
7.5500000000000008e-07,0.0135268479
7.6000000000000003e-07,0.011790426600000002
7.6500000000000009e-07,0.010263582700000001
7.7000000000000004e-07,0.0091149714999999992
7.750000000000001e-07,0.0079991913999999994
7.8000000000000005e-07,0.0070995878000000004
