wavelength,LPS
3.8000000000000001e-07,0.0
3.8500000000000002e-07,-7.3468396926392969e-40
3.9000000000000002e-07,-5.8774717541114375e-39
3.9500000000000003e-07,1.1754943508222875e-38
4.0000000000000003e-07,-2.350988701644575e-38
4.0500000000000004e-07,9.4039548065783001e-38
4.1000000000000004e-07,-3.76158192263132e-37
4.1500000000000005e-07,1.504632769052528e-36
4.2e-07,0.0
4.2500000000000001e-07,0.0
4.3000000000000001e-07,9.6296497219361793e-35
4.3500000000000002e-07,0.0
4.4000000000000002e-07,0.0
4.4500000000000003e-07,0.0
4.5000000000000003e-07,0.0
4.5500000000000004e-07,-4.9303806576313238e-32
4.6000000000000004e-07,0.0
4.6500000000000005e-07,7.8886090522101181e-31
4.7000000000000005e-07,0.0
4.75e-07,0.0
4.8000000000000006e-07,0.0
4.8500000000000002e-07,-2.0194839173657902e-28
4.9000000000000007e-07,0.0
4.9500000000000003e-07,0.0
5.0000000000000008e-07,0.0
5.0500000000000004e-07,2.5849394142282115e-26
5.0999999999999999e-07,0.0
5.1500000000000005e-07,0.0
5.2e-07,1.6543612251060553e-24
5.2500000000000006e-07,6.6174449004242214e-24
5.3000000000000001e-07,2.6469779601696886e-23
5.3500000000000007e-07,0.0
5.4000000000000002e-07,0.0
5.4500000000000008e-07,1.6940658945086007e-21
5.5000000000000003e-07,3.3881317890172014e-21
5.5500000000000009e-07,1.3552527156068805e-20
5.6000000000000004e-07,-5.4210108624275222e-20
5.6499999999999999e-07,0.0
5.7000000000000005e-07,0.0
5.75e-07,0.0
5.8000000000000006e-07,0.0
5.8500000000000001e-07,0.0
5.9000000000000007e-07,0.99999999999999978
5.9500000000000002e-07,3.4694469519536142e-17
6.0000000000000008e-07,4.3368086899420177e-18
6.0500000000000003e-07,1.7347234759768071e-18
6.1000000000000009e-07,2.7105054312137611e-19
6.1500000000000004e-07,3.1170812458958252e-19
6.1999999999999999e-07,1.1519648082658485e-19
6.2500000000000005e-07,-6.7762635780344027e-21
6.3e-07,6.7762635780344027e-21
6.3500000000000006e-07,6.3527471044072525e-22
6.4000000000000001e-07,-5.2939559203393771e-23
6.4500000000000007e-07,3.9704669402545328e-23
6.5000000000000002e-07,-4.963083675318166e-24
6.5500000000000008e-07,-4.1359030627651384e-24
6.6000000000000003e-07,-3.1019272970738538e-25
6.6500000000000009e-07,-4.9113848870336018e-25
6.7000000000000004e-07,-1.2924697071141057e-25
6.75e-07,-9.6935228033557931e-27
6.8000000000000005e-07,8.885729236409477e-27
6.8500000000000001e-07,2.6253290925755273e-27
6.9000000000000006e-07,-4.0389678347315804e-28
6.9500000000000002e-07,5.0487097934144756e-29
7.0000000000000007e-07,-2.2088105346188331e-29
7.0500000000000003e-07,-6.3108872417680944e-30
7.1000000000000008e-07,1.3805065841367707e-30
7.1500000000000004e-07,1.4791141972893971e-30
7.2000000000000009e-07,1.2325951644078309e-32
7.2500000000000005e-07,0.0
7.3e-07,1.5407439555097887e-33
7.3500000000000006e-07,5.3926038442842604e-33
7.4000000000000001e-07,1.2518544638517033e-33
7.4500000000000007e-07,-2.4074124304840448e-34
7.5000000000000002e-07,1.2638915260041235e-34
7.5500000000000008e-07,-4.513898307157584e-36
7.6000000000000003e-07,-8.2754802297889041e-36
7.6500000000000009e-07,-7.5231638452626401e-37
7.7000000000000004e-07,3.76158192263132e-37
7.750000000000001e-07,0.0
7.8000000000000005e-07,0.0
