wavelength,T8 Polylux 4000
3.8000000000000001e-07,0.498
3.8500000000000002e-07,0.38399999999999995
3.9000000000000002e-07,0.39400000000000002
3.9500000000000003e-07,0.26699999999999985
4.0000000000000003e-07,1.2440000000000002
4.0500000000000004e-07,9.7029999999999994
4.1000000000000004e-07,1.1020000000000001
4.1500000000000005e-07,0.98999999999999999
4.2e-07,1.2629999999999999
4.2500000000000001e-07,1.6810000000000003
4.3000000000000001e-07,2.3220000000000001
4.3500000000000002e-07,21.722999999999999
4.4000000000000002e-07,5.9599999999999991
4.4500000000000003e-07,3.6180000000000003
4.5000000000000003e-07,3.831
4.5500000000000004e-07,3.8149999999999995
4.6000000000000004e-07,3.714
4.6500000000000005e-07,3.4589999999999996
4.7000000000000005e-07,3.1619999999999999
4.75e-07,2.8730000000000002
4.8000000000000006e-07,3.2910000000000004
4.8500000000000002e-07,8.1910000000000025
4.9000000000000007e-07,8.6110000000000007
4.9500000000000003e-07,5.1219999999999999
5.0000000000000008e-07,2.8540000000000001
5.0500000000000004e-07,1.5729999999999997
5.0999999999999999e-07,1.1110000000000002
5.1500000000000005e-07,0.91600000000000004
5.2e-07,0.81100000000000017
5.2500000000000006e-07,0.82299999999999995
5.3000000000000001e-07,1.0960000000000001
5.3500000000000007e-07,3.2909999999999999
5.4000000000000002e-07,23.510000000000005
5.4500000000000008e-07,45.698
5.5000000000000003e-07,15.958000000000002
5.5500000000000009e-07,4.1760000000000002
5.6000000000000004e-07,2.21
5.6499999999999999e-07,1.8180000000000003
5.7000000000000005e-07,1.6890000000000001
5.75e-07,4.109
5.8000000000000006e-07,7.7429999999999994
5.8500000000000001e-07,9.1960000000000015
5.9000000000000007e-07,7.472999999999999
5.9500000000000002e-07,5.8040000000000012
6.0000000000000008e-07,4.8139999999999992
6.0500000000000003e-07,3.6200000000000001
6.1000000000000009e-07,32.462000000000003
6.1500000000000004e-07,23.617999999999995
6.1999999999999999e-07,6.9690000000000012
6.2500000000000005e-07,7.6429999999999998
6.3e-07,7.5100000000000007
6.3500000000000006e-07,2.5640000000000001
6.4000000000000001e-07,1.345
6.4500000000000007e-07,1.347
6.5000000000000002e-07,2.3519999999999999
6.5500000000000008e-07,1.681
6.6000000000000003e-07,1.4409999999999998
6.6500000000000009e-07,1.3360000000000001
6.7000000000000004e-07,0.90999999999999992
6.75e-07,0.78600000000000014
6.8000000000000005e-07,0.85799999999999998
6.8500000000000001e-07,1.2160000000000002
6.9000000000000006e-07,1.0369999999999999
6.9500000000000002e-07,0.66900000000000004
7.0000000000000007e-07,0.35099999999999998
7.0500000000000003e-07,2.3719999999999999
7.1000000000000008e-07,3.3169999999999997
7.1500000000000004e-07,0.88600000000000012
7.2000000000000009e-07,0.17299999999999999
7.2500000000000005e-07,0.159
7.3e-07,0.13200000000000001
7.3500000000000006e-07,0.11299999999999999
7.4000000000000001e-07,0.151
7.4500000000000007e-07,0.14499999999999999
7.5000000000000002e-07,0.086000000000000007
7.5500000000000008e-07,0.092999999999999999
7.6000000000000003e-07,0.31899999999999995
7.6500000000000009e-07,0.064000000000000001
7.7000000000000004e-07,0.092999999999999999
7.750000000000001e-07,0.050999999999999997
7.8000000000000005e-07,0.055
