wavelength,F40N (Natural FL)
3.8000000000000001e-07,0.031080319700000001
3.8500000000000002e-07,0.037814945899999994
3.9000000000000002e-07,0.047209387799999995
3.9500000000000003e-07,0.054899297199999995
4.0000000000000003e-07,0.11296153070000001
4.0500000000000004e-07,0.37089239839999999
4.1000000000000004e-07,0.10920147890000001
4.1500000000000005e-07,0.092699404399999991
4.2e-07,0.10203768429999999
4.2500000000000001e-07,0.1123672662
4.3000000000000001e-07,0.12363438540000002
4.3500000000000002e-07,1.0
4.4000000000000002e-07,0.32555568569999999
4.4500000000000003e-07,0.14986233400000001
4.5000000000000003e-07,0.15833729779999997
4.5500000000000004e-07,0.16676389729999999
4.6000000000000004e-07,0.17332258240000004
4.6500000000000005e-07,0.1798784075
4.7000000000000005e-07,0.1850065602
4.75e-07,0.18848520169999999
4.8000000000000006e-07,0.19153016959999999
4.8500000000000002e-07,0.19522560490000002
4.9000000000000007e-07,0.20026299859999999
4.9500000000000003e-07,0.19953831840000003
5.0000000000000008e-07,0.20031908569999998
5.0500000000000004e-07,0.20485725329999993
5.0999999999999999e-07,0.21180073330000002
5.1500000000000005e-07,0.22036871250000001
5.2e-07,0.22857088649999999
5.2500000000000006e-07,0.23518242719999999
5.3000000000000001e-07,0.23908861870000001
5.3500000000000007e-07,0.24260024320000001
5.4000000000000002e-07,0.24796799
5.4500000000000008e-07,0.74191308950000001
5.5000000000000003e-07,0.36843715430000001
5.5500000000000009e-07,0.26029299509999992
5.6000000000000004e-07,0.26674219030000001
5.6499999999999999e-07,0.2759699712
5.7000000000000005e-07,0.28689463640000001
5.75e-07,0.36392252179999995
5.8000000000000006e-07,0.39395304860000002
5.8500000000000001e-07,0.3301830181
5.9000000000000007e-07,0.34123328859999996
5.9500000000000002e-07,0.35271846569999998
6.0000000000000008e-07,0.36266325640000002
6.0500000000000003e-07,0.37181066020000003
6.1000000000000009e-07,0.39324172419999998
6.1500000000000004e-07,0.39456417649999997
6.1999999999999999e-07,0.39131772710000007
6.2500000000000005e-07,0.3928678431
6.3e-07,0.39165000399999994
6.3500000000000006e-07,0.38491545679999994
6.4000000000000001e-07,0.37819263289999999
6.4500000000000007e-07,0.36991536390000002
6.5000000000000002e-07,0.36088888850000006
6.5500000000000008e-07,0.34938540680000008
6.6000000000000003e-07,0.33468823480000004
6.6500000000000009e-07,0.32050864289999992
6.7000000000000004e-07,0.30531035960000003
6.75e-07,0.2879882185
6.8000000000000005e-07,0.27114644869999999
6.8500000000000001e-07,0.25298785909999999
6.9000000000000006e-07,0.23867814509999996
6.9500000000000002e-07,0.21965157560000004
7.0000000000000007e-07,0.20219911090000003
7.0500000000000003e-07,0.18734204560000001
7.1000000000000008e-07,0.1706900821
7.1500000000000004e-07,0.15373767390000001
7.2000000000000009e-07,0.13678722639999999
7.2500000000000005e-07,0.12378476569999998
7.3e-07,0.11374987099999999
7.3500000000000006e-07,0.10456807930000001
7.4000000000000001e-07,0.092529031599999992
7.4500000000000007e-07,0.081630201900000005
7.5000000000000002e-07,0.079465617200000005
7.5500000000000008e-07,0.062467057599999994
7.6000000000000003e-07,0.053800526500000008
7.6500000000000009e-07,0.081630201899999991
7.7000000000000004e-07,0.079465617200000005
7.750000000000001e-07,0.062467057600000001
7.8000000000000005e-07,0.053800526500000001
