wavelength,F40CWX (Broadband FL)
3.8000000000000001e-07,0.027383484699999999
3.8500000000000002e-07,0.033591032100000001
3.9000000000000002e-07,0.041544187400000002
3.9500000000000003e-07,0.05036986999999999
4.0000000000000003e-07,0.09980793759999998
4.0500000000000004e-07,0.31325709159999998
4.1000000000000004e-07,0.10140115020000001
4.1500000000000005e-07,0.089828740099999999
4.2e-07,0.10106745889999999
4.2500000000000001e-07,0.11232652920000001
4.3000000000000001e-07,0.11987081659999999
4.3500000000000002e-07,0.79551618469999985
4.4000000000000002e-07,0.29176124749999999
4.4500000000000003e-07,0.15316975210000003
4.5000000000000003e-07,0.16051878300000003
4.5500000000000004e-07,0.16078523580000001
4.6000000000000004e-07,0.16511936690000004
4.6500000000000005e-07,0.16996450969999996
4.7000000000000005e-07,0.17290580019999996
4.75e-07,0.17454510140000001
4.8000000000000006e-07,0.174788997
4.8500000000000002e-07,0.17492816650000004
4.9000000000000007e-07,0.17696719790000001
4.9500000000000003e-07,0.17649227700000003
5.0000000000000008e-07,0.1791247312
5.0500000000000004e-07,0.18566320389999996
5.0999999999999999e-07,0.1989325374
5.1500000000000005e-07,0.21594021829999999
5.2e-07,0.2293640689
5.2500000000000006e-07,0.23850253290000001
5.3000000000000001e-07,0.24336725700000003
5.3500000000000007e-07,0.24940147349999997
5.4000000000000002e-07,0.2429313931
5.4500000000000008e-07,0.62946723429999996
5.5000000000000003e-07,0.33989134970000001
5.5500000000000009e-07,0.25521278759999999
5.6000000000000004e-07,0.24872784279999999
5.6499999999999999e-07,0.24957266210000001
5.7000000000000005e-07,0.25449918460000004
5.75e-07,0.30234028070000002
5.8000000000000006e-07,0.34772776169999997
5.8500000000000001e-07,0.30339585020000004
5.9000000000000007e-07,0.32219535189999998
5.9500000000000002e-07,0.31581382000000008
6.0000000000000008e-07,0.28896535779999999
6.0500000000000003e-07,0.26073247830000001
6.1000000000000009e-07,1.0
6.1500000000000004e-07,0.73839030959999996
6.1999999999999999e-07,0.21386523069999996
6.2500000000000005e-07,0.20924498000000002
6.3e-07,0.25845327029999998
6.3500000000000006e-07,0.14346361369999999
6.4000000000000001e-07,0.099062207499999999
6.4500000000000007e-07,0.086597874600000013
6.5000000000000002e-07,0.1015560714
6.5500000000000008e-07,0.074955641299999987
6.6000000000000003e-07,0.067441505700000015
6.6500000000000009e-07,0.058500070500000001
6.7000000000000004e-07,0.043906886000000006
6.75e-07,0.036803640300000003
6.8000000000000005e-07,0.032520265
6.8500000000000001e-07,0.041211424900000002
6.9000000000000006e-07,0.045632766499999991
6.9500000000000002e-07,0.036211956699999999
7.0000000000000007e-07,0.024303471699999999
7.0500000000000003e-07,0.075088161300000011
7.1000000000000008e-07,0.11252888589999997
7.1500000000000004e-07,0.041933782199999999
7.2000000000000009e-07,0.0145614908
7.2500000000000005e-07,0.013617844499999998
7.3e-07,0.012804761
7.3500000000000006e-07,0.011786784000000002
7.4000000000000001e-07,0.0125255388
7.4500000000000007e-07,0.011525860400000001
7.5000000000000002e-07,0.012535837399999999
7.5500000000000008e-07,0.0096349159000000007
7.6000000000000003e-07,0.0078610248999999993
7.6500000000000009e-07,0.021617718300000002
7.7000000000000004e-07,0.022529001600000001
7.750000000000001e-07,0.022809811700000002
7.8000000000000005e-07,0.023430497299999999
