wavelength,3-LED-2 Yellow
3.8000000000000001e-07,5.28857670457154e-11
3.8500000000000002e-07,5.1888265257530595e-10
3.9000000000000002e-07,4.4932429412025105e-09
3.9500000000000003e-07,3.43390526697708e-08
4.0000000000000003e-07,2.3160253104841998e-07
4.0500000000000004e-07,1.37853969558916e-06
4.1000000000000004e-07,7.24124676481305e-06
4.1500000000000005e-07,3.3567891542240694e-05
4.2e-07,0.00013732539999999999
4.2500000000000001e-07,0.00049578529999999999
4.3000000000000001e-07,0.0015796223000000002
4.3500000000000002e-07,0.0044415178000000001
4.4000000000000002e-07,0.011021473099999998
4.4500000000000003e-07,0.024147259499999997
4.5000000000000003e-07,0.046962482699999995
4.5500000000000004e-07,0.084122012900000001
4.6000000000000004e-07,0.15495148819999999
4.6500000000000005e-07,0.30450702839999999
4.7000000000000005e-07,0.50833614630000001
4.75e-07,0.57484605700000002
4.8000000000000006e-07,0.42075340569999997
4.8500000000000002e-07,0.23106457959999999
4.9000000000000007e-07,0.12991510049999999
4.9500000000000003e-07,0.090220718899999996
5.0000000000000008e-07,0.078254993699999983
5.0500000000000004e-07,0.086171505999999981
5.0999999999999999e-07,0.1125227291
5.1500000000000005e-07,0.15763359160000004
5.2e-07,0.22927003030000004
5.2500000000000006e-07,0.3504034157
5.3000000000000001e-07,0.55173534880000008
5.3500000000000007e-07,0.82763411629999994
5.4000000000000002e-07,1.0856978743000003
5.4500000000000008e-07,1.1822953562999998
5.5000000000000003e-07,1.0532430391000001
5.5500000000000009e-07,0.78315753919999986
5.6000000000000004e-07,0.51519578129999988
5.6499999999999999e-07,0.32783560150000002
5.7000000000000005e-07,0.21772004700000003
5.75e-07,0.15503928859999999
5.8000000000000006e-07,0.1226630873
5.8500000000000001e-07,0.1201552523
5.9000000000000007e-07,0.15506383479999997
5.9500000000000002e-07,0.23682114310000002
6.0000000000000008e-07,0.39372362920000004
6.0500000000000003e-07,0.73898278579999988
6.1000000000000009e-07,1.3847222802000001
6.1500000000000004e-07,1.9512761615999996
6.1999999999999999e-07,1.77960841
6.2500000000000005e-07,1.0887651572999999
6.3e-07,0.55508205079999995
6.3500000000000006e-07,0.29962137039999992
6.4000000000000001e-07,0.16768597939999999
6.4500000000000007e-07,0.086860056800000002
6.5000000000000002e-07,0.0399753048
6.5500000000000008e-07,0.016244731599999999
6.6000000000000003e-07,0.005825850300000001
6.6500000000000009e-07,0.0018438296999999998
6.7000000000000004e-07,0.00051498709999999988
6.75e-07,0.00012693620000000001
6.8000000000000005e-07,2.7611421980159098e-05
6.8500000000000001e-07,5.300364967862469e-06
6.9000000000000006e-07,8.97918491131487e-07
6.9500000000000002e-07,1.34240239382623e-07
7.0000000000000007e-07,1.7711045489397201e-08
7.0500000000000003e-07,2.0621647190330504e-09
7.1000000000000008e-07,2.1189672165669998e-10
7.1500000000000004e-07,1.9215667283685503e-11
7.2000000000000009e-07,1.5379288169053701e-12
7.2500000000000005e-07,1.0864542505163601e-13
7.3e-07,6.7762881494388097e-15
7.3500000000000006e-07,3.7339248152468702e-16
7.4000000000000001e-07,1.8210507174680489e-17
7.4500000000000007e-07,7.9018858201568332e-19
7.5000000000000002e-07,3.0982925890825044e-20
7.5500000000000008e-07,1.1483147299917028e-21
7.6000000000000003e-07,4.4950477266935427e-23
7.6500000000000009e-07,2.1883136314649752e-24
7.7000000000000004e-07,1.3831276367748794e-25
7.750000000000001e-07,9.9818384397354202e-27
7.8000000000000005e-07,7.3080025328018496e-28
