wavelength,FL3.7
3.8e-07,3.79
3.85e-07,2.56
3.9e-07,1.91
3.95e-07,1.42
4e-07,1.51
4.05e-07,73.64
4.1e-07,7.37
4.15e-07,4.69
4.2e-07,5.33
4.25e-07,6.75
4.3e-07,8.51
4.35e-07,181.81
4.4e-07,11.71
4.45e-07,11.96
4.5e-07,12.18
4.55e-07,11.9
4.6e-07,11.16
4.65e-07,11.22
4.7e-07,9.83
4.75e-07,8.94
4.8e-07,12.08
4.85e-07,52.56
4.9e-07,55.42
4.95e-07,31.69
5e-07,16.03
5.05e-07,6.72
5.1e-07,4.59
5.15e-07,3.67
5.2e-07,3.02
5.25e-07,3.21
5.3e-07,4.9
5.35e-07,19.05
5.4e-07,177.64
5.45e-07,347.34
5.5e-07,116.8
5.55e-07,31.87
5.6e-07,16.37
5.65e-07,14.92
5.7e-07,14.12
5.75e-07,29.5
5.8e-07,61.4
5.85e-07,85.05
5.9e-07,64.86
5.95e-07,65.01
6e-07,53.17
6.05e-07,34.22
6.1e-07,427.27
6.15e-07,201.1
6.2e-07,58.63
6.25e-07,72.01
6.3e-07,88.19
6.35e-07,20.07
6.4e-07,13.1
6.45e-07,12.92
6.5e-07,24.54
6.55e-07,15.94
6.6e-07,13.56
6.65e-07,13.38
6.7e-07,8.42
6.75e-07,6.57
6.8e-07,7.18
6.85e-07,9.9
6.9e-07,11.47
6.95e-07,8.88
7e-07,3.05
7.05e-07,22.04
7.1e-07,42.79
7.15e-07,14.4
7.2e-07,1.88
7.25e-07,1.6
7.3e-07,1.42
7.35e-07,1.05
7.4e-07,1.23
7.45e-07,1.76
7.5e-07,0.74
7.55e-07,0.52
7.6e-07,4.1
7.65e-07,0.46
7.7e-07,0.99
7.75e-07,0.43
7.8e-07,0.0
