wavelength,FL3.9
3.8e-07,3.77
3.85e-07,2.64
3.9e-07,2.06
3.95e-07,1.87
4e-07,2.55
4.05e-07,71.68
4.1e-07,12.05
4.15e-07,13.57
4.2e-07,19.6
4.25e-07,27.33
4.3e-07,35.39
4.35e-07,211.82
4.4e-07,49.02
4.45e-07,51.83
4.5e-07,52.5
4.55e-07,50.73
4.6e-07,46.93
4.65e-07,42.42
4.7e-07,37.16
4.75e-07,31.84
4.8e-07,31.94
4.85e-07,77.74
4.9e-07,79.45
4.95e-07,47.93
5e-07,26.24
5.05e-07,13.15
5.1e-07,8.8
5.15e-07,6.7
5.2e-07,5.38
5.25e-07,4.93
5.3e-07,6.06
5.35e-07,19.76
5.4e-07,215.94
5.45e-07,412.13
5.5e-07,142.39
5.55e-07,34.74
5.6e-07,14.76
5.65e-07,10.99
5.7e-07,9.25
5.75e-07,23.5
5.8e-07,53.05
5.85e-07,81.9
5.9e-07,54.92
5.95e-07,47.8
6e-07,36.65
6.05e-07,21.82
6.1e-07,285.69
6.15e-07,139.94
6.2e-07,53.37
6.25e-07,64.3
6.3e-07,64.04
6.35e-07,13.79
6.4e-07,9.06
6.45e-07,9.83
6.5e-07,18.6
6.55e-07,13.38
6.6e-07,10.99
6.65e-07,10.77
6.7e-07,7.57
6.75e-07,6.19
6.8e-07,7.09
6.85e-07,8.54
6.9e-07,8.77
6.95e-07,6.41
7e-07,2.26
7.05e-07,15.02
7.1e-07,29.39
7.15e-07,10.22
7.2e-07,1.42
7.25e-07,1.23
7.3e-07,1.1
7.35e-07,0.84
7.4e-07,0.97
7.45e-07,1.35
7.5e-07,0.65
7.55e-07,0.13
7.6e-07,4.22
7.65e-07,0.1
7.7e-07,0.68
7.75e-07,0.16
7.8e-07,0.0
