wavelength,F4
3.8e-07,0.57
3.85e-07,0.7
3.9e-07,0.87
3.95e-07,0.98
4e-07,2.01
4.05e-07,13.75
4.1e-07,1.95
4.15e-07,1.59
4.2e-07,1.76
4.25e-07,1.93
4.3e-07,2.1
4.35e-07,30.28
4.4e-07,8.03
4.45e-07,2.55
4.5e-07,2.7
4.55e-07,2.82
4.6e-07,2.91
4.65e-07,2.99
4.7e-07,3.04
4.75e-07,3.08
4.8e-07,3.09
4.85e-07,3.09
4.9e-07,3.14
4.95e-07,3.06
5e-07,3.0
5.05e-07,2.98
5.1e-07,3.01
5.15e-07,3.14
5.2e-07,3.41
5.25e-07,3.9
5.3e-07,4.69
5.35e-07,5.81
5.4e-07,7.32
5.45e-07,22.59
5.5e-07,15.11
5.55e-07,13.88
5.6e-07,16.33
5.65e-07,18.68
5.7e-07,20.64
5.75e-07,24.28
5.8e-07,26.26
5.85e-07,23.28
5.9e-07,22.94
5.95e-07,22.14
6e-07,20.91
6.05e-07,19.43
6.1e-07,17.74
6.15e-07,16.0
6.2e-07,14.42
6.25e-07,12.56
6.3e-07,10.93
6.35e-07,9.52
6.4e-07,8.18
6.45e-07,7.01
6.5e-07,6.0
6.55e-07,5.11
6.6e-07,4.36
6.65e-07,3.69
6.7e-07,3.13
6.75e-07,2.64
6.8e-07,2.24
6.85e-07,1.91
6.9e-07,1.7
6.95e-07,1.39
7e-07,1.18
7.05e-07,1.03
7.1e-07,0.88
7.15e-07,0.74
7.2e-07,0.64
7.25e-07,0.54
7.3e-07,0.49
7.35e-07,0.46
7.4e-07,0.42
7.45e-07,0.37
7.5e-07,0.37
7.55e-07,0.33
7.6e-07,0.35
7.65e-07,0.36
7.7e-07,0.31
7.75e-07,0.26
7.8e-07,0.19
