wavelength,F5
3.8e-07,1.87
3.85e-07,2.35
3.9e-07,2.92
3.95e-07,3.45
4e-07,5.1
4.05e-07,18.91
4.1e-07,6.0
4.15e-07,6.11
4.2e-07,6.85
4.25e-07,7.58
4.3e-07,8.31
4.35e-07,40.76
4.4e-07,16.06
4.45e-07,10.32
4.5e-07,10.91
4.55e-07,11.4
4.6e-07,11.83
4.65e-07,12.17
4.7e-07,12.4
4.75e-07,12.54
4.8e-07,12.58
4.85e-07,12.52
4.9e-07,12.47
4.95e-07,12.2
5e-07,11.89
5.05e-07,11.61
5.1e-07,11.33
5.15e-07,11.1
5.2e-07,10.96
5.25e-07,10.97
5.3e-07,11.16
5.35e-07,11.54
5.4e-07,12.12
5.45e-07,27.78
5.5e-07,17.73
5.55e-07,14.47
5.6e-07,15.2
5.65e-07,15.77
5.7e-07,16.1
5.75e-07,18.54
5.8e-07,19.5
5.85e-07,15.39
5.9e-07,14.64
5.95e-07,13.72
6e-07,12.69
6.05e-07,11.57
6.1e-07,10.45
6.15e-07,9.35
6.2e-07,8.29
6.25e-07,7.32
6.3e-07,6.41
6.35e-07,5.63
6.4e-07,4.9
6.45e-07,4.26
6.5e-07,3.72
6.55e-07,3.25
6.6e-07,2.83
6.65e-07,2.49
6.7e-07,2.19
6.75e-07,1.93
6.8e-07,1.71
6.85e-07,1.52
6.9e-07,1.48
6.95e-07,1.26
7e-07,1.13
7.05e-07,1.05
7.1e-07,0.96
7.15e-07,0.85
7.2e-07,0.78
7.25e-07,0.72
7.3e-07,0.68
7.35e-07,0.67
7.4e-07,0.65
7.45e-07,0.61
7.5e-07,0.62
7.55e-07,0.59
7.6e-07,0.62
7.65e-07,0.64
7.7e-07,0.55
7.75e-07,0.47
7.8e-07,0.4
