wavelength,FL3.12
3.8e-07,1.62
3.85e-07,2.06
3.9e-07,2.71
3.95e-07,3.11
4e-07,3.67
4.05e-07,74.6
4.1e-07,8.88
4.15e-07,4.77
4.2e-07,4.72
4.25e-07,4.72
4.3e-07,4.94
4.35e-07,150.29
4.4e-07,6.08
4.45e-07,7.13
4.5e-07,9.1
4.55e-07,11.76
4.6e-07,14.96
4.65e-07,18.54
4.7e-07,22.48
4.75e-07,26.76
4.8e-07,31.66
4.85e-07,40.93
4.9e-07,45.83
4.95e-07,46.0
5e-07,45.26
5.05e-07,43.16
5.1e-07,41.63
5.15e-07,39.75
5.2e-07,37.83
5.25e-07,36.16
5.3e-07,35.25
5.35e-07,37.04
5.4e-07,59.86
5.45e-07,183.53
5.5e-07,59.03
5.55e-07,47.93
5.6e-07,48.67
5.65e-07,52.69
5.7e-07,57.24
5.75e-07,77.75
5.8e-07,87.81
5.85e-07,80.55
5.9e-07,84.83
5.95e-07,86.84
6e-07,91.44
6.05e-07,96.51
6.1e-07,105.25
6.15e-07,106.74
6.2e-07,108.53
6.25e-07,106.92
6.3e-07,101.54
6.35e-07,95.2
6.4e-07,89.34
6.45e-07,82.95
6.5e-07,75.78
6.55e-07,68.65
6.6e-07,61.7
6.65e-07,55.23
6.7e-07,48.58
6.75e-07,42.9
6.8e-07,37.74
6.85e-07,32.93
6.9e-07,29.65
6.95e-07,25.19
7e-07,21.69
7.05e-07,19.28
7.1e-07,17.36
7.15e-07,14.74
7.2e-07,12.86
7.25e-07,11.28
7.3e-07,9.97
7.35e-07,8.88
7.4e-07,7.78
7.45e-07,7.04
7.5e-07,6.3
7.55e-07,5.55
7.6e-07,10.15
7.65e-07,4.5
7.7e-07,4.81
7.75e-07,3.72
7.8e-07,3.28
