wavelength,F6
3.8e-07,1.05
3.85e-07,1.31
3.9e-07,1.63
3.95e-07,1.9
4e-07,3.11
4.05e-07,14.8
4.1e-07,3.43
4.15e-07,3.3
4.2e-07,3.68
4.25e-07,4.07
4.3e-07,4.45
4.35e-07,32.61
4.4e-07,10.74
4.45e-07,5.48
4.5e-07,5.78
4.55e-07,6.03
4.6e-07,6.25
4.65e-07,6.41
4.7e-07,6.52
4.75e-07,6.58
4.8e-07,6.59
4.85e-07,6.56
4.9e-07,6.56
4.95e-07,6.42
5e-07,6.28
5.05e-07,6.2
5.1e-07,6.19
5.15e-07,6.3
5.2e-07,6.6
5.25e-07,7.12
5.3e-07,7.94
5.35e-07,9.07
5.4e-07,10.49
5.45e-07,25.22
5.5e-07,17.46
5.55e-07,15.63
5.6e-07,17.22
5.65e-07,18.53
5.7e-07,19.43
5.75e-07,21.97
5.8e-07,23.01
5.85e-07,19.41
5.9e-07,18.56
5.95e-07,17.42
6e-07,16.09
6.05e-07,14.64
6.1e-07,13.15
6.15e-07,11.68
6.2e-07,10.25
6.25e-07,8.95
6.3e-07,7.74
6.35e-07,6.69
6.4e-07,5.71
6.45e-07,4.87
6.5e-07,4.16
6.55e-07,3.55
6.6e-07,3.02
6.65e-07,2.57
6.7e-07,2.2
6.75e-07,1.87
6.8e-07,1.6
6.85e-07,1.37
6.9e-07,1.29
6.95e-07,1.05
7e-07,0.91
7.05e-07,0.81
7.1e-07,0.71
7.15e-07,0.61
7.2e-07,0.54
7.25e-07,0.48
7.3e-07,0.44
7.35e-07,0.43
7.4e-07,0.4
7.45e-07,0.37
7.5e-07,0.38
7.55e-07,0.35
7.6e-07,0.39
7.65e-07,0.41
7.7e-07,0.33
7.75e-07,0.26
7.8e-07,0.21
