wavelength,FL3.3
3.8e-07,8.94
3.85e-07,11.21
3.9e-07,14.08
3.95e-07,16.48
4e-07,19.63
4.05e-07,116.33
4.1e-07,32.07
4.15e-07,29.72
4.2e-07,33.39
4.25e-07,36.94
4.3e-07,40.33
4.35e-07,262.66
4.4e-07,46.87
4.45e-07,49.79
4.5e-07,52.46
4.55e-07,54.81
4.6e-07,56.81
4.65e-07,58.44
4.7e-07,59.52
4.75e-07,60.12
4.8e-07,60.24
4.85e-07,59.88
4.9e-07,59.88
4.95e-07,58.6
5e-07,57.85
5.05e-07,56.29
5.1e-07,54.81
5.15e-07,53.42
5.2e-07,52.7
5.25e-07,52.5
5.3e-07,53.3
5.35e-07,54.89
5.4e-07,57.61
5.45e-07,182.75
5.5e-07,65.27
5.55e-07,69.41
5.6e-07,73.28
5.65e-07,76.56
5.7e-07,78.67
5.75e-07,95.74
5.8e-07,97.22
5.85e-07,76.79
5.9e-07,73.36
5.95e-07,69.33
6e-07,64.23
6.05e-07,58.92
6.1e-07,53.38
6.15e-07,47.91
6.2e-07,42.61
6.25e-07,37.74
6.3e-07,33.11
6.35e-07,29.04
6.4e-07,25.29
6.45e-07,22.1
6.5e-07,19.31
6.55e-07,16.84
6.6e-07,14.68
6.65e-07,12.89
6.7e-07,11.37
6.75e-07,9.97
6.8e-07,8.82
6.85e-07,7.86
6.9e-07,7.78
6.95e-07,6.3
7e-07,5.67
7.05e-07,5.15
7.1e-07,4.91
7.15e-07,4.31
7.2e-07,3.99
7.25e-07,3.67
7.3e-07,3.43
7.35e-07,3.19
7.4e-07,2.95
7.45e-07,2.75
7.5e-07,2.63
7.55e-07,2.43
7.6e-07,7.14
7.65e-07,2.19
7.7e-07,2.71
7.75e-07,2.0
7.8e-07,1.8
