wavelength,FL3.15
3.8e-07,300
3.85e-07,286
3.9e-07,268
3.95e-07,244
4e-07,304
4.05e-07,581
4.1e-07,225
4.15e-07,155
4.2e-07,152
4.25e-07,170
4.3e-07,295
4.35e-07,1417
4.4e-07,607
4.45e-07,343
4.5e-07,386
4.55e-07,430
4.6e-07,469
4.65e-07,502
4.7e-07,531
4.75e-07,552
4.8e-07,567
4.85e-07,572
4.9e-07,575
4.95e-07,561
5e-07,548
5.05e-07,527
5.1e-07,507
5.15e-07,482
5.2e-07,461
5.25e-07,438
5.3e-07,418
5.35e-07,404
5.4e-07,429
5.45e-07,1016
5.5e-07,581
5.55e-07,370
5.6e-07,368
5.65e-07,371
5.7e-07,377
5.75e-07,490
5.8e-07,525
5.85e-07,402
5.9e-07,404
5.95e-07,412
6e-07,418
6.05e-07,425
6.1e-07,428
6.15e-07,432
6.2e-07,433
6.25e-07,431
6.3e-07,427
6.35e-07,420
6.4e-07,410
6.45e-07,399
6.5e-07,385
6.55e-07,370
6.6e-07,352
6.65e-07,336
6.7e-07,317
6.75e-07,298
6.8e-07,277
6.85e-07,260
6.9e-07,242
6.95e-07,223
7e-07,202
7.05e-07,187
7.1e-07,167
7.15e-07,152
7.2e-07,136
7.25e-07,125
7.3e-07,113
7.35e-07,103
7.4e-07,93
7.45e-07,84
7.5e-07,75
7.55e-07,66
7.6e-07,58
7.65e-07,51
7.7e-07,46
7.75e-07,41
7.8e-07,37
