wavelength,D63
3e-07,0.0181185104978
3.1e-07,-8.2263968083
3.2e-07,-13.5133915831
3.3e-07,-30.1891400534
3.4e-07,-23.4013642036
3.5e-07,-14.8787547601
3.6e-07,-4.72794348047
3.7e-07,-7.05717031419
3.8e-07,7.32354020283
3.9e-07,21.925556369
4e-07,52.4338516989
4.1e-07,56.47011722
4.2e-07,61.1262021273
4.3e-07,61.7916739756
4.4e-07,85.8414469349
4.5e-07,99.8121657655
4.6e-07,102.85745845
4.7e-07,102.869302316
4.8e-07,106.807970426
4.9e-07,99.8818585536
5e-07,102.353289756
5.1e-07,102.405207014
5.2e-07,102.672796516
5.3e-07,106.777676537
5.4e-07,103.030652622
5.5e-07,103.716717748
5.6e-07,100.0
5.7e-07,96.8202129931
5.8e-07,96.6034952453
5.9e-07,83.1610459091
6e-07,81.9607332831
6.1e-07,79.1060597966
6.2e-07,75.9468455607
6.3e-07,70.6709002542
6.4e-07,65.8601551831
6.5e-07,59.650421787
6.6e-07,55.725728519
6.7e-07,54.632040467
6.8e-07,48.7337983429
6.9e-07,46.4211877695
7e-07,44.1964945015
7.1e-07,50.9755486301
7.2e-07,42.3364735901
7.3e-07,49.0396295641
7.4e-07,53.1354619151
7.5e-07,45.1943030506
7.6e-07,32.045820563
7.7e-07,46.4323059411
7.8e-07,44.7479648621
7.9e-07,45.0364735901
8e-07,41.8427250636
8.1e-07,36.79739855
8.2e-07,40.7005545241
8.3e-07,42.3869794276
