wavelength,D55
3e-07,0.024
3.05e-07,1.048
3.1e-07,2.072
3.15e-07,6.648
3.2e-07,11.224
3.25e-07,15.936
3.3e-07,20.647
3.35e-07,22.266
3.4e-07,23.885
3.45e-07,25.851
3.5e-07,27.817
3.55e-07,29.219
3.6e-07,30.621
3.65e-07,32.464
3.7e-07,34.308
3.75e-07,33.446
3.8e-07,32.584
3.85e-07,35.335
3.9e-07,38.087
3.95e-07,49.518
4e-07,60.949
4.05e-07,64.751
4.1e-07,68.554
4.15e-07,70.065
4.2e-07,71.577
4.25e-07,69.746
4.3e-07,67.914
4.35e-07,76.76
4.4e-07,85.605
4.45e-07,91.799
4.5e-07,97.993
4.55e-07,99.228
4.6e-07,100.463
4.65e-07,100.188
4.7e-07,99.913
4.75e-07,101.326
4.8e-07,102.739
4.85e-07,100.409
4.9e-07,98.078
4.95e-07,99.379
5e-07,100.68
5.05e-07,100.688
5.1e-07,100.695
5.15e-07,100.341
5.2e-07,99.987
5.25e-07,102.098
5.3e-07,104.21
5.35e-07,103.156
5.4e-07,102.102
5.45e-07,102.535
5.5e-07,102.968
5.55e-07,101.484
5.6e-07,100.0
5.65e-07,98.608
5.7e-07,97.216
5.75e-07,97.482
5.8e-07,97.749
5.85e-07,94.59
5.9e-07,91.432
5.95e-07,92.926
6e-07,94.419
6.05e-07,94.78
6.1e-07,95.14
6.15e-07,94.68
6.2e-07,94.22
6.25e-07,92.334
6.3e-07,90.448
6.35e-07,91.389
6.4e-07,92.33
6.45e-07,90.592
6.5e-07,88.854
6.55e-07,89.586
6.6e-07,90.317
6.65e-07,92.133
6.7e-07,93.95
6.75e-07,91.953
6.8e-07,89.956
6.85e-07,84.817
6.9e-07,79.677
6.95e-07,81.258
7e-07,82.84
7.05e-07,83.842
7.1e-07,84.844
7.15e-07,77.539
7.2e-07,70.235
7.25e-07,74.768
7.3e-07,79.301
7.35e-07,82.147
7.4e-07,84.993
7.45e-07,78.437
7.5e-07,71.88
7.55e-07,62.337
7.6e-07,52.793
7.65e-07,64.36
7.7e-07,75.927
7.75e-07,73.872
7.8e-07,71.818
