wavelength,k
2.35e-15,0.000548
2.37e-15,0.000618
2.39e-15,0.00068
2.41e-15,0.00073
2.43e-15,0.000782
2.46e-15,0.000848
2.5e-15,0.000925
2.52e-15,0.00092
2.55e-15,0.000892
2.565e-15,0.00087
2.58e-15,0.00089
2.59e-15,0.00093
2.6e-15,0.00101
2.62e-15,0.00135
2.675e-15,0.00342
2.725e-15,0.00792
2.778e-15,0.02
2.817e-15,0.038
2.833e-15,0.052
2.849e-15,0.068
2.865e-15,0.0923
2.882e-15,0.127
2.899e-15,0.169
2.915e-15,0.221
2.933e-15,0.276
2.95e-15,0.312
2.967e-15,0.347
2.985e-15,0.388
3.003e-15,0.438
3.021e-15,0.493
3.04e-15,0.554
3.058e-15,0.612
3.077e-15,0.625
3.096e-15,0.593
3.115e-15,0.539
3.135e-15,0.491
3.155e-15,0.438
3.175e-15,0.372
3.195e-15,0.3
3.215e-15,0.238
3.236e-15,0.193
3.257e-15,0.158
3.279e-15,0.121
3.3e-15,0.103
3.322e-15,0.0836
3.345e-15,0.0668
3.367e-15,0.054
3.39e-15,0.0422
3.413e-15,0.0342
3.436e-15,0.0274
3.46e-15,0.022
3.484e-15,0.0186
3.509e-15,0.0152
3.534e-15,0.0126
3.559e-15,0.0106
3.624e-15,0.00802
3.732e-15,0.00685
3.775e-15,0.0066
3.847e-15,0.00696
3.969e-15,0.00916
4.099e-15,0.0111
4.239e-15,0.0145
4.348e-15,0.02
4.387e-15,0.023
4.444e-15,0.026
4.505e-15,0.029
4.547e-15,0.0293
4.56e-15,0.03
4.58e-15,0.0285
4.719e-15,0.0173
4.904e-15,0.0129
5e-15,0.012
5.1e-15,0.0125
5.2e-15,0.0134
5.263e-15,0.014
5.4e-15,0.0175
5.556e-15,0.024
5.714e-15,0.035
5.747e-15,0.038
5.78e-15,0.042
5.814e-15,0.046
5.848e-15,0.052
5.882e-15,0.057
6.061e-15,0.069
6.135e-15,0.07
6.25e-15,0.067
6.289e-15,0.065
6.329e-15,0.064
6.369e-15,0.062
6.41e-15,0.059
6.452e-15,0.057
6.494e-15,0.056
6.579e-15,0.055
6.667e-15,0.057
6.757e-15,0.058
6.897e-15,0.057
7.042e-15,0.055
7.143e-15,0.055
7.246e-15,0.054
7.353e-15,0.052
7.463e-15,0.052
7.576e-15,0.052
7.692e-15,0.052
7.812e-15,0.05
7.937e-15,0.047
8.065e-15,0.043
8.197e-15,0.039
8.333e-15,0.037
8.475e-15,0.039
8.696e-15,0.04
8.929e-15,0.042
9.091e-15,0.044
9.259e-15,0.045
9.524e-15,0.046
9.804e-15,0.047
1e-14,0.051
1.02e-14,0.065
1.031e-14,0.075
1.042e-14,0.088
1.053e-14,0.108
1.064e-14,0.134
1.075e-14,0.168
1.087e-14,0.204
1.1e-14,0.248
1.111e-14,0.28
1.136e-14,0.341
1.163e-14,0.379
1.19e-14,0.409
1.22e-14,0.422
1.25e-14,0.422
1.282e-14,0.403
1.299e-14,0.389
1.316e-14,0.374
1.333e-14,0.354
1.351e-14,0.335
1.37e-14,0.315
1.389e-14,0.294
1.408e-14,0.271
1.429e-14,0.246
1.471e-14,0.198
1.515e-14,0.164
1.538e-14,0.152
1.563e-14,0.142
1.613e-14,0.128
1.639e-14,0.125
1.667e-14,0.123
1.695e-14,0.116
1.724e-14,0.107
1.818e-14,0.079
1.887e-14,0.072
1.923e-14,0.076
1.961e-14,0.075
2e-14,0.067
2.041e-14,0.055
2.083e-14,0.045
2.222e-14,0.029
2.26e-14,0.0275
2.305e-14,0.027
2.36e-14,0.0273
2.46e-14,0.0289
2.5e-14,0.03
2.6e-14,0.034
2.857e-14,0.053
3.1e-14,0.0755
3.333e-14,0.106
3.448e-14,0.135
3.564e-14,0.1761
3.7e-14,0.2229
3.824e-14,0.2746
3.96e-14,0.328
4.114e-14,0.3906
4.276e-14,0.4642
4.358e-14,0.5247
4.458e-14,0.5731
4.55e-14,0.6362
4.615e-14,0.6839
4.671e-14,0.7091
4.736e-14,0.679
4.8e-14,0.625
4.878e-14,0.5654
5.003e-14,0.5433
5.128e-14,0.5292
5.275e-14,0.507
5.35e-14,0.4883
5.424e-14,0.4707
5.5e-14,0.4203
5.574e-14,0.3771
5.64e-14,0.3376
5.7e-14,0.3056
5.746e-14,0.2835
5.84e-14,0.317
5.929e-14,0.3517
6e-14,0.3902
6.1e-14,0.4509
6.125e-14,0.4671
6.25e-14,0.4779
6.378e-14,0.489
6.467e-14,0.4899
6.558e-14,0.4873
6.655e-14,0.4766
6.76e-14,0.4508
6.9e-14,0.4193
7.053e-14,0.388
7.3e-14,0.3433
7.5e-14,0.3118
7.629e-14,0.2935
8e-14,0.235
8.297e-14,0.1981
8.5e-14,0.1865
8.68e-14,0.1771
9.08e-14,0.162
9.517e-14,0.149
1e-13,0.139
1.2e-13,0.12
1.5e-13,0.0962
1.67e-13,0.083
