wavelength,LED-B1
3.8e-07,0.0
3.85e-07,0.01
3.9e-07,0.01
3.95e-07,0.02
4e-07,0.04
4.05e-07,0.07
4.1e-07,0.15
4.15e-07,0.28
4.2e-07,0.53
4.25e-07,0.92
4.3e-07,1.54
4.35e-07,2.52
4.4e-07,4.16
4.45e-07,6.39
4.5e-07,7.89
4.55e-07,7.57
4.6e-07,6.25
4.65e-07,5.16
4.7e-07,4.37
4.75e-07,3.84
4.8e-07,3.7
4.85e-07,3.88
4.9e-07,4.26
4.95e-07,4.79
5e-07,5.41
5.05e-07,6.05
5.1e-07,6.7
5.15e-07,7.34
5.2e-07,7.98
5.25e-07,8.64
5.3e-07,9.31
5.35e-07,10.02
5.4e-07,10.76
5.45e-07,11.53
5.5e-07,12.38
5.55e-07,13.28
5.6e-07,14.23
5.65e-07,15.2
5.7e-07,16.2
5.75e-07,17.19
5.8e-07,18.14
5.85e-07,19.02
5.9e-07,19.78
5.95e-07,20.38
6e-07,20.8
6.05e-07,21.0
6.1e-07,20.97
6.15e-07,20.71
6.2e-07,20.23
6.25e-07,19.56
6.3e-07,18.76
6.35e-07,17.82
6.4e-07,16.78
6.45e-07,15.66
6.5e-07,14.49
6.55e-07,13.31
6.6e-07,12.15
6.65e-07,11.02
6.7e-07,9.95
6.75e-07,8.93
6.8e-07,7.98
6.85e-07,7.1
6.9e-07,6.3
6.95e-07,5.57
7e-07,4.89
7.05e-07,4.26
7.1e-07,3.72
7.15e-07,3.25
7.2e-07,2.83
7.25e-07,2.47
7.3e-07,2.15
7.35e-07,1.87
7.4e-07,1.63
7.45e-07,1.42
7.5e-07,1.25
7.55e-07,1.1
7.6e-07,0.97
7.65e-07,0.86
7.7e-07,0.76
7.75e-07,0.68
7.8e-07,0.61
