wavelength,FL3.2
3.8000000000000001e-07,5.7999999999999998
3.8500000000000002e-07,6.9900000000000002
3.9000000000000002e-07,8.6999999999999993
3.9500000000000003e-07,9.889999999999997
4.0000000000000003e-07,11.59
4.0500000000000004e-07,94.529999999999987
4.1000000000000004e-07,20.799999999999997
4.1500000000000005e-07,16.52
4.2e-07,18.300000000000004
4.2500000000000001e-07,20.329999999999998
4.3000000000000001e-07,22.0
4.3500000000000002e-07,231.90000000000001
4.4000000000000002e-07,25.809999999999988
4.4500000000000003e-07,27.629999999999995
4.5000000000000003e-07,29.100000000000001
4.5500000000000004e-07,30.609999999999999
4.6000000000000004e-07,31.920000000000005
4.6500000000000005e-07,33.109999999999992
4.7000000000000005e-07,33.829999999999998
4.75e-07,34.70000000000001
4.8000000000000006e-07,35.02000000000001
4.8500000000000002e-07,35.219999999999999
4.9000000000000007e-07,35.810000000000002
4.9500000000000003e-07,35.140000000000008
5.0000000000000008e-07,35.140000000000001
5.0500000000000004e-07,34.899999999999991
5.0999999999999999e-07,34.700000000000003
5.1500000000000005e-07,35.020000000000003
5.2e-07,36.130000000000003
5.2500000000000006e-07,37.919999999999995
5.3000000000000001e-07,40.619999999999997
5.3500000000000007e-07,44.699999999999996
5.4000000000000002e-07,49.630000000000003
5.4500000000000008e-07,154.15999999999997
5.5000000000000003e-07,62.210000000000008
5.5500000000000009e-07,68.919999999999987
5.6000000000000004e-07,75.829999999999984
5.6499999999999999e-07,81.950000000000003
5.7000000000000005e-07,86.950000000000017
5.75e-07,103.53999999999999
5.8000000000000006e-07,109.93999999999998
5.8500000000000001e-07,91.950000000000003
5.9000000000000007e-07,89.850000000000009
5.9500000000000002e-07,87.150000000000006
6.0000000000000008e-07,83.260000000000019
6.0500000000000003e-07,78.930000000000021
6.1000000000000009e-07,73.930000000000007
6.1500000000000004e-07,68.840000000000003
6.1999999999999999e-07,63.440000000000012
6.2500000000000005e-07,58.840000000000018
6.3e-07,53.840000000000003
6.3500000000000006e-07,49.429999999999993
6.4000000000000001e-07,45.539999999999999
6.4500000000000007e-07,41.530000000000008
6.5000000000000002e-07,38.310000000000002
6.5500000000000008e-07,34.619999999999997
6.6000000000000003e-07,31.800000000000004
6.6500000000000009e-07,29.02
6.7000000000000004e-07,26.719999999999999
6.75e-07,24.219999999999999
6.8000000000000005e-07,22.190000000000005
6.8500000000000001e-07,20.41
6.9000000000000006e-07,19.100000000000001
6.9500000000000002e-07,16.790000000000003
7.0000000000000007e-07,15.130000000000001
7.0500000000000003e-07,13.82
7.1000000000000008e-07,12.629999999999999
7.1500000000000004e-07,11.390000000000001
7.2000000000000009e-07,10.32
7.2500000000000005e-07,9.2100000000000009
7.3e-07,8.8900000000000023
7.3500000000000006e-07,7.5
7.4000000000000001e-07,6.71
7.4500000000000007e-07,6.1099999999999994
7.5000000000000002e-07,5.4000000000000004
7.5500000000000008e-07,4.7999999999999998
7.6000000000000003e-07,8.6999999999999993
7.6500000000000009e-07,4.0099999999999998
7.7000000000000004e-07,4.0899999999999999
7.750000000000001e-07,3.2999999999999994
7.8000000000000005e-07,2.8199999999999998
