wavelength,LED-B5
3.8e-07,0.0
3.85e-07,0.01
3.9e-07,0.01
3.95e-07,0.03
4e-07,0.07
4.05e-07,0.16
4.1e-07,0.35
4.15e-07,0.78
4.2e-07,1.67
4.25e-07,3.3
4.3e-07,5.94
4.35e-07,9.92
4.4e-07,16.15
4.45e-07,25.15
4.5e-07,32.34
4.55e-07,31.18
4.6e-07,23.46
4.65e-07,16.39
4.7e-07,12.08
4.75e-07,9.08
4.8e-07,7.21
4.85e-07,6.48
4.9e-07,6.49
4.95e-07,7.05
5e-07,8.1
5.05e-07,9.45
5.1e-07,10.88
5.15e-07,12.22
5.2e-07,13.38
5.25e-07,14.29
5.3e-07,14.98
5.35e-07,15.48
5.4e-07,15.81
5.45e-07,16.01
5.5e-07,16.1
5.55e-07,16.13
5.6e-07,16.1
5.65e-07,15.98
5.7e-07,15.77
5.75e-07,15.5
5.8e-07,15.15
5.85e-07,14.76
5.9e-07,14.31
5.95e-07,13.79
6e-07,13.22
6.05e-07,12.59
6.1e-07,11.91
6.15e-07,11.2
6.2e-07,10.47
6.25e-07,9.73
6.3e-07,9.0
6.35e-07,8.27
6.4e-07,7.57
6.45e-07,6.9
6.5e-07,6.25
6.55e-07,5.65
6.6e-07,5.08
6.65e-07,4.55
6.7e-07,4.06
6.75e-07,3.61
6.8e-07,3.22
6.85e-07,2.86
6.9e-07,2.54
6.95e-07,2.26
7e-07,2.0
7.05e-07,1.75
7.1e-07,1.54
7.15e-07,1.36
7.2e-07,1.2
7.25e-07,1.05
7.3e-07,0.93
7.35e-07,0.82
7.4e-07,0.72
7.45e-07,0.64
7.5e-07,0.56
7.55e-07,0.49
7.6e-07,0.44
7.65e-07,0.39
7.7e-07,0.35
7.75e-07,0.31
7.8e-07,0.27
