wavelength,D60
3e-07,0.0293
3.05e-07,1.2899
3.1e-07,2.5505
3.15e-07,9.04125
3.2e-07,15.532
3.25e-07,21.96675
3.3e-07,28.4015
3.35e-07,29.95835
3.4e-07,31.5152
3.45e-07,33.78425
3.5e-07,36.0533
3.55e-07,37.231
3.6e-07,38.4087
3.65e-07,40.6733
3.7e-07,42.9379
3.75e-07,42.0887
3.8e-07,41.2395
3.85e-07,43.84465
3.9e-07,46.4498
3.95e-07,59.30195
4e-07,72.1541
4.05e-07,76.22205
4.1e-07,80.29
4.15e-07,81.5341
4.2e-07,82.7782
4.25e-07,80.17745
4.3e-07,77.5767
4.35e-07,86.5984
4.4e-07,95.6201
4.45e-07,101.76225
4.5e-07,107.9044
4.55e-07,108.7111
4.6e-07,109.5178
4.65e-07,108.62295
4.7e-07,107.7281
4.75e-07,108.6911
4.8e-07,109.6541
4.85e-07,106.6692
4.9e-07,103.6843
4.95e-07,104.4494
5e-07,105.2145
5.05e-07,104.8149
5.1e-07,104.4153
5.15e-07,103.46975
5.2e-07,102.5242
5.25e-07,104.29085
5.3e-07,106.0575
5.35e-07,104.6855
5.4e-07,103.3135
5.45e-07,103.42665
5.5e-07,103.5398
5.55e-07,101.7699
5.6e-07,100.0
5.65e-07,98.3759
5.7e-07,96.7518
5.75e-07,96.7319
5.8e-07,96.712
5.85e-07,93.2952
5.9e-07,89.8784
5.95e-07,90.9071
6e-07,91.9358
6.05e-07,91.97585
6.1e-07,92.0159
6.15e-07,91.2841
6.2e-07,90.5523
6.25e-07,88.48885
6.3e-07,86.4254
6.35e-07,86.9331
6.4e-07,87.4408
6.45e-07,85.631
6.5e-07,83.8212
6.55e-07,84.1803
6.6e-07,84.5394
6.65e-07,85.9118
6.7e-07,87.2842
6.75e-07,85.273
6.8e-07,83.2618
6.85e-07,78.62875
6.9e-07,73.9957
6.95e-07,75.2048
7e-07,76.4139
7.05e-07,77.64345
7.1e-07,78.873
7.15e-07,72.0985
7.2e-07,65.324
7.25e-07,69.6352
7.3e-07,73.9464
7.35e-07,76.6527
7.4e-07,79.359
7.45e-07,73.26265
7.5e-07,67.1663
7.55e-07,58.16505
7.6e-07,49.1638
7.65e-07,59.9502
7.7e-07,70.7366
7.75e-07,68.8789
7.8e-07,67.0212
7.85e-07,67.5226
7.9e-07,68.024
7.95e-07,65.43955
8e-07,62.8551
8.05e-07,58.86505
8.1e-07,54.875
8.15e-07,57.7862
8.2e-07,60.6974
8.25e-07,62.22695
8.3e-07,63.7565
