wavelength,LED-B3
3.8e-07,0.0
3.85e-07,-2.16840434497e-19
3.9e-07,0.01
3.95e-07,0.02
4e-07,0.05
4.05e-07,0.11
4.1e-07,0.25
4.15e-07,0.56
4.2e-07,1.2
4.25e-07,2.37
4.3e-07,4.24
4.35e-07,7.17
4.4e-07,12.11
4.45e-07,17.7
4.5e-07,18.87
4.55e-07,14.58
4.6e-07,9.9
4.65e-07,7.53
4.7e-07,6.02
4.75e-07,5.11
4.8e-07,5.17
4.85e-07,5.82
4.9e-07,6.77
4.95e-07,7.88
5e-07,8.94
5.05e-07,9.82
5.1e-07,10.52
5.15e-07,11.06
5.2e-07,11.51
5.25e-07,11.93
5.3e-07,12.37
5.35e-07,12.83
5.4e-07,13.31
5.45e-07,13.79
5.5e-07,14.26
5.55e-07,14.68
5.6e-07,15.08
5.65e-07,15.42
5.7e-07,15.72
5.75e-07,15.97
5.8e-07,16.18
5.85e-07,16.37
5.9e-07,16.5
5.95e-07,16.55
6e-07,16.5
6.05e-07,16.32
6.1e-07,16.0
6.15e-07,15.54
6.2e-07,14.96
6.25e-07,14.27
6.3e-07,13.48
6.35e-07,12.62
6.4e-07,11.71
6.45e-07,10.78
6.5e-07,9.85
6.55e-07,8.93
6.6e-07,8.04
6.65e-07,7.2
6.7e-07,6.42
6.75e-07,5.69
6.8e-07,5.02
6.85e-07,4.42
6.9e-07,3.88
6.95e-07,3.39
7e-07,2.95
7.05e-07,2.56
7.1e-07,2.22
7.15e-07,1.92
7.2e-07,1.65
7.25e-07,1.43
7.3e-07,1.23
7.35e-07,1.06
7.4e-07,0.91
7.45e-07,0.78
7.5e-07,0.68
7.55e-07,0.58
7.6e-07,0.5
7.65e-07,0.43
7.7e-07,0.37
7.75e-07,0.32
7.8e-07,0.28
