wavelength,FL3
3.8e-07,0.82
3.85e-07,1.02
3.9e-07,1.26
3.95e-07,1.44
4e-07,2.57
4.05e-07,14.36
4.1e-07,2.7
4.15e-07,2.45
4.2e-07,2.73
4.25e-07,3.0
4.3e-07,3.28
4.35e-07,31.85
4.4e-07,9.47
4.45e-07,4.02
4.5e-07,4.25
4.55e-07,4.44
4.6e-07,4.59
4.65e-07,4.72
4.7e-07,4.8
4.75e-07,4.86
4.8e-07,4.87
4.85e-07,4.85
4.9e-07,4.88
4.95e-07,4.77
5e-07,4.67
5.05e-07,4.62
5.1e-07,4.62
5.15e-07,4.73
5.2e-07,4.99
5.25e-07,5.48
5.3e-07,6.25
5.35e-07,7.34
5.4e-07,8.78
5.45e-07,23.82
5.5e-07,16.14
5.55e-07,14.59
5.6e-07,16.63
5.65e-07,18.49
5.7e-07,19.95
5.75e-07,23.11
5.8e-07,24.69
5.85e-07,21.41
5.9e-07,20.85
5.95e-07,19.93
6e-07,18.67
6.05e-07,17.22
6.1e-07,15.65
6.15e-07,14.04
6.2e-07,12.45
6.25e-07,10.95
6.3e-07,9.51
6.35e-07,8.27
6.4e-07,7.11
6.45e-07,6.09
6.5e-07,5.22
6.55e-07,4.45
6.6e-07,3.8
6.65e-07,3.23
6.7e-07,2.75
6.75e-07,2.33
6.8e-07,1.99
6.85e-07,1.7
6.9e-07,1.55
6.95e-07,1.27
7e-07,1.09
7.05e-07,0.96
7.1e-07,0.83
7.15e-07,0.71
7.2e-07,0.62
7.25e-07,0.54
7.3e-07,0.49
7.35e-07,0.46
7.4e-07,0.43
7.45e-07,0.39
7.5e-07,0.39
7.55e-07,0.35
7.6e-07,0.38
7.65e-07,0.39
7.7e-07,0.33
7.75e-07,0.28
7.8e-07,0.21
