wavelength,LED-V2
3.8e-07,0.01
3.85e-07,0.06
3.9e-07,0.26
3.95e-07,1.15
4e-07,4.47
4.05e-07,11.98
4.1e-07,19.89
4.15e-07,20.24
4.2e-07,14.39
4.25e-07,8.95
4.3e-07,5.78
4.35e-07,4.65
4.4e-07,4.86
4.45e-07,5.78
4.5e-07,6.97
4.55e-07,8.1
4.6e-07,9.05
4.65e-07,9.82
4.7e-07,10.52
4.75e-07,11.21
4.8e-07,11.87
4.85e-07,12.5
4.9e-07,12.98
4.95e-07,13.23
5e-07,13.3
5.05e-07,13.21
5.1e-07,13.05
5.15e-07,12.88
5.2e-07,12.74
5.25e-07,12.68
5.3e-07,12.7
5.35e-07,12.77
5.4e-07,12.91
5.45e-07,13.04
5.5e-07,13.16
5.55e-07,13.26
5.6e-07,13.35
5.65e-07,13.42
5.7e-07,13.52
5.75e-07,13.64
5.8e-07,13.83
5.85e-07,14.07
5.9e-07,14.42
5.95e-07,14.82
6e-07,15.26
6.05e-07,15.64
6.1e-07,16.03
6.15e-07,16.4
6.2e-07,16.67
6.25e-07,16.88
6.3e-07,16.93
6.35e-07,16.85
6.4e-07,16.62
6.45e-07,16.23
6.5e-07,15.72
6.55e-07,15.07
6.6e-07,14.31
6.65e-07,13.45
6.7e-07,12.57
6.75e-07,11.64
6.8e-07,10.69
6.85e-07,9.78
6.9e-07,8.87
6.95e-07,8.0
7e-07,7.17
7.05e-07,6.37
7.1e-07,5.65
7.15e-07,5.01
7.2e-07,4.42
7.25e-07,3.88
7.3e-07,3.39
7.35e-07,2.95
7.4e-07,2.58
7.45e-07,2.24
7.5e-07,1.95
7.55e-07,1.7
7.6e-07,1.47
7.65e-07,1.3
7.7e-07,1.1
7.75e-07,0.96
7.8e-07,0.84
