wavelength,ID65
3e-07,0.0
3.05e-07,-5.42101086243e-20
3.1e-07,0.0
3.15e-07,0.0
3.2e-07,0.03
3.25e-07,0.33
3.3e-07,1.6
3.35e-07,4.17
3.4e-07,8.76
3.45e-07,15.61
3.5e-07,24.24
3.55e-07,31.93
3.6e-07,37.94
3.65e-07,43.65
3.7e-07,47.99
3.75e-07,47.23
3.8e-07,46.01
3.85e-07,49.19
3.9e-07,52.63
3.95e-07,67.11
4e-07,81.45
4.05e-07,85.97
4.1e-07,90.2
4.15e-07,90.96
4.2e-07,91.75
4.25e-07,88.4
4.3e-07,85.08
4.35e-07,93.98
4.4e-07,102.94
4.45e-07,109.14
4.5e-07,115.49
4.55e-07,116.3
4.6e-07,117.08
4.65e-07,115.89
4.7e-07,114.62
4.75e-07,115.3
4.8e-07,115.97
4.85e-07,112.55
4.9e-07,109.12
4.95e-07,109.48
5e-07,109.82
5.05e-07,109.12
5.1e-07,108.41
5.15e-07,106.93
5.2e-07,105.42
5.25e-07,106.84
5.3e-07,108.25
5.35e-07,106.54
5.4e-07,104.83
5.45e-07,104.57
5.5e-07,104.29
5.55e-07,102.16
5.6e-07,100.0
5.65e-07,98.03
5.7e-07,96.01
5.75e-07,95.5
5.8e-07,94.97
5.85e-07,91.19
5.9e-07,87.44
5.95e-07,87.84
6e-07,88.27
6.05e-07,87.86
6.1e-07,87.41
6.15e-07,86.16
6.2e-07,84.9
6.25e-07,82.5
6.3e-07,80.13
6.35e-07,80.05
6.4e-07,79.97
6.45e-07,77.97
6.5e-07,75.97
6.55e-07,75.83
6.6e-07,75.69
6.65e-07,76.44
6.7e-07,77.15
6.75e-07,74.94
6.8e-07,72.77
6.85e-07,68.58
6.9e-07,64.42
6.95e-07,65.04
7e-07,65.62
7.05e-07,66.6
7.1e-07,67.57
7.15e-07,61.51
7.2e-07,55.5
7.25e-07,59.0
7.3e-07,62.46
7.35e-07,64.5
7.4e-07,66.48
7.45e-07,61.13
7.5e-07,55.83
7.55e-07,48.09
7.6e-07,40.41
7.65e-07,49.09
7.7e-07,57.7
7.75e-07,56.0
7.8e-07,54.3
