wavelength,D75
3.0000000000000004e-07,0.042999999999999997
3.0500000000000004e-07,2.5880000000000001
3.1e-07,5.1329999999999991
3.15e-07,17.469999999999999
3.2000000000000001e-07,29.808
3.2500000000000001e-07,42.369
3.3000000000000002e-07,54.930000000000007
3.3500000000000002e-07,56.094999999999999
3.4000000000000003e-07,57.259
3.4500000000000003e-07,60.0
3.5000000000000004e-07,62.740000000000002
3.5500000000000004e-07,62.861000000000004
3.6000000000000005e-07,62.981999999999999
3.65e-07,66.646999999999991
3.7e-07,70.311999999999998
3.7500000000000001e-07,68.507000000000005
3.8000000000000001e-07,66.703000000000003
3.8500000000000002e-07,68.332999999999998
3.9000000000000002e-07,69.963000000000008
3.9500000000000003e-07,85.946000000000012
4.0000000000000003e-07,101.92900000000002
4.0500000000000004e-07,106.91100000000002
4.1000000000000004e-07,111.89400000000001
4.1500000000000005e-07,112.346
4.2e-07,112.798
4.2500000000000001e-07,107.94499999999999
4.3000000000000001e-07,103.092
4.3500000000000002e-07,112.14500000000001
4.4000000000000002e-07,121.19800000000001
4.4500000000000003e-07,127.10400000000001
4.5000000000000003e-07,133.01000000000002
4.5500000000000004e-07,132.68199999999999
4.6000000000000004e-07,132.35500000000002
4.6500000000000005e-07,129.83799999999999
4.7000000000000005e-07,127.32199999999999
4.75e-07,127.06099999999999
4.8000000000000006e-07,126.8
4.8500000000000002e-07,122.291
4.9000000000000007e-07,117.78300000000002
4.9500000000000003e-07,117.18600000000002
5.0000000000000008e-07,116.589
5.0500000000000004e-07,115.14599999999999
5.0999999999999999e-07,113.70200000000001
5.1500000000000005e-07,111.181
5.2e-07,108.65900000000001
5.2500000000000006e-07,109.55199999999999
5.3000000000000001e-07,110.44500000000001
5.3500000000000007e-07,108.36699999999999
5.4000000000000002e-07,106.289
5.4500000000000008e-07,105.596
5.5000000000000003e-07,104.904
5.5500000000000009e-07,102.452
5.6000000000000004e-07,100.0
5.6499999999999999e-07,97.808000000000007
5.7000000000000005e-07,95.616000000000014
5.75e-07,94.914000000000001
5.8000000000000006e-07,94.212999999999994
5.8500000000000001e-07,90.605000000000018
5.9000000000000007e-07,86.996999999999986
5.9500000000000002e-07,87.111999999999995
6.0000000000000008e-07,87.22699999999999
6.0500000000000003e-07,86.683999999999983
6.1000000000000009e-07,86.139999999999986
6.1500000000000004e-07,84.86099999999999
6.1999999999999999e-07,83.581000000000003
6.2500000000000005e-07,81.164000000000001
6.3e-07,78.747
6.3500000000000006e-07,78.587000000000003
6.4000000000000001e-07,78.427999999999997
6.4500000000000007e-07,76.614000000000004
6.5000000000000002e-07,74.801000000000002
6.5500000000000008e-07,74.561999999999998
6.6000000000000003e-07,74.324000000000012
6.6500000000000009e-07,74.873000000000005
6.7000000000000004e-07,75.421999999999997
6.75e-07,73.498999999999995
6.8000000000000005e-07,71.576000000000008
6.8500000000000001e-07,67.713999999999999
6.9000000000000006e-07,63.851999999999997
6.9500000000000002e-07,64.463999999999999
7.0000000000000007e-07,65.076000000000008
7.0500000000000003e-07,66.572999999999993
7.1000000000000008e-07,68.069999999999993
7.1500000000000004e-07,62.256000000000007
7.2000000000000009e-07,56.442999999999998
7.2500000000000005e-07,60.342999999999996
7.3e-07,64.242000000000004
7.3500000000000006e-07,66.697000000000003
7.4000000000000001e-07,69.150999999999996
7.4500000000000007e-07,63.889999999999993
7.5000000000000002e-07,58.628999999999998
7.5500000000000008e-07,50.62299999999999
7.6000000000000003e-07,42.617000000000004
7.6500000000000009e-07,51.984999999999999
7.7000000000000004e-07,61.352000000000004
7.750000000000001e-07,59.837999999999994
7.8000000000000005e-07,58.323999999999998
