wavelength,LED-B4
3.8e-07,0.0
3.85e-07,2.16840434497e-19
3.9e-07,4.33680868994e-19
3.95e-07,0.01
4e-07,0.03
4.05e-07,0.08
4.1e-07,0.21
4.15e-07,0.54
4.2e-07,1.31
4.25e-07,2.75
4.3e-07,5.04
4.35e-07,8.31
4.4e-07,13.37
4.45e-07,20.61
4.5e-07,25.91
4.55e-07,24.12
4.6e-07,17.47
4.65e-07,11.9
4.7e-07,8.62
4.75e-07,6.34
4.8e-07,4.89
4.85e-07,4.25
4.9e-07,4.19
4.95e-07,4.7
5e-07,5.77
5.05e-07,7.27
5.1e-07,8.94
5.15e-07,10.6
5.2e-07,12.11
5.25e-07,13.36
5.3e-07,14.3
5.35e-07,15.02
5.4e-07,15.54
5.45e-07,15.9
5.5e-07,16.15
5.55e-07,16.33
5.6e-07,16.42
5.65e-07,16.44
5.7e-07,16.36
5.75e-07,16.2
5.8e-07,15.98
5.85e-07,15.7
5.9e-07,15.36
5.95e-07,14.93
6e-07,14.44
6.05e-07,13.86
6.1e-07,13.24
6.15e-07,12.57
6.2e-07,11.84
6.25e-07,11.12
6.3e-07,10.38
6.35e-07,9.65
6.4e-07,8.91
6.45e-07,8.19
6.5e-07,7.51
6.55e-07,6.86
6.6e-07,6.21
6.65e-07,5.6
6.7e-07,5.05
6.75e-07,4.54
6.8e-07,4.05
6.85e-07,3.62
6.9e-07,3.23
6.95e-07,2.87
7e-07,2.53
7.05e-07,2.24
7.1e-07,1.99
7.15e-07,1.76
7.2e-07,1.55
7.25e-07,1.37
7.3e-07,1.21
7.35e-07,1.07
7.4e-07,0.95
7.45e-07,0.85
7.5e-07,0.75
7.55e-07,0.67
7.6e-07,0.61
7.65e-07,0.55
7.7e-07,0.5
7.75e-07,0.45
7.8e-07,0.42
