wavelength,FL3.5
3.8e-07,4.72
3.85e-07,5.82
3.9e-07,7.18
3.95e-07,8.39
4e-07,9.96
4.05e-07,58.86
4.1e-07,15.78
4.15e-07,15.1
4.2e-07,17.3
4.25e-07,19.66
4.3e-07,22.43
4.35e-07,176.0
4.4e-07,28.67
4.45e-07,31.92
4.5e-07,35.38
4.55e-07,38.73
4.6e-07,41.98
4.65e-07,44.92
4.7e-07,47.49
4.75e-07,49.58
4.8e-07,51.21
4.85e-07,52.36
4.9e-07,53.99
4.95e-07,53.78
5e-07,54.04
5.05e-07,53.88
5.1e-07,53.62
5.15e-07,53.25
5.2e-07,53.09
5.25e-07,52.88
5.3e-07,52.99
5.35e-07,53.15
5.4e-07,53.67
5.45e-07,167.93
5.5e-07,55.61
5.55e-07,56.82
5.6e-07,58.39
5.65e-07,60.22
5.7e-07,62.21
5.75e-07,81.45
5.8e-07,84.96
5.85e-07,68.71
5.9e-07,70.7
5.95e-07,73.01
6e-07,74.69
6.05e-07,76.26
6.1e-07,77.68
6.15e-07,78.67
6.2e-07,80.14
6.25e-07,81.71
6.3e-07,82.08
6.35e-07,79.98
6.4e-07,78.15
6.45e-07,76.52
6.5e-07,79.2
6.55e-07,79.51
6.6e-07,81.08
6.65e-07,70.76
6.7e-07,62.58
6.75e-07,56.87
6.8e-07,52.83
6.85e-07,49.11
6.9e-07,46.28
6.95e-07,42.24
7e-07,38.58
7.05e-07,35.59
7.1e-07,32.76
7.15e-07,29.61
7.2e-07,26.89
7.25e-07,24.53
7.3e-07,22.17
7.35e-07,20.02
7.4e-07,18.45
7.45e-07,16.09
7.5e-07,15.62
7.55e-07,13.1
7.6e-07,11.69
7.65e-07,12.42
7.7e-07,9.43
7.75e-07,8.96
7.8e-07,7.39
